episode,grad_norm,grad_M,grad_F,n_obs
1,6.193310582602862e-06,4.699882993008941e-06,3.720631184478407e-06,11183
2,5.629551196761895e-06,4.184356384939747e-06,3.408195425436133e-06,11691
3,5.876180694031064e-06,4.2308197407692205e-06,3.637956297097844e-06,12405
4,5.694025730917929e-06,4.09635958931176e-06,3.4732645417534518e-06,13065
5,5.72594990444486e-06,4.1038993003894575e-06,3.421793280722341e-06,13647
6,5.351433173927944e-06,3.818419372692006e-06,3.152368435621611e-06,14518
7,5.007120762456907e-06,3.539577619449119e-06,2.9494663067453075e-06,15349
8,4.35712263424648e-06,3.007979330504895e-06,2.421907993266359e-06,16523
9,3.9394249142787885e-06,3.007460009030183e-06,1.827748974392307e-06,17563
10,3.7567419894912746e-06,3.0221262932172976e-06,1.552420712869207e-06,18490
11,3.598439889174188e-06,2.9520051612053062e-06,1.44190244100173e-06,19993
12,3.469445573500707e-06,2.944372909041704e-06,1.367659479001304e-06,21180
13,3.416882691453793e-06,2.9361931410676334e-06,1.391667865391355e-06,22689
14,3.443297600824735e-06,2.925031594713801e-06,1.5071171901581693e-06,24153
15,3.446802338658017e-06,2.899059154515271e-06,1.5922232705634087e-06,25727
16,3.4468814646970718e-06,2.8839338028774364e-06,1.6794053863122826e-06,27000
17,3.6057563193026e-06,3.0254925604822347e-06,1.7699092040857067e-06,28999
18,3.890555035468424e-06,3.3217138479813e-06,1.839174160522816e-06,30381
19,3.984243448940106e-06,3.4419044823152944e-06,1.856153403423377e-06,31964
20,3.964488769270247e-06,3.471968057056074e-06,1.7951355175682693e-06,33236
21,4.048049504490336e-06,3.579380063456483e-06,1.7883754708236663e-06,34209
22,3.8680659599776845e-06,3.4248223528265957e-06,1.7146488744401722e-06,35613
23,3.812428758465103e-06,3.399297384021338e-06,1.6500426909260568e-06,36508
24,3.699295575643191e-06,3.3048274872271577e-06,1.5920987834761036e-06,37207
25,3.417328343857662e-06,3.045581024707644e-06,1.4879128684697207e-06,37853
26,3.1547556318400893e-06,2.8015435873385286e-06,1.3939616110292263e-06,38316
27,2.9994914712005998e-06,2.667512717380305e-06,1.316769044024113e-06,38770
28,2.848724989235052e-06,2.529895482439315e-06,1.2494540442276048e-06,39103
29,2.6809486826095963e-06,2.369010871916544e-06,1.1845937706311815e-06,39338
30,2.647125029398012e-06,2.34048138736398e-06,1.157114411398652e-06,39499
31,2.5949896098609315e-06,2.286420112795895e-06,1.1440807838880571e-06,39589
32,2.605423105705995e-06,2.2930225895834155e-06,1.1512489663800809e-06,39781
33,2.56671796705632e-06,2.251533715025289e-06,1.1450846386651392e-06,39821
34,2.634926204336807e-06,2.31605031331128e-06,1.164927994068421e-06,39849
35,2.643160541992984e-06,2.3274315026355907e-06,1.152981553786958e-06,39901
36,2.6177278868999565e-06,2.3091888579074293e-06,1.1249626368226018e-06,39944
37,2.6854795578401536e-06,2.3767927359585883e-06,1.1306378837616649e-06,39964
