episode,grad_norm,grad_M,grad_F,n_obs
1,3.527220087562455e-06,1.447230602025229e-06,3.2058803753898246e-06,12078
2,3.2932862268353347e-06,1.29583997932059e-06,3.0176868222042685e-06,13805
3,3.0148080440994818e-06,1.1488717746033217e-06,2.7791770662588533e-06,15677
4,2.793157364067156e-06,1.0252845186187187e-06,2.5918850496964296e-06,18274
5,2.543505161156645e-06,9.134179776992825e-07,2.369203912166995e-06,20597
6,2.249915723950835e-06,8.030862659325066e-07,2.098422555718571e-06,23664
7,1.9910769424313912e-06,7.137467150641896e-07,1.8562157038104488e-06,27297
8,1.7374160279359785e-06,6.385031952049758e-07,1.613683139112254e-06,30492
9,1.4985945426815306e-06,5.675688043993432e-07,1.3852654774382245e-06,33257
10,1.305680711993773e-06,5.069978215033188e-07,1.201927716465434e-06,35499
11,1.1351850162100163e-06,4.5268930648489913e-07,1.0400802921139984e-06,37489
12,1.0032875934484764e-06,4.083475459992769e-07,9.157813565252582e-07,38500
13,8.920370646592346e-07,3.709304792209878e-07,8.108240763249341e-07,39206
14,7.996613931027241e-07,3.377394648396148e-07,7.245493520713353e-07,39533
15,7.184917762970144e-07,3.077808798934712e-07,6.490340638265479e-07,39750
16,6.502286282739078e-07,2.81242478195054e-07,5.861317617927853e-07,39901
17,5.915815108892275e-07,2.567508659012674e-07,5.328619181454997e-07,39956
18,5.413228336692555e-07,2.357427888455277e-07,4.87212503230694e-07,39973
19,4.984458996659669e-07,2.169695392240101e-07,4.48672523134519e-07,39993
20,4.584912858263124e-07,1.9971170672761218e-07,4.126483474919951e-07,39997
21,4.241535407345509e-07,1.844572778963993e-07,3.818907430286345e-07,39999
22,3.942960518088512e-07,1.7088603954107384e-07,3.552951000074245e-07,39997
23,3.676862831980543e-07,1.589874756291465e-07,3.31495868977072e-07,40000
24,3.432846540363244e-07,1.4786321855808637e-07,3.0977014375821454e-07,40000
25,3.204408471901843e-07,1.377417504500045e-07,2.892892894124089e-07,40000
26,2.990402379055013e-07,1.2841952923281497e-07,2.7002565161637904e-07,40000
27,2.793452722471557e-07,1.2003246752101404e-07,2.5220657562385895e-07,40000
28,2.600520190298994e-07,1.1182891768157789e-07,2.347465652974279e-07,40000
29,2.42042347053939e-07,1.0433900143880237e-07,2.1836787311713127e-07,40000
30,2.2554807799224366e-07,9.741604856117193e-08,2.0339827244697522e-07,40000
31,2.1117421056260357e-07,9.110409138202159e-08,1.9048610511163133e-07,40000
32,1.986411888310613e-07,8.54702406627439e-08,1.7928941531408785e-07,40000
33,1.8711399718540639e-07,8.034449905380826e-08,1.6896444776648425e-07,40000
34,1.7576833499788338e-07,7.546847058392815e-08,1.5872166159169865e-07,40000
35,1.663130149154313e-07,7.129995083232643e-08,1.5023493915578e-07,40000
36,1.5708273792824914e-07,6.72924329592206e-08,1.419211486108907e-07,40000
37,1.4809324966336137e-07,6.34610941574465e-08,1.3379010965763882e-07,40000
38,1.4052460528546362e-07,6.025570087331289e-08,1.269343385956745e-07,40000
39,1.336441357580043e-07,5.724353258074189e-08,1.2074795563421506e-07,40000
40,1.2768404644702969e-07,5.4535693294610616e-08,1.1543556865944993e-07,40000
41,1.21790776574926e-07,5.20039584728238e-08,1.101143212167699e-07,40000
42,1.1611144401513229e-07,4.9625278109033395e-08,1.0495730862203345e-07,40000
43,1.1087746543125833e-07,4.7357211485632433e-08,1.0024010066445045e-07,40000
