episode,grad_norm,grad_M,grad_F,n_obs
1,5.1818049541907385e-05,3.1889485399005935e-05,4.064028325956315e-05,11247
2,3.821996506303549e-05,2.3803333533578552e-05,2.9605342206195928e-05,12314
3,3.2929932785918936e-05,2.0705398128484376e-05,2.5336703401990235e-05,12912
4,2.4769151423242874e-05,1.5831754353712313e-05,1.8812452253769152e-05,13874
5,2.1623995053232647e-05,1.4040446330909616e-05,1.618495116417762e-05,14744
6,1.9719189367606305e-05,1.2911680641991552e-05,1.465130117139779e-05,16052
7,1.6913201761781238e-05,1.123070342146093e-05,1.2394597433740271e-05,17200
8,1.59917490236694e-05,1.076773514796514e-05,1.1579270903894212e-05,18475
9,1.4002538591739722e-05,9.631299690227024e-06,9.933884030033369e-06,19638
10,1.1139759408251848e-05,7.87769749877043e-06,7.678295332880225e-06,20988
11,8.348461960849818e-06,6.099183792684926e-06,5.546571173908888e-06,22670
12,6.66222877043765e-06,4.987200554751325e-06,4.304144113120856e-06,24262
13,5.668805442837765e-06,4.325984718889231e-06,3.579410758902668e-06,25882
14,5.051226708019385e-06,3.905100129486527e-06,3.136371333312127e-06,27597
15,4.129351054871222e-06,3.2374050533690024e-06,2.508784518795437e-06,28872
16,3.4236391002195887e-06,2.705731503738207e-06,2.0564232272590743e-06,30770
17,2.724797923292499e-06,2.176391035391134e-06,1.609920786904695e-06,32117
18,2.2850019831821555e-06,1.8462593516233028e-06,1.3235046480986057e-06,33464
19,1.7609185078981682e-06,1.4427612313738791e-06,9.917976058204658e-07,34736
20,1.4349445791594917e-06,1.1931232393180835e-06,7.844985816518601e-07,35713
21,1.2334410257608397e-06,1.0425561640658998e-06,6.4993412252079e-07,36720
22,9.999105259339558e-07,8.579023074162251e-07,5.075983153801644e-07,37458
23,8.304863285957254e-07,7.190154747149791e-07,4.115339606869384e-07,38092
24,7.390227096948365e-07,6.441188133976539e-07,3.590970152345108e-07,38596
25,6.76661045417859e-07,5.929695703343896e-07,3.228999219118123e-07,38879
26,5.737085189139179e-07,5.051708171777136e-07,2.691120073450293e-07,39278
27,5.195890935283387e-07,4.598726661697583e-07,2.3901867507447605e-07,39380
28,4.312819328333717e-07,3.826737611234421e-07,1.9638903836494137e-07,39637
29,3.515785067520483e-07,3.128598109469749e-07,1.5809233389063593e-07,39724
30,2.927419302523049e-07,2.61131333445519e-07,1.301634426909004e-07,39790
31,2.585771881058463e-07,2.3144743011016547e-07,1.1328283733291757e-07,39863
32,2.26034416073162e-07,2.027965564366241e-07,9.791742172637897e-08,39887
33,1.9127769235183226e-07,1.7185271872222074e-07,8.231966575067419e-08,39933
34,1.5975835765402738e-07,1.4371373424637568e-07,6.83310901195e-08,39965
35,1.2906917845612045e-07,1.1605024496930129e-07,5.5271481613772266e-08,39971
36,1.0702661512596025e-07,9.613428630927957e-08,4.5961819239437325e-08,39983
