episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,total_profit,cumulative_time,approval_rate_M,approval_rate_F,success_prob_M,success_prob_F
1,0.0,99.5,1064,60.81565575819663,61.30886637877053,48.29054967454462,48.70119786536497,0.49321062057390463,0.4106481908203463,1.2010539230396327,0.004932106205739046,0.004106481908203463,0.004519294056971254,12.607668513405564,313,254,587,477,42,36,0.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,587,477,42,36,0.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331,313,254,494,412,271,42,51,223,218,36,29,194,0.5485519591141397,0.5178197064989518,0.865814696485623,0.8582677165354331,0.548582995951417,0.529126213592233,313,254,0.0,100.0,0.5332197614991482,0.5324947589098532,0.865814696485623,0.8582677165354331
2,0.0,199.0,1149,61.314686459765205,61.889226559889636,48.703186015449795,49.20097185922519,0.5745401001244304,0.4977858437753966,1.154191320040161,0.005367854008465045,0.00455211092340285,0.004959982465933948,12.688254700664444,342,267,630,519,64,37,0.0,0.5428571428571428,0.5144508670520231,0.8128654970760234,0.8614232209737828,655,521,1217,996,106,73,0.0,0.5382087099424815,0.5230923694779116,0.8381679389312977,0.8598848368522073,342,267,526,453,278,64,40,248,230,37,29,223,0.5047619047619047,0.49903660886319845,0.8128654970760234,0.8614232209737828,0.5285171102661597,0.5077262693156733,342,267,0.0,200.0,0.5382087099424815,0.5230923694779116,0.8381679389312977,0.8598848368522073
3,0.0,298.5,1106,61.891432241722725,62.47220574522453,49.20264526639607,49.638265933796625,0.5807735035018027,0.43562066740055627,1.33320925053305,0.005521833290093004,0.00449238753084001,0.005007110410466507,12.833939811427904,346,241,637,469,47,39,0.0,0.543171114599686,0.5138592750533049,0.8641618497109826,0.8381742738589212,1001,762,1854,1465,153,112,0.0,0.5399137001078749,0.520136518771331,0.8471528471528471,0.8530183727034121,346,241,534,402,299,47,56,235,202,39,28,200,0.5572998430141287,0.4904051172707889,0.8641618497109826,0.8381742738589212,0.5599250936329588,0.5024875621890548,346,241,0.0,300.0,0.5399137001078749,0.520136518771331,0.8471528471528471,0.8530183727034121
4,0.0,398.0,1097,62.475762411529026,62.96562458417202,49.64232625248913,50.02912799905518,0.4898621726429937,0.38680174656605004,1.266442504440308,0.005374922064938481,0.004346445811276389,0.004860683938107435,12.936496585116842,350,254,627,470,56,38,0.0,0.5582137161084529,0.5404255319148936,0.84,0.8503937007874016,1351,1016,2481,1935,209,150,0.0,0.5445384925433293,0.5250645994832042,0.845299777942265,0.8523622047244095,350,254,529,406,294,56,42,235,216,38,26,190,0.5358851674641149,0.5148936170212766,0.84,0.8503937007874016,0.555765595463138,0.5320197044334976,350,254,0.0,400.0,0.5445384925433293,0.5250645994832042,0.845299777942265,0.8523622047244095
5,0.0,497.5,1198,62.96884488731746,63.560505294989234,50.02912799905518,50.53912342268636,0.5916604076717746,0.5099954236311817,1.1601288565672532,0.005489699073585214,0.004497147496283474,0.004993423284934344,13.021381872302875,341,290,659,539,53,42,0.0,0.5174506828528073,0.5380333951762524,0.844574780058651,0.8551724137931034,1692,1306,3140,2474,262,192,0.0,0.5388535031847134,0.5278900565885206,0.8451536643026005,0.8529862174578866,341,290,552,459,288,53,54,264,248,42,38,211,0.5189681335356601,0.5306122448979592,0.844574780058651,0.8551724137931035,0.5217391304347826,0.5403050108932462,341,290,0.0,500.0,0.5388535031847134,0.5278900565885206,0.8451536643026005,0.8529862174578866
6,0.0,597.0,1121,63.560505294989234,64.1173603226058,50.54136721098753,51.005643876705335,0.5568550276165709,0.46427666571780435,1.1994034349230838,0.005502840940681963,0.00452515700360119,0.005013998972141576,13.11171644590047,353,244,623,498,63,32,0.0,0.5666131621187801,0.4899598393574297,0.821529745042493,0.8688524590163934,2045,1550,3763,2972,325,224,0.0,0.5434493754982727,0.5215343203230148,0.8410757946210269,0.8554838709677419,353,244,511,428,290,63,49,221,212,32,38,216,0.5441412520064205,0.5020080321285141,0.8215297450424929,0.8688524590163934,0.5675146771037182,0.4953271028037383,353,244,0.0,600.0,0.5434493754982727,0.5215343203230148,0.8410757946210269,0.8554838709677419
7,0.0,696.5,1134,64.1173603226058,64.64993835646189,51.005643876705335,51.44026804993185,0.5325780338560833,0.43462417322651703,1.225376006820759,0.005477546568950374,0.004499597679124615,0.004988572124037494,13.209670306530036,307,242,629,505,47,41,0.0,0.48807631160572335,0.4792079207920792,0.8469055374592833,0.8305785123966942,2352,1792,4392,3477,372,265,0.0,0.5355191256830601,0.5153868277250503,0.8418367346938775,0.8521205357142857,307,242,515,427,260,47,67,255,201,41,37,226,0.519872813990461,0.47128712871287126,0.8469055374592834,0.8305785123966942,0.5048543689320388,0.4707259953161593,307,242,0.0,700.0,0.5355191256830601,0.5153868277250503,0.8418367346938775,0.8521205357142857
8,0.0,796.0,1181,64.65251233864221,65.2257693223226,51.44026804993185,51.95065812286878,0.5732569836803947,0.5103900729369286,1.1231742427545899,0.0055126419551574735,0.004575135560405199,0.005043888757781336,13.275111199453825,360,294,644,537,60,44,0.0,0.5590062111801242,0.547486033519553,0.8333333333333334,0.8503401360544218,2712,2086,5036,4014,432,309,0.0,0.5385226370135028,0.5196811160936722,0.8407079646017699,0.8518696069031639,360,294,542,449,300,60,42,242,250,44,44,199,0.531055900621118,0.547486033519553,0.8333333333333334,0.8503401360544217,0.5535055350553506,0.5567928730512249,360,294,0.0,800.0,0.5385226370135028,0.5196811160936722,0.8407079646017699,0.8518696069031639
9,0.0,895.5,1202,65.22815239493413,65.87238958977288,51.957606452745864,52.43321357278528,0.6442371948387517,0.4756071200394132,1.3545575070141176,0.0056185931461958365,0.004602959886934062,0.00511077651656495,13.439176016987602,366,281,696,506,68,41,0.0,0.5258620689655172,0.5553359683794467,0.8142076502732241,0.8540925266903915,3078,2367,5732,4520,500,350,0.0,0.5369853454291695,0.5236725663716815,0.8375568551007148,0.8521335023236164,366,281,577,429,298,68,51,279,240,41,36,189,0.5014367816091954,0.5454545454545454,0.8142076502732241,0.8540925266903915,0.5164644714038128,0.5594405594405595,366,281,0.0,900.0,0.5369853454291695,0.5236725663716815,0.8375568551007148,0.8521335023236164
10,0.0,995.0,1204,65.87498829063728,66.4849564764593,52.43717975474164,52.8950312499019,0.6099681858220265,0.4578514951602557,1.3322402400554079,0.005669300718262675,0.004604481575357276,0.005136891146809976,13.589925226557405,350,274,688,516,53,38,0.0,0.5087209302325582,0.5310077519379846,0.8485714285714285,0.8613138686131387,3428,2641,6420,5036,553,388,0.0,0.5339563862928349,0.5244241461477362,0.838681446907818,0.853085952290799,350,274,581,437,297,53,54,284,236,38,41,201,0.5101744186046512,0.5368217054263565,0.8485714285714285,0.8613138686131386,0.5111876075731497,0.540045766590389,350,274,0.0,1000.0,0.5339563862928349,0.5244241461477362,0.838681446907818,0.853085952290799
