episode,mu_M_mean,mu_M_std,mu_F_mean,mu_F_std
1,61.49978131327676,0.0225984122583219,48.3699746095793,0.0175740420827877
2,61.54552549991636,0.0456804014933406,48.43271088796037,0.0340169414137147
3,61.58902891491908,0.0678191306389968,48.49955555812211,0.0482016797975526
4,61.63683386153114,0.0934367910047259,48.57457935369823,0.0662617678430691
5,61.68639108872378,0.1190659376884783,48.65289615393864,0.0849736525753246
6,61.73759639465603,0.145707611770095,48.73627135942511,0.1107602798138555
7,61.79136590706969,0.1736980971030987,48.82286995404503,0.1294584838063238
8,61.84700460517312,0.2026679904504432,48.91954869224442,0.1528376994351179
9,61.90199733421633,0.2318497473856809,49.024737444751054,0.1757457673315944
10,61.96230824834532,0.263410690722305,49.1374803159864,0.1953026012066034
11,62.02375767626312,0.2948119819645391,49.254712517780526,0.2120722582705343
12,62.088663604695945,0.3283465393914017,49.38206935797828,0.2279204175000573
13,62.15455486301605,0.3621506829400826,49.52223827005037,0.2458716209346177
14,62.22481214640099,0.3981108597876742,49.66691241889769,0.2593880460254275
15,62.29186464568486,0.4332848085715547,49.83035310913719,0.279334343997958
16,62.36674828050311,0.4705018678747721,49.99523612946405,0.2945990040942957
17,62.44068838970462,0.5080751209897795,50.16705333478879,0.3130442897896633
18,62.51928800654058,0.5473406683193004,50.339719870161765,0.3319686862092871
19,62.59215321315119,0.5836563649151026,50.52314246758171,0.3485577439056659
20,62.67493663490308,0.6247114275708265,50.71121956383022,0.3667524653862933
21,62.7553374490783,0.6650821800049009,50.9022300497571,0.3810716324407049
22,62.83396002247563,0.7024815056624903,51.09792338901673,0.3887789483764796
23,62.91158371534755,0.7392281858622831,51.29265052625463,0.3940990066262695
24,62.991428719361465,0.7760457232753273,51.48172639811306,0.4057943333244245
25,63.06979509384424,0.8121869419333339,51.66838433451589,0.4102854486589148
26,63.149423721084,0.8483120167111761,51.85883529623008,0.4125653244649017
27,63.22867551660112,0.8839416064965345,52.042595851744906,0.4205198006843254
28,63.30988182276046,0.92033560478746,52.21784341351914,0.4172640358598565
29,63.38848002298018,0.9547984238601216,52.396838802435205,0.4094797039610477
30,63.47191350149491,0.9881420050770734,52.570050327677485,0.4071031034824772
31,63.55444890751799,1.0197626263413369,52.7409191467223,0.3997979330930972
32,63.63608914090141,1.049976043913111,52.90548267863718,0.3924665052788698
33,63.71478901692355,1.080557570902768,53.06847935703595,0.3862292281298758
34,63.79872546946876,1.1117240580138286,53.22991511114274,0.3819788112665103
35,63.8811906020814,1.1427258531918845,53.389564225282754,0.3788475353610868
36,63.962145907162174,1.171353411896524,53.54880580225889,0.3783237435067723
37,64.04070361071236,1.198933074780152,53.70392533741028,0.3843005941301138
38,64.12499103543931,1.2298493289130057,53.86734030893034,0.3954822625695845
39,64.20675810609131,1.2586412230554398,54.026741656757714,0.4135235500857077
40,64.29192742250824,1.2879491347333958,54.188687077997415,0.42994655010803
41,64.37521964572841,1.3162940917829975,54.351830154829614,0.452652122929126
42,64.46337899108376,1.345854277820996,54.52081163589295,0.4873210537990223
43,64.55247560390306,1.3729545003477357,54.694368195752745,0.5194300224225747
44,64.63943165662351,1.3985165850784682,54.87138109599575,0.5582450013953825
45,64.728492348424,1.4246193144986317,55.04764097070298,0.5911262627270045
46,64.81610970928385,1.4498655553840896,55.23046593769446,0.6353383280199233
47,64.90553901458966,1.4751253705652072,55.40943041593353,0.6788046604922423
48,64.99353204505204,1.4971368519435324,55.59403176721327,0.716424711561406
49,65.08957181576518,1.5245225538040872,55.77434755671487,0.7538120245413483
50,65.17944396490698,1.5464711113746166,55.95863681476013,0.7967146650690297
51,65.27681646210536,1.5738989291548202,56.14055475887867,0.8351495078842669
52,65.37276567148403,1.5989022922398684,56.32584515708754,0.8812097136960624
53,65.46934120926986,1.6220777574134713,56.50732017418369,0.9177235324453982
54,65.5648493839288,1.6449668992647015,56.68859509046389,0.9658023974664172
55,65.66184446694058,1.6661414566298849,56.87036792809382,1.015702157453554
56,65.76255833029337,1.6894375454287485,57.05671435295767,1.0638888625642802
57,65.86016539212548,1.7125702669842402,57.23553420967443,1.1069053033424767
58,65.96449209538494,1.731034120760716,57.42073584932391,1.1563673715993756
59,66.06309991608634,1.7488810184403576,57.60291226329355,1.2142471323416315
60,66.16122659524578,1.7687146578221318,57.78449137299879,1.2725818497851848
61,66.26327047895535,1.784266481940723,57.96793577934581,1.3244390736986504
62,66.36370314502024,1.8018866501187607,58.15079715039137,1.3728088320793277
63,66.46963623508105,1.819987502816582,58.339287367071165,1.4300429427393802
64,66.57656806806048,1.8345881189395887,58.52879165680446,1.478069930388731
65,66.68349411512033,1.852442686509096,58.715858507613135,1.5321329979285097
66,66.7913440828103,1.8717634615548373,58.905147523251024,1.5846079047113806
67,66.89753326170975,1.8877947736625016,59.0956938805128,1.640618510671977
68,67.00656719350313,1.9025579167437736,59.28986734663626,1.6913510681315145
69,67.1221017655406,1.9180012099552903,59.48277355756677,1.7444396117087475
70,67.23703488385874,1.9336711721753517,59.67641989614613,1.802675199355654
71,67.3520548526549,1.9472809094372008,59.866635001359306,1.8576707385756803
72,67.46848126542253,1.9567852301493105,60.061009463601366,1.912265496957271
73,67.58180612173484,1.965551886183119,60.256919501161406,1.9780341092992964
74,67.70374854603783,1.978795036283675,60.45101581671408,2.02821655514934
75,67.82321709178392,1.9943608765624723,60.64816189174519,2.0792614016054043
76,67.94524443945183,2.009179757827385,60.84404436917223,2.137762627503933
77,68.07348748928048,2.024768907125233,61.04210469844863,2.2018784403846188
78,68.19865195011798,2.039216281843849,61.24313379523137,2.2659645282318306
79,68.32032572076656,2.0552924472615155,61.44297811318696,2.320572845163324
80,68.44693850045147,2.0691352407687464,61.64496558814144,2.373393406137039
81,68.57087630187672,2.086633223554922,61.83892934531874,2.426575510916502
82,68.69779439859613,2.1044221490487045,62.03940294773139,2.493827181916409
83,68.82454596426888,2.1236340544824945,62.23739163336241,2.547841853725879
84,68.95204585216915,2.140641304508478,62.44318892305682,2.598797087058057
85,69.07987595125567,2.155402745087884,62.647435933560246,2.653173381927556
86,69.21006622578044,2.1739257450499925,62.850392916231065,2.7134786293540163
87,69.33794768835949,2.193675298148145,63.05172015271816,2.7688060894327
88,69.46730084101148,2.2157888635229317,63.25786207830545,2.817942119125496
89,69.5955467967907,2.2370707768622853,63.46294103990304,2.878780602494619
90,69.72670328373714,2.2560003506713,63.668242163456966,2.9370217778787406
91,69.85857735995094,2.2743791542054894,63.877782340407904,2.9952645512391807
92,69.98781633121527,2.296294849770472,64.09551152729986,3.057467754281336
93,70.11734033521859,2.3194442573045326,64.30550026207408,3.1092633609535847
94,70.25667559622728,2.3402546790850582,64.51818771062362,3.1690000360118225
95,70.3935535238039,2.359794822999,64.73106400418598,3.228690140548937
96,70.52394061348114,2.379772985598597,64.94426097181766,3.2872129163907147
97,70.66104221705919,2.399394606137629,65.16008205804533,3.345062196550573
98,70.80296790221077,2.422573929943994,65.37576911294998,3.40663640544399
99,70.93770936504252,2.4443053700040047,65.58898541548476,3.467663822417859
100,71.07688809002687,2.4685493631866,65.80185401335278,3.527061075353796
101,71.21989128109405,2.489592718077265,66.01935474197192,3.5914547750148014
102,71.36137552342892,2.510504150018301,66.23571112311653,3.6502540434631983
103,71.50229536403437,2.5329909485822064,66.45534461634554,3.713681596390833
104,71.65050906698713,2.563413983063373,66.67376134272443,3.77067718522792
105,71.79283397494261,2.587091299965222,66.89246934517013,3.829439034429678
106,71.9343575011201,2.60867523223611,67.10798746652469,3.889784450284644
107,72.0785827972129,2.6312787622956524,67.32850105179823,3.947765843531633
108,72.22455637694436,2.6599040630567945,67.5544480818456,4.008042585574011
109,72.36704899757737,2.6850660068145724,67.77780328785727,4.066276614530712
110,72.51284000848793,2.7116206145700934,68.00045982733535,4.12455037453979
111,72.66149097678833,2.7355637893874505,68.22472780800209,4.173087706254202
112,72.80605389441402,2.7606993517589817,68.4438083034216,4.227716669860156
113,72.95447122255084,2.7859128339113792,68.67035471820859,4.284730680596651
114,73.11267030099829,2.814536273329697,68.89823644114603,4.342807812543207
115,73.26236912566912,2.8416122076022043,69.13274026846577,4.399789602703295
116,73.41982694560105,2.871847953299305,69.35637419258903,4.460987563210028
117,73.57280365076818,2.901909459660399,69.58240691647849,4.516280195303888
118,73.7276503517494,2.927482364475611,69.81618901898011,4.579358128460106
119,73.88210254491756,2.9512957055289,70.0469635876731,4.642990617004731
120,74.04080566483233,2.974753271416449,70.28142474129787,4.704456725822866
121,74.20205160375767,3.0061590335686312,70.51039674288317,4.756945765851591
122,74.36288654389435,3.031479167957099,70.73939874195405,4.814912736217894
123,74.52462257301276,3.05762808237976,70.96255698275846,4.870574576859829
124,74.68609715492622,3.087422840752124,71.19120989409097,4.932732183175399
125,74.84971640131371,3.11605785512974,71.42060020554045,4.991231072619978
126,75.01248214382386,3.142807298342575,71.65369918391818,5.0491768577299805
127,75.17072615870799,3.170537450618979,71.88994619367978,5.112109385913368
128,75.33636512456835,3.2013468869195365,72.1233817398105,5.175276979916761
129,75.50423730626073,3.231443369205706,72.35796440298697,5.239293442728078
130,75.668410730576,3.261254706855702,72.59801843189089,5.299311964305984
131,75.82939476484346,3.2880533450187026,72.83702534446897,5.359009599228148
132,75.99781360667112,3.3183718768768204,73.07489969891729,5.40758617483767
133,76.16946693508453,3.34637546882946,73.31693031810653,5.477814500647723
134,76.34269249712108,3.375789650082911,73.55833245255612,5.54121932863342
135,76.51600200458805,3.403856207496223,73.804358242306,5.603251374328314
136,76.69172169411914,3.4291647383728723,74.05123841228485,5.670306337615708
137,76.86871809381896,3.458628767247633,74.29090602942215,5.745108301135157
138,77.04947656116809,3.4908373686731275,74.53794368340337,5.799998952316395
139,77.22859105524417,3.515166717187603,74.7792731982722,5.869636956465771
140,77.4079721266189,3.5417246421656023,75.02367826250153,5.928422882350132
141,77.58927257546893,3.570202078973605,75.26825727701338,5.994180396622054
142,77.77454005658478,3.602056539327384,75.5197785195879,6.0680909694390746
143,77.95791326836857,3.6366249966542794,75.77414170071745,6.152567324047207
144,78.14339814529902,3.666528460979485,76.02926223926522,6.216939271193495
145,78.33449143272924,3.7005623412079,76.28070145114825,6.287371126831309
146,78.52328822225732,3.7327976826353257,76.53032274783155,6.362907194675332
147,78.71513239655509,3.767647810851212,76.78324465569747,6.428131506767177
148,78.90246442946057,3.800135862792085,77.03053550758054,6.503761125517164
149,79.0935097130327,3.8322992884912384,77.28012773785446,6.574456989118909
150,79.28483527643075,3.8631366318884495,77.534623976169,6.640978946384631
151,79.47692489660838,3.893113388248414,77.77858297401366,6.707168443158373
152,79.67603569675326,3.922697014254931,78.03704745012547,6.771612100682503
153,79.87682834504074,3.95883625989361,78.28658484856285,6.84192780646952
154,80.0751393466687,3.991238016048956,78.54642615600451,6.908205266235445
155,80.27635663152049,4.025362133348305,78.80244298480001,6.976882669002299
156,80.473870525585,4.057017519155556,79.05297720460274,7.046899640734425
157,80.681190084525,4.091571132582355,79.30578734495238,7.11917767146736
158,80.88939776512044,4.121229962196059,79.55937948290887,7.19563129982945
159,81.09782109807828,4.155468003706298,79.81019116657424,7.264491499726105
160,81.30405939124165,4.180040478142262,80.05571507777812,7.339472157460864
161,81.51350708820411,4.210988998354833,80.30998138890651,7.409632359389085
162,81.72606585316234,4.2468755643319005,80.56253881478301,7.474525823872114
163,81.93301020845608,4.282725019290071,80.8218823546917,7.546169122505677
164,82.14541559359495,4.314027329164382,81.0690501532466,7.60630933871342
165,82.35692733819496,4.346550723476899,81.32209860465912,7.671100636344287
166,82.5700610807594,4.373033088498888,81.57613583401888,7.746081258448113
167,82.78884036496291,4.402513263600739,81.83359405063601,7.832289855578781
168,83.00355883035222,4.436494269868827,82.09220728512342,7.904933029731161
169,83.22342900538251,4.465872914355741,82.34778319956092,7.981083102271628
170,83.45229231100646,4.500418447442545,82.59587709450508,8.052574555844448
171,83.67038526837506,4.531971824971465,82.85399428917249,8.130807527462002
172,83.89427014490732,4.563536464780679,83.10929183152385,8.208142893390521
173,84.12187591381903,4.595341495983033,83.36547434855143,8.28587715263815
174,84.34285197290431,4.629535262225158,83.62009151586288,8.36807747062638
175,84.56186320349975,4.657111306902323,83.87459216204718,8.447274368038936
176,84.78666880390732,4.694747478396857,84.1381011437209,8.530551402751728
177,85.0115008031563,4.721706147763713,84.39254810781925,8.609912474522519
178,85.24243939784044,4.752503324348665,84.6496014314395,8.696013054357548
179,85.4743824864745,4.783302895959433,84.90395223957348,8.778661466279727
180,85.71129545458155,4.81465402271007,85.15703160772935,8.86379346139456
181,85.94136314981337,4.84014127112652,85.41380755822175,8.950632534385877
182,86.16968356095668,4.867218690447652,85.67468606874914,9.035393914971422
183,86.40539496714999,4.899404219837868,85.92955800191473,9.132620510299777
184,86.63551495540095,4.928506148912212,86.17322756520723,9.215166773474149
185,86.870248594733,4.961653457015285,86.43127973818646,9.300779357404332
186,87.10077119716522,4.987172356809286,86.68652553977786,9.390657183842569
187,87.33861874990801,5.012670373967231,86.94033285543645,9.475486030951824
188,87.57387344265585,5.040418485341512,87.19477248515159,9.553718303622931
189,87.80690740988818,5.063448795070909,87.44584837736475,9.633892183066685
190,88.04522028932399,5.090338656155146,87.70182662659624,9.71675265727372
191,88.28482165951824,5.121811599569716,87.95558381262312,9.809393713051428
192,88.52200962022881,5.151235598589349,88.20141620915568,9.894560511252523
193,88.75930556846075,5.180627774621961,88.45916512915664,9.973225534901225
194,88.99954558083485,5.208941227911146,88.71231453669405,10.059896373315942
195,89.23090015132472,5.240168184749787,88.96588996390315,10.142058474923513
196,89.46695662256869,5.271297189078144,89.21827181076762,10.227032452515504
197,89.70643638352006,5.303981684141188,89.46602735760865,10.316316376093257
198,89.94778537410241,5.339323437061645,89.72090366930323,10.414935372331785
199,90.18754540130185,5.374728852845787,89.9755730741223,10.513785846085948
200,90.42899896412182,5.403144731431584,90.2298766065854,10.62044978628581
201,90.6703925314366,5.434260394978631,90.4791726640078,10.71632801010418
202,90.91093169243544,5.468034701378466,90.74006499648752,10.80665356887101
203,91.15420089635862,5.500946849188676,90.99651509084512,10.904373032454656
204,91.4049056046862,5.5353626549817845,91.25131720462304,10.999968007104515
205,91.64684019826733,5.569113488144228,91.50620147172016,11.102134015215212
206,91.89238120327992,5.599284617110434,91.758356779018,11.197295857434932
207,92.14427453992568,5.625794061376747,92.00882064250308,11.289563631452502
208,92.39098985338988,5.664888312576908,92.26117445821812,11.383446910540968
209,92.63588571431674,5.696374073921476,92.508941020332,11.47749829567574
210,92.87568395810236,5.732437957554534,92.76081361921652,11.582253242836796
211,93.1200831106622,5.766963656101927,93.0183185614368,11.68414342974964
212,93.36462426286276,5.799609115419344,93.27211148991684,11.77934929027005
213,93.61360674740504,5.832819468592642,93.53215022562712,11.880759668573162
214,93.86067403816268,5.864237599871955,93.78541035467497,11.979366438489995
215,94.11021176855677,5.9024029799707165,94.04426036540286,12.082139005708738
216,94.36064061731652,5.938890303680031,94.30177227051696,12.192780005193583
217,94.6129434413502,5.972783938227697,94.55658172800732,12.284578995902631
218,94.8584810236252,6.008712159326163,94.80965355225024,12.381748724225227
219,95.11058031999568,6.048261228744353,95.07195983129088,12.49110632170408
220,95.3597758023983,6.080281412863213,95.33307609058996,12.5936081665371
221,95.61363593069125,6.111813150277041,95.58696435628624,12.697449911179293
222,95.86917234385795,6.1548795271486165,95.84819992166726,12.80298784209621
223,96.1175682641128,6.186440207913126,96.10074323211585,12.911398287799363
224,96.37533141693932,6.2185397080529015,96.3666939413071,13.030498443482236
225,96.6325226183652,6.255700702108952,96.6227237389227,13.13738017533251
226,96.8811276944076,6.297291623550445,96.87821189065689,13.24647763434903
227,97.13673154604018,6.341259796150776,97.1276616246022,13.349244260409389
228,97.38719569486624,6.375759385099193,97.38368061266108,13.453921967743836
229,97.64194283719722,6.418038501045547,97.64008696793508,13.55724566632825
230,97.89118324329225,6.448578129001386,97.89835555867938,13.66774602069537
231,98.14036686298576,6.49310220269824,98.15888454132246,13.774406565235497
232,98.3874468920956,6.528630573830038,98.42146493329004,13.891303042050264
233,98.6420728290372,6.566056982768915,98.67460898041416,14.00325986230888
234,98.90079031365376,6.60354342448371,98.93005813742596,14.110217927109725
235,99.15293132619648,6.642076797158862,99.19621924755997,14.227877533726684
236,99.40720882006318,6.68605921948907,99.46204666838037,14.33709254361766
237,99.65773957806292,6.728620015919336,99.7175776406747,14.450402313148768
238,99.91432561265816,6.771839598804262,99.97991060139417,14.551913216864572
239,100.167906503444,6.80848846945735,100.24679531671988,14.679397481456682
240,100.4194560883715,6.842958509719852,100.50518452277574,14.799686118431907
241,100.675934390693,6.883814386642589,100.76867871479656,14.905740241058153
242,100.93335447958756,6.927124808427856,101.02515617797933,15.017102807376013
243,101.192121350946,6.973819354123898,101.28771970771258,15.12891149948629
244,101.44870477234124,7.019300395525776,101.54163858836452,15.24077815073548
245,101.7019427098972,7.061624099066707,101.8038879400338,15.359057943907972
246,101.958482507431,7.100027291225225,102.06726492089922,15.472603062976509
247,102.2104153627904,7.140650927157999,102.33617384584532,15.594273619569949
248,102.46411930336068,7.182930180203599,102.59765529080435,15.709754205135926
249,102.72078192261014,7.230504053628624,102.86271867653102,15.835562889850271
250,102.97605734051965,7.273061135754534,103.13775290147323,15.96208786377925
251,103.22911059968742,7.313823117395699,103.40586091012489,16.081481044090854
252,103.49041605176905,7.354046502427811,103.66804540360818,16.204432825664398
253,103.74480860201784,7.403721460230098,103.93776714768973,16.323173472678434
254,104.00267354047362,7.451463021358963,104.20259830995124,16.457872231809603
255,104.25956332812066,7.503754891883402,104.46568856068563,16.575367609639287
256,104.5208346723356,7.557952969603079,104.73485337057488,16.701980153761593
257,104.78790220243732,7.609409098637431,105.006491457593,16.823620180975023
258,105.04517254654338,7.658166365646208,105.27015602674156,16.952001908207777
259,105.30712999079503,7.708009000172627,105.53305616699012,17.084285708100616
260,105.5695921560055,7.762161511997443,105.79174985940944,17.205341799349625
261,105.82060719508164,7.810358633944079,106.05617029171864,17.33132688250687
262,106.07602559274356,7.856987243685179,106.31837007071412,17.44968974927835
263,106.33461692015813,7.904731401695176,106.585408513074,17.56786992639105
264,106.59039150570132,7.953838141397404,106.85503470176891,17.698739771295923
265,106.85254980370388,7.996411174943358,107.12756329176648,17.831813875417986
266,107.11175282635692,8.045008911343128,107.40043315169628,17.965203509178462
267,107.3677722339285,8.097634777543606,107.66460855818268,18.090457044788423
268,107.62475456083324,8.150641880246177,107.93116559139276,18.216963816831782
269,107.8847008958118,8.201826115252128,108.20039873236048,18.348150764125624
270,108.14284655741974,8.248249695340299,108.47549120961008,18.487856531051957
271,108.4035277594966,8.300188433456798,108.73725997664069,18.613920300202736
272,108.66151146433688,8.353268561707404,109.00880226420622,18.744108117501227
273,108.91906758530088,8.40708898852153,109.28073905721438,18.882656422582905
274,109.17366828562876,8.460201814712807,109.54915066037536,19.01807557254369
275,109.43344253899946,8.515605340834274,109.8219521656898,19.156609050287845
276,109.69378560302393,8.5591132469565,110.09209895391244,19.292843744545
277,109.95488604559571,8.61238364010603,110.3536171603026,19.41953428872544
278,110.20976809801968,8.663219815528494,110.62657260687048,19.55918074237525
279,110.47395473761968,8.716010062125754,110.89819714611444,19.70484551647933
280,110.7246315673156,8.761104513188904,111.17485939213292,19.83624200544917
281,110.97766511124796,8.814037319216371,111.44503159713352,19.967288654650837
282,111.23649481818823,8.867004344429647,111.71874351881154,20.112321819629678
283,111.49805105444788,8.925072321369218,111.99309564402412,20.25368130679106
284,111.75922462662383,8.984523985035874,112.2605099593026,20.38556293566408
285,112.02023362465096,9.04238367090212,112.53279965860284,20.52771790535357
286,112.27602843745856,9.10527112467672,112.80633286108387,20.665460766869188
287,112.5403701063821,9.16402364185482,113.08229204749225,20.81390937403055
288,112.79620446935976,9.218590398920584,113.35877075670903,20.95045066627001
289,113.06371761443104,9.27608985380188,113.63400879579468,21.098960482814583
290,113.32104349645158,9.330676264533148,113.90570330617322,21.23524864533725
291,113.58357524851752,9.381053325038176,114.18376792006872,21.383745411040945
292,113.83974597661454,9.432120660061091,114.45842342272536,21.529357547444683
293,114.09949521229396,9.490995024457437,114.72731040658137,21.66325197378848
294,114.36652775693332,9.549064944601309,115.00107172770996,21.80172142123988
295,114.62645957086512,9.60860963369075,115.28178894124471,21.95168432831206
296,114.89143180236888,9.672390516438272,115.55615326062096,22.0876720294722
297,115.14750436361196,9.7270489948112,115.8299136107716,22.233495586024933
298,115.40885380702336,9.78709117319205,116.10856425843777,22.38510738376909
299,115.66678278078066,9.843861578613598,116.381504283366,22.53093975393009
300,115.91914638809348,9.90342393765896,116.6547476976526,22.678501058170216
301,116.18551591097062,9.961797427352623,116.92310212615769,22.823697260663646
302,116.44807635923677,10.02334253607563,117.19871017289736,22.96537469564844
303,116.705384690237,10.079432171375377,117.4747967001958,23.10997827311213
304,116.96398203400864,10.144325253695916,117.75633054642182,23.264678212033346
305,117.22682105998304,10.205556166874787,118.03167054308052,23.41924028681482
306,117.49352654617778,10.271187683000916,118.3063290897634,23.560335875965787
307,117.75350347900068,10.333842100122643,118.58037081369228,23.699541397442463
308,118.01987844794851,10.396317661357998,118.86572333183244,23.855645450535672
309,118.2870902930653,10.457364266446012,119.14671127338733,24.00965971875914
310,118.54686176310484,10.52514235939562,119.42574871983628,24.15850339276825
311,118.81406564400386,10.594698287227006,119.70154796364606,24.31012208656208
312,119.0811481881409,10.658864654283049,119.98175463867896,24.46002256377113
313,119.3516704974824,10.71638808369636,120.26628275052194,24.62166268526465
314,119.61821157532134,10.7806201210959,120.54303259918996,24.77530815383385
315,119.87849616394062,10.843187911034148,120.82694530870126,24.939904076927835
316,120.14739400541472,10.903720942928658,121.11106204536,25.100890100538837
317,120.41647748316812,10.968693522690966,121.39385084943449,25.256382790183704
318,120.68069561967096,11.039825037774674,121.67902514986706,25.416223861923743
319,120.94583068370224,11.099884460402723,121.95896888940736,25.566937079514556
320,121.21439351853114,11.166193383047068,122.23605805060012,25.72647017351748
321,121.48710351688374,11.231828768088056,122.51779884369962,25.895971956708745
322,121.75525811619488,11.30244201706783,122.7968834121166,26.048617736165284
323,122.02233318433318,11.37112415491348,123.07361740716348,26.213054919977463
324,122.291556349201,11.438185735855464,123.361682596775,26.378694074472875
325,122.56000949279678,11.503190479931066,123.65213695761524,26.54861634108533
326,122.8287160922899,11.568572013802356,123.93563812479331,26.70193747961197
327,123.0951587899179,11.637214409076416,124.216350448896,26.84891742782782
328,123.3685085082764,11.707381074189746,124.49275382526814,27.012220430446455
329,123.63512323908536,11.773990674758693,124.78444984722304,27.1886759762982
330,123.90698704799908,11.848592990617473,125.06811501276268,27.345383756982542
331,124.17334673557995,11.921872771295456,125.34759506641376,27.514321534179405
332,124.4495092789327,11.996578513090922,125.62370770862373,27.68261352261822
333,124.7157473953973,12.069972088244953,125.91045160427328,27.842952969127538
334,124.98251333474477,12.142849303023985,126.19390052430984,28.00779744495777
335,125.25191378889632,12.207848414397638,126.47283182718274,28.175065374046376
336,125.5247501605844,12.27719042367385,126.75830068221671,28.337844985653675
337,125.79713387456977,12.348627093465824,127.04852129942604,28.502469243445848
338,126.06998626651372,12.416364288295345,127.34117752842924,28.67299333765381
339,126.34151081238618,12.492870008330698,127.62997440443937,28.846324742575558
340,126.610581543361,12.567824259341847,127.9162720546958,29.011520103500164
341,126.87559584667775,12.643156276364987,128.19799223451426,29.1798140340564
342,127.1442447692234,12.723073515506249,128.48355237893142,29.355767291986727
