episode,reach_M_mean,reach_M_std,reach_F_mean,reach_F_std,apps_M_mean,apps_M_std,apps_F_mean,apps_F_std
1,0.049443589743589714,0.0017411681902293882,0.02731666666666663,0.00051207638319124,1219.6,25.667099563448925,666.0769230769231,7.238784428341543
2,0.04950119047619044,0.0009580071908799778,0.02737261904761901,0.0012285944995988028,1221.4428571428573,18.755265927200284,667.8000000000001,23.465719677862
3,0.04958999999999996,0.002550381235118472,0.027319999999999962,0.0013693063937629086,1221.5333333333333,42.85510471344108,667.0533333333333,21.077001684300352
4,0.049646874999999965,0.0010762589527308663,0.027270833333333296,0.0018566696588845006,1224.375,31.167932238119356,666.1125,19.245778757951054
5,0.049723529411764666,0.0016326529195011402,0.027252941176470553,0.0010679679562400509,1225.764705882353,30.070583632513685,665.5176470588235,16.809521111560557
6,0.04981388888888885,0.0021987370112054013,0.027237037037037,0.0008079466429027187,1227.2666666666667,58.96575277226603,665.5777777777778,22.283626275810676
7,0.04989298245614032,0.0023467471577104863,0.02728947368421049,0.001903505538035902,1229.1263157894737,47.80543902109884,665.578947368421,30.832450437809836
8,0.04994499999999997,0.0023807095114225336,0.027266666666666634,0.001437204075820654,1230.69,27.720028860013837,665.2,11.523888232710346
9,0.04994603174603171,0.0013998015732397534,0.027281746031745997,0.0011587828863845783,1229.6571428571428,38.81546083714581,664.9047619047619,19.52844079797463
10,0.050074999999999974,0.0018096961070853857,0.02727348484848481,0.0005948856099191511,1231.2272727272727,33.0187825335823,664.4727272727273,21.17923511366735
11,0.050168840579710106,0.002544820447715531,0.027251449275362282,0.0019102065042525729,1232.713043478261,59.39898989040133,663.9739130434782,32.30851281009387
12,0.05009930555555552,0.002119617365888878,0.027256249999999965,0.001057250101810236,1232.3666666666666,35.813963757171585,664.4333333333333,24.38852189043034
13,0.05010666666666664,0.0019440793308001859,0.027265333333333298,0.001537494354099861,1232.376,29.380265485526166,664.48,35.35873300897531
14,0.05013199999999997,0.0014813657362192556,0.027289999999999967,0.0013482498944104569,1234.712,29.048924248584488,664.664,24.522642598219303
15,0.05018066666666663,0.0021724282368917104,0.027241999999999968,0.0005700877125495812,1235.736,37.541443765523994,663.592,15.730225681788548
16,0.05016799999999996,0.0016133126720440296,0.0271633333333333,0.001513458144632874,1235.6879999999999,41.525895535195865,661.904,27.121946832777326
17,0.0502813333333333,0.002033469940766282,0.0270893333333333,0.0012478871031556516,1237.2320000000002,35.230668458035254,660.872,39.293765408777
18,0.0504233333333333,0.00332264954516723,0.0270813333333333,0.002005270832359316,1240.176,48.807376491673885,659.9440000000001,30.689411854905266
19,0.05052266666666663,0.0011345581616745016,0.027089999999999965,0.0007098513146348973,1242.728,26.560120481654444,659.28,10.744300814850634
20,0.050636666666666635,0.0014695048296771295,0.027088666666666632,0.0020310096011589888,1245.4560000000001,25.48411269791436,659.2719999999999,32.91200388915874
21,0.05059266666666664,0.0015648926125740872,0.0270553333333333,0.0009902300518342053,1245.752,20.610676844781203,657.4960000000001,25.298221281347036
22,0.05058666666666663,0.0012128936932440174,0.027033999999999968,0.0012730104302618884,1247.136,21.169789795838785,656.52,22.096153511414606
23,0.05071666666666664,0.0020230614864056276,0.027024666666666634,0.00044534630719623763,1249.544,14.71869559437928,656.0160000000001,26.412118430750684
24,0.050775999999999974,0.0013642254619787599,0.027044666666666634,0.001753250948634808,1252.2879999999998,13.45511055324333,657.432,24.041630560342615
25,0.05080266666666664,0.0021664102412362525,0.02703266666666663,0.0008339997335464335,1252.5040000000001,43.1397728320398,656.928,5.642694391866353
26,0.0508613333333333,0.0023497044731436005,0.0269933333333333,0.0006110100926607858,1253.448,27.339348931530903,655.64,13.749181793837769
