episode,lambda_wealth_mean,lambda_wealth_std,n_seeds
1,0.599916523694992,0.0004043269182873627,10
2,0.7001187443733216,0.0013213272063686814,10
3,0.8005826711654663,0.0026477555794215133,10
4,0.9013352215290069,0.004459572246888538,10
5,1.002408993244171,0.006821234132169209,10
6,1.10377494096756,0.009590591103404149,10
7,1.205429458618164,0.012603410944841995,10
8,1.3073912620544434,0.015927238828204997,10
9,1.4095992684364318,0.019354699987747335,10
10,1.5120779156684876,0.022923916203315447,10
11,1.6148760080337525,0.026677348518836342,10
12,1.7179854035377502,0.030635520942717206,10
13,1.8214036464691161,0.03468755638230315,10
14,1.9251700520515442,0.03889383634046,10
15,2.0292728543281555,0.04312775485671114,10
16,2.133708882331848,0.047378094049534,10
17,2.2385140657424927,0.05162972000982421,10
18,2.343640923500061,0.055858745173892006,10
19,2.449174666404724,0.06016005491546878,10
20,2.55514452457428,0.06463853498788044,10
21,2.6615137100219726,0.06930691723677716,10
22,2.768275237083435,0.07420668772946243,10
23,2.875424385070801,0.07931517372025995,10
24,2.983044481277466,0.08483683260821585,10
25,3.0911409854888916,0.09083932324054722,10
26,3.1995870590209963,0.097303603229285,10
27,3.308417797088623,0.10449764612751314,10
28,3.417673110961914,0.1124905363736919,10
29,3.527236008644104,0.12145855579042139,10
30,3.6370770931243896,0.1315327150923233,10
31,3.747212219238281,0.1427681463018319,10
32,3.8575694799423217,0.1552832039048034,10
33,3.9682151317596435,0.16909196762457085,10
34,4.0790259599685665,0.18428205962842176,10
35,4.189988660812378,0.2008511148812715,10
36,4.301099562644959,0.21901173787114156,10
37,4.412361788749695,0.2387333060351439,10
38,4.52369704246521,0.26013534764750623,10
39,4.635123252868652,0.28309352994010273,10
40,4.746594762802124,0.3076333139204996,10
41,4.858128571510315,0.33384200553380244,10
42,4.969672727584839,0.36179969960981484,10
43,5.081147718429565,0.3915353283782067,10
44,5.1926408290863035,0.4229683584119817,10
45,5.304011344909668,0.4561914212731936,10
46,5.415309715270996,0.4911609246226712,10
47,5.5265425682067875,0.5279166413574304,10
48,5.637710285186768,0.5664225922510593,10
49,5.7488037109375,0.6065604356722929,10
50,5.859674167633057,0.6484610531534907,10
51,5.970323848724365,0.6921061572229852,10
52,6.080777740478515,0.7374120933338997,10
53,6.190962123870849,0.7844023790598412,10
54,6.300906038284301,0.8330336804883093,10
55,6.410560131072998,0.8834287734747226,10
56,6.519911098480224,0.9355301440012335,10
57,6.628919410705566,0.9893406706794748,10
58,6.737536764144897,1.044854506273005,10
59,6.845701217651367,1.1020674351206654,10
60,6.95346040725708,1.160878787806664,10
61,7.060724878311158,1.221337163607303,10
62,7.167525911331177,1.2834546804418718,10
63,7.273885488510132,1.3470424287986076,10
64,7.379614400863647,1.4122448212421177,10
65,7.484807109832763,1.479043688104017,10
66,7.589342164993286,1.5475159321391545,10
67,7.693217086791992,1.6175792568272027,10
68,7.796319580078125,1.6892527761326912,10
69,7.898586130142212,1.7626105965875005,10
70,7.9999370098114015,1.8376459754306942,10
71,8.10042576789856,1.914268219779573,10
72,8.19999384880066,1.992494725379769,10
73,8.282067203521729,2.057725248374974,10
74,8.362758421897889,2.1251347523481394,10
75,8.44239320755005,2.194991325429781,10
76,8.506598973274231,2.2573069693976873,10
77,8.563157653808593,2.318271823118595,10
78,8.589673519134521,2.3642564902176963,10
79,8.599842596054078,2.403795467129396,10
80,8.602953720092774,2.442153883078175,10
81,8.605047607421875,2.4827622520824564,10
82,8.606398105621338,2.52499929683144,10
83,8.607478189468384,2.567778561360798,10
84,8.608295059204101,2.6111184342011424,10
85,8.608838486671448,2.6549175330456487,10
86,8.60134515762329,2.6951087692772275,10
87,8.5921226978302,2.733429645800604,10
88,8.583544278144837,2.7703643608172213,10
89,8.575507307052613,2.805960724581129,10
90,8.568055582046508,2.8401304809837056,10
91,8.561214208602905,2.872782259219609,10
92,8.5500727891922,2.9014837310321977,10
93,8.537203097343445,2.927375027610223,10
94,8.52513120174408,2.951681655196649,10
95,8.513870692253112,2.9743787344273964,10
96,8.503388237953185,2.9955332914390915,10
97,8.493683171272277,3.015145793191966,10
98,8.484758281707764,3.0332110493760838,10
99,8.476581597328186,3.049794219402527,10
100,8.469191431999207,3.064818046649443,10
101,8.462501907348633,3.0784609710889184,10
102,8.456544303894043,3.0906660239689825,10
103,8.45136080980301,3.1013403652439764,10
104,8.446872305870055,3.1106523471832177,10
105,8.443089616298675,3.118582516918598,10
106,8.44000664949417,3.125145636348411,10
107,8.437569880485535,3.1304565523595103,10
108,8.435774946212769,3.134532017861133,10
109,8.434564769268036,3.137496785404184,10
110,8.433931732177735,3.1393686310138866,10
111,8.433896827697755,3.1401108936427238,10
112,8.434371674060822,3.1399108889558613,10
113,8.43536878824234,3.1387614231092424,10
114,8.436800050735474,3.1368550171078096,10
115,8.438722968101501,3.1340858311898523,10
116,8.441106486320496,3.1305289041431807,10
117,8.443972623348236,3.126154508638069,10
118,8.447341871261596,3.1209234899047074,10
119,8.451181364059448,3.1149123884495733,10
120,8.455477595329285,3.108171923817577,10
121,8.460228610038758,3.1007263122861124,10
122,8.46543881893158,3.092547243754109,10
123,8.470803248882294,3.0835257253221586,10
124,8.476359272003174,3.073602604950536,10
125,8.482085192203522,3.062872744699624,10
126,8.48800677061081,3.051228436697038,10
127,8.494104814529418,3.038742691785979,10
