episode,lambda_wealth_mean,lambda_wealth_std,n_seeds
1,1.998781192302704,0.01729943736338051,10
2,1.99618079662323,0.03528379279547979,10
3,1.9920032739639282,0.054712537058404904,10
4,1.985141658782959,0.07312122832876451,10
5,1.9768949747085571,0.09121120946694114,10
6,1.966445517539978,0.11034780051048873,10
7,1.9536864399909972,0.129789984799748,10
8,1.9409575819969178,0.148572081905406,10
9,1.9259063363075257,0.16727515144997968,10
10,1.9095815062522887,0.1877713514536021,10
11,1.8916142225265502,0.20742789955124483,10
12,1.8714362263679505,0.22745356209914616,10
13,1.8502324581146241,0.2465210020358648,10
14,1.8290427446365356,0.26585125109431695,10
15,1.8073832273483277,0.28592073565575354,10
16,1.7843937158584595,0.30403289712234866,10
17,1.7606474041938782,0.3224641951762328,10
18,1.7365854620933532,0.3398761453181445,10
19,1.7124058604240417,0.3580990255794298,10
20,1.6881712913513183,0.3760686964419095,10
21,1.6631745219230651,0.39318197723302106,10
22,1.6380872845649719,0.4099784845965053,10
23,1.6133103132247926,0.4270031985252171,10
24,1.5876150608062745,0.44327333962547577,10
25,1.5628314733505249,0.45968380015589294,10
26,1.5376636028289794,0.4754729284444562,10
27,1.512821626663208,0.4919662941244406,10
28,1.4872029900550843,0.5070734203386708,10
29,1.4618069887161256,0.5211512160246663,10
30,1.4359435319900513,0.5338468778026999,10
31,1.4095959663391113,0.5465617489278929,10
32,1.3827767491340637,0.5584896081631467,10
33,1.3555732131004334,0.5690591323221483,10
34,1.3281450033187867,0.5796701043228363,10
35,1.3007781744003295,0.5914494376962779,10
36,1.2724816620349884,0.6015079228649292,10
37,1.2435433089733123,0.6098731890856127,10
38,1.2145580291748046,0.6180669746212616,10
39,1.1852265000343323,0.6254910045404856,10
40,1.1559073984622956,0.6329390158717442,10
41,1.1258344948291779,0.6390377105143946,10
42,1.0954961359500885,0.6448802309404766,10
43,1.0649026155471801,0.6506343549488639,10
44,1.0341632068157196,0.6562328407082862,10
45,1.0034334659576416,0.6619473608118873,10
46,0.9723231971263886,0.66704922013154,10
47,0.9411074995994568,0.6711266156164437,10
48,0.9096194446086884,0.6740201254916753,10
49,0.877701336145401,0.6769252580432158,10
50,0.8459601163864136,0.6800402637437064,10
51,0.8140142679214477,0.6826162526555132,10
52,0.7815971970558167,0.6844121978951024,10
53,0.7494736611843109,0.6864697697561487,10
54,0.7172636985778809,0.6881455810107542,10
55,0.6846474140882493,0.6890682197483976,10
56,0.6519207179546356,0.6903934985162381,10
57,0.6191634178161621,0.6913445689556689,10
58,0.5867048472166061,0.6924157472582543,10
59,0.5538615480065345,0.6931325261150088,10
60,0.5209246844053268,0.6937578958349864,10
61,0.4880519822239876,0.6942147189041624,10
62,0.45499683469533914,0.6946511133882596,10
63,0.4221655257046223,0.6951005199809888,10
64,0.38921115510165694,0.6957298017858509,10
