episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,0.0037856061631017105,8.251087565416976e-05,0.0037693227393371808,8.885813111358045e-05,0.003774676090700558,9.895212774612601e-05
2,0.003812532387465523,5.389976016425343e-05,0.0037895378748642778,6.46487533880423e-05,0.0037964382865198526,6.820353975901469e-05
3,0.0038511278420407576,6.0102668586354135e-05,0.00383069473713752,6.854006062815407e-05,0.003834011493813192,7.305612979868581e-05
4,0.0038419872106671437,7.604420339908251e-05,0.00381920747901195,7.46199480625702e-05,0.0038301736544118243,8.742984165618854e-05
5,0.0038441708556151226,6.498730566854063e-05,0.003826570535067734,5.750963845035668e-05,0.0038390494997273565,7.472628573632128e-05
6,0.0038412127628309482,6.254907953142246e-05,0.0038244223532848056,5.615643869058035e-05,0.0038392334089045453,6.840757583777401e-05
7,0.0038423292060707904,7.040023906576446e-05,0.003827777743399073,5.871668908898788e-05,0.0038400537214143405,7.524086702577109e-05
8,0.003850416853567393,6.984279854448001e-05,0.0038365743089899653,6.079234780101209e-05,0.0038470086150371855,7.733961915431954e-05
9,0.0038482166937118365,6.578673255201016e-05,0.0038333207660301303,5.3920774755767366e-05,0.0038440178574645884,7.338178515372739e-05
10,0.0038516882651370133,6.366927368820954e-05,0.0038375483087214066,5.070761413838562e-05,0.003850807197149274,7.330943461909147e-05
11,0.003855324858092238,5.777369630518611e-05,0.00384248985047952,4.3106918859159526e-05,0.0038573413161788555,7.250748428380883e-05
12,0.003862557014448726,5.494357927737079e-05,0.0038485421921362227,4.2276572863446736e-05,0.003861058776865453,6.771172258431887e-05
13,0.0038642699416928028,5.137096493128317e-05,0.003852932780384449,4.380434931296258e-05,0.003861703069932986,6.309254073254965e-05
14,0.0038709742726162314,4.9856207227949696e-05,0.003859055842323416,4.433854062644408e-05,0.0038669952346602264,5.991473785227237e-05
15,0.003873996796326765,5.036296722526985e-05,0.0038609967394088937,4.485696587434189e-05,0.0038691350592890334,5.9530882831766636e-05
16,0.003879834188529883,4.5826455134343e-05,0.0038648065946142837,4.234978351832068e-05,0.0038760882316947274,5.6265020607142916e-05
17,0.0038840325957936804,4.3718847646509e-05,0.0038692779401987725,4.4996287544388515e-05,0.0038798715873335603,5.3460831206866126e-05
18,0.0038888247935640434,4.535689319516501e-05,0.003874166502809433,4.4612874546053474e-05,0.0038857283259716327,5.6427813097684594e-05
19,0.003894722151480581,4.7809813548089155e-05,0.0038821117880295714,4.7629753776187675e-05,0.00389237325107659,5.897050503516645e-05
20,0.003900161128066482,4.836743141741294e-05,0.0038875087341279997,4.846053165252017e-05,0.0038972203871959297,5.787199597725795e-05
21,0.0039048253615310466,4.500769757576522e-05,0.0038913992167716412,4.8309567609752814e-05,0.003902200721448456,5.605700538422507e-05
22,0.003911160489006603,4.784564522731368e-05,0.0038961622285774242,4.9094878885340124e-05,0.0039086001412825195,5.8029156577715904e-05
23,0.0039163227112810565,4.7808070057259236e-05,0.0039020776297169634,4.95944558505317e-05,0.00391305838312515,5.83993217753825e-05
24,0.003918842850402767,4.654068191451462e-05,0.003905110162609621,4.890600654649409e-05,0.003915400973445177,5.697894758745587e-05
25,0.003921119619366725,4.4672405690368576e-05,0.003907931653766073,4.516724446906452e-05,0.003918265269139783,5.559559069426297e-05
26,0.003926716370595612,4.4737162943672886e-05,0.003915485474219377,4.7700329728694016e-05,0.003923957348550225,5.382177344607137e-05
27,0.003932702419625653,4.521208336877047e-05,0.00392103338097421,4.703163619790276e-05,0.0039284634236250405,5.301452332777218e-05
28,0.003936313045829761,4.555814345165557e-05,0.003923965760937402,4.6911864629992215e-05,0.003933047457058039,5.462119508984461e-05
29,0.003943473487578202,4.437142669589955e-05,0.003930985231641454,4.5123568646275746e-05,0.003940909013975016,5.189735767781618e-05
30,0.003950438882847306,4.565636340919169e-05,0.003937552628716835,4.891666055602462e-05,0.003949259996009184,5.068187365162834e-05
31,0.003954614551349905,4.87020581748774e-05,0.003942384326649015,5.1554597421362e-05,0.003953266290241153,5.112778028714921e-05
32,0.003962113456896901,4.85841238257269e-05,0.00394920082308204,5.068503309986463e-05,0.003961672968649277,5.050368455504345e-05
33,0.003964287793938747,4.926810531595386e-05,0.0039514961127877874,5.037325723070984e-05,0.00396409688686667,5.273275818736599e-05
34,0.003968869518048721,5.0588495456207614e-05,0.0039547596496568695,5.00579336516903e-05,0.0039684122331136475,5.3086681617544714e-05
35,0.003973744955804738,4.888646953292382e-05,0.00395996743228773,5.030379432293635e-05,0.003973248973718172,5.1836405607221424e-05
36,0.003979255837182053,4.89055347648881e-05,0.0039672129303444876,5.058458704558458e-05,0.003979042822002517,5.301762672184804e-05
37,0.003984180991861008,4.9744454323427597e-05,0.003972253402203465,5.0748809877896696e-05,0.003985445668159434,5.429772902109886e-05
38,0.003989060896364427,5.0436679410925383e-05,0.003976867919490355,5.1167115559284506e-05,0.003990065710566787,5.549379229165691e-05
39,0.003994599712023307,4.893168709677605e-05,0.003984073655565103,5.134517481247906e-05,0.003996016636856804,5.495636404237842e-05
40,0.003999232580205634,4.9143206013044094e-05,0.003988205097988645,4.948622729483162e-05,0.004000402927361785,5.6029468196870246e-05
