episode,rawlsian_maximin_mean,fairness_lagrangian_mean,social_welfare_mean
1,0.6691897153187442,0.990911264741,0.9069974383574433
2,0.6988828676350798,0.9686989807120853,0.8487521324041899
3,0.6822799412269542,0.9234974925237284,0.8479830194406076
4,0.6696855464196364,0.8980643060285742,0.832799818965334
5,0.6613527725643715,0.8951708616969954,0.8218509143292119
6,0.6522065847948535,0.8871928207505618,0.8105404687422539
7,0.6469619572388516,0.880161701667923,0.7974900517669784
8,0.635701164052949,0.8576215392791986,0.7769532264130818
9,0.619177341020853,0.8346616747613144,0.7584645470943607
10,0.6077553046386039,0.8068961831219107,0.7435866602832741
11,0.597426233594451,0.7880705135642336,0.7206719319942199
12,0.587035969479168,0.7671836171406226,0.7060146252091416
13,0.5735573055980349,0.7464239295498172,0.6854564193891074
14,0.5642092669746553,0.7307832873664081,0.6672148755692728
15,0.5477021603465878,0.712528359597558,0.6512206631712983
16,0.5385717751820697,0.6981598451060186,0.6351621149763905
17,0.5285795660216428,0.6874896422868818,0.6233367359232077
18,0.522350321224046,0.6808493408433184,0.6157799132877028
19,0.5120010084013105,0.6732139276904722,0.6072996216743649
20,0.5063830682537009,0.6681674665150477,0.6004267417658633
21,0.5000955604819599,0.6630177605366473,0.59528714443556
22,0.49320319136702423,0.660090345793542,0.5907257688002466
23,0.48703691768693735,0.6592799782355232,0.5869213099553017
24,0.483182045058193,0.659429179784704,0.5844732156349768
25,0.47966564883890755,0.660663069871665,0.5828746368899437
26,0.4763656821413912,0.6623681586650536,0.5821926639241118
27,0.47414829449680573,0.6634451097986466,0.5809979648528372
28,0.47366590344680726,0.6644299904524003,0.580125934434246
29,0.47215378089064136,0.6663597823336938,0.579848985409118
30,0.472540974142888,0.6684310801143365,0.5812686237435881
31,0.4729452425677677,0.6713566177113431,0.5818688608625447
32,0.4737737518885185,0.6738429531446192,0.5836116352385098
33,0.4740837449984246,0.6759062542187395,0.5852061767058835
34,0.47558710614936484,0.6778168383684385,0.586265039350659
35,0.4768732321441089,0.6782866280825816,0.588146206596894
36,0.47783021650242635,0.678716431098656,0.589342291098612
37,0.47865218465728937,0.6795790316569011,0.5892506452599984
38,0.4797433817683591,0.6812113217399782,0.5895331011883302
39,0.4806690225510812,0.6826595704746746,0.5907612706564072
40,0.4819145757588558,0.6831462113047428,0.5909693592043012
