episode,rawlsian_maximin_mean,fairness_lagrangian_mean,social_welfare_mean
1,0.010700627869756268,1.8382117316880018,0.041089073865172146
2,0.010804364201224518,1.9125005342736956,0.040399560887952476
3,0.010855339491361903,1.8992027111335126,0.04064113917886937
4,0.011181122426676442,1.925069950006021,0.037968523701255245
5,0.011269980931924295,1.959019917461686,0.03732111777338832
6,0.011416595397395373,1.969417561375566,0.03616779708143995
7,0.011619245925198106,1.9619614024424636,0.0353853715817545
8,0.011888299485224615,1.9703379687678413,0.035689961470442046
9,0.012271345931360235,1.9546154637041644,0.0348852781070363
10,0.012619784419686437,1.9465875521052756,0.03440736261034367
11,0.01298793692262485,1.952407447520884,0.03465154185767191
12,0.013517900404039218,1.9532318525782586,0.03456019779531638
13,0.014189328314215177,1.9499816321797359,0.035112615356466946
14,0.015188566911068934,1.9538845091636183,0.03608816733455762
15,0.016089781367629924,1.953219002838256,0.03698854592810487
16,0.017116430675093604,1.9489023983177376,0.03826674931468252
17,0.018158510688362637,1.9520748967723984,0.03992353712316185
18,0.019293838158058706,1.9425326754299135,0.04257748359771206
19,0.02073206688300153,1.9448367535187823,0.0452323076460759
20,0.022396529199390454,1.9515225766139996,0.04852066817412063
21,0.024254540710911602,1.9483314350336742,0.051758670951601075
22,0.026169807940981227,1.9445788280280252,0.055101137308980405
23,0.02843634379253737,1.9384109278714867,0.0588755891315817
24,0.03079090996473695,1.9400084870470773,0.06282779365378532
25,0.033366225273943464,1.9392463209202822,0.06755762366406819
26,0.03627948503484282,1.928659200155231,0.07284317797745254
27,0.03950641053205801,1.9197214041436363,0.0779036154031829
28,0.04297487959498867,1.9146913173725868,0.08332517842822375
29,0.0469776333184132,1.9011198364833493,0.08828562975449325
30,0.05138357854155861,1.8835937259660458,0.09425581341661414
31,0.05573650456823422,1.868154969799239,0.09989466708447513
32,0.06053539293303471,1.8484372302542995,0.10591614128906221
33,0.06567780142844726,1.8348852522537253,0.11151858527229407
34,0.07088226327336587,1.8144070266362267,0.1177811216124363
35,0.07659081036997628,1.7953950907574077,0.12414557949827353
36,0.0822835832145854,1.7768619319707235,0.12993187949890264
37,0.08847130326709489,1.7600359415884408,0.1362033435545169
38,0.09503658540141008,1.7397613257755695,0.14300060597822142
39,0.10184274637720969,1.7224672114527861,0.1495989322620838
40,0.10892714225461246,1.7038685783876495,0.15545623968542704
41,0.11640477223190897,1.6866836653916122,0.1615731856835571
42,0.12391550314878771,1.6691574710793355,0.16819714118869974
43,0.13190320047900772,1.6493546734816367,0.1746689516185447
44,0.13974711718588323,1.6344753277257202,0.18176434373223563
45,0.147610909889911,1.6146210834701296,0.18866749279371095
46,0.155095457786797,1.5982292169164753,0.19590431320582075
47,0.16268440586822636,1.583007068805078,0.20311938085974046
48,0.1702687439614749,1.5686746600395067,0.21083320801094602
49,0.17747996828479845,1.5552502092857259,0.2184888094544888
50,0.1841517333225796,1.5376319936737093,0.22667810750146908
51,0.1905194191789627,1.5210896133221896,0.2348354256581169
52,0.19660197357776424,1.506303392518285,0.2441331555623272
53,0.20233585062209203,1.4902514923735999,0.2533904839527181
54,0.20761706613328426,1.475701351486615,0.2633698075426693
55,0.21252917834071441,1.4604172299991662,0.27323072864393005
56,0.21715804193369992,1.4455945937805699,0.2837654019668276
57,0.2213474394628341,1.4306147653924428,0.2946803069892074
58,0.22495200053514705,1.415296925771216,0.30602358014438885
59,0.22848430864365948,1.3992654423211761,0.3173614970167852
60,0.23120966972862625,1.3849634965166497,0.3290101071732888
61,0.23401093252672356,1.3695431469796226,0.3413833501167194
62,0.23634998681960712,1.3554136489560205,0.35350425343323616
63,0.23860246466386245,1.3425597204735396,0.3659891907276129
64,0.24094059961477338,1.3263438513436947,0.3781363033103165
65,0.24305475696882375,1.312768251515616,0.39042049989316213
66,0.244919485373011,1.2973414331933444,0.4024564803136707
67,0.24681443474481848,1.2827690729512304,0.4143536084467806
68,0.24860183867769994,1.2669148662932,0.42628010435723473
69,0.2502211561925152,1.2506958251450757,0.4381262103639615
70,0.2518043353823215,1.2338758474955078,0.4492771662917045
71,0.25349174625144255,1.2188389179224632,0.46005604667207417
72,0.25520238474730383,1.2037180720088956,0.4705800655745776
73,0.2566918238702453,1.1904925850726464,0.48030972155818485
74,0.25815737359683283,1.176632933943172,0.4897158164113178
75,0.2597780225494287,1.1625982896470126,0.4988852943063797
76,0.2611782456038468,1.1481318334374173,0.5077022589130386
77,0.26269919504870864,1.1340522237769939,0.516024413162195
78,0.2642883069708093,1.1202425480205465,0.5238315214695626
79,0.26566801012106306,1.1070976432894526,0.5313223357774446
80,0.26698553738189457,1.094253050669268,0.5385273488641575
81,0.2683483692749492,1.0812087657008171,0.5450682234026558
82,0.26954186679574665,1.0681407661210738,0.55109844797085
83,0.2706311924100299,1.055532783833904,0.556832021147611
84,0.271793186787022,1.0430807468124037,0.5626016332089002
85,0.2727901169379373,1.0314677254060383,0.567480890147485
86,0.2736104011954403,1.0190736605996842,0.5722372852730762
87,0.27437524915245026,1.007305593893992,0.5770740595097192
88,0.2751367377848976,0.9964224288344176,0.5813757442087687
89,0.2759898964258933,0.9856518189897473,0.5848237346606258
90,0.2767372414251112,0.9738613709650615,0.588594790503296
91,0.2775851659827812,0.9623884182435483,0.5920540267207145
92,0.27821887990835537,0.9513901185070059,0.5950342207332378
93,0.27894055138379537,0.9402942131965678,0.5975910464772237
94,0.27951332870485296,0.9295796104174814,0.6007045157019949
95,0.28013528300418716,0.9197971326667271,0.6031012114600812
96,0.2806653518513945,0.910064002841579,0.6054860529509466
