episode,rawlsian_maximin_mean,rawlsian_maximin_std,fairness_lagrangian_mean,fairness_lagrangian_std,social_welfare_mean,social_welfare_std
1,13.35712462816395,0.0104304531660018,13.358229823330086,0.0092207483610863,13.356149821807623,0.0112009158457345
2,13.555753990397353,0.0191728348488634,13.55956626883781,0.0166890838373584,13.555108111605971,0.0167169599337712
3,13.771434975164302,0.0330640287174411,13.7733736304485,0.0300651025046984,13.773510234069269,0.0323622279436837
4,13.975746517958722,0.0572585206950807,13.977391174511572,0.0496394500836743,13.981740966692527,0.0498681994504537
5,14.18329506560048,0.0564393541402987,14.188390437608788,0.046773620681785,14.1979836729265,0.0454967991672721
6,14.386949671559742,0.0657965361056716,14.392197995319131,0.0558577979386674,14.404554817941838,0.0536092513246445
7,14.601914572543956,0.0776684167867935,14.611140703649069,0.0683298873233222,14.621388842943588,0.0675569555059084
8,14.82125068585639,0.0796396064507142,14.828783915426223,0.0757169316046,14.84037231687292,0.0737592720994343
9,15.037739688707296,0.0796888951515694,15.04244673189392,0.0740867245289091,15.05857508762691,0.0723808802869807
10,15.25942264140077,0.0785614453314414,15.265693086492815,0.0712921616122128,15.283685106289605,0.0758374251336504
11,15.486588813022609,0.0771195478119801,15.4868872134818,0.0647241498704494,15.512698767702329,0.0699141855233676
12,15.715943186159992,0.0823230146046627,15.711234784727434,0.0679693133619899,15.741458721104816,0.0694343637072908
13,15.941426377010634,0.0862779177334613,15.935022332992798,0.0807144638099608,15.968013942245047,0.0730709247129222
14,16.16099118963054,0.0970710311048683,16.15643045911973,0.0835716218930237,16.19429400867065,0.0787039701966529
15,16.395402796792865,0.10694659620089,16.391567070110344,0.0796812170229321,16.431611155957064,0.0877351556077267
16,16.626427364588512,0.0981527587389616,16.61519848428953,0.0794103976142381,16.666872270577556,0.0775190643699495
17,16.85515843357984,0.1031198394619172,16.843782633990607,0.0920122529049012,16.897315465630687,0.0802097676268037
18,17.0835084198278,0.1143924915540515,17.0734466522539,0.1000619694791834,17.128425928872918,0.0921498916868933
19,17.325739697381845,0.1258146366229713,17.32349265663718,0.1078789761748514,17.372972684164676,0.1002455904792665
20,17.57114939306636,0.1329214399908669,17.56633832706178,0.1192972609218778,17.616050554902756,0.0970635885049555
21,17.809586284179726,0.1412208526220035,17.799746354971195,0.1362813641280692,17.85985777531802,0.106635342342691
22,18.053614399707467,0.1572211498793865,18.0423826660809,0.1445799847843853,18.111210024545688,0.1200813644530506
23,18.30104916800147,0.1542293817677204,18.28917732573725,0.1415462147016868,18.354612789479027,0.1153011170518986
24,18.53514122982358,0.1540949313229781,18.524965976275706,0.145083878218014,18.592737465531684,0.1188826148552475
25,18.770260920762883,0.1573132269720351,18.762552134698037,0.1391992925514409,18.82911458565139,0.1239203118815777
26,19.033011376191176,0.1623137321945983,19.029752864655578,0.1545488206347229,19.092642673979796,0.1270437442764021
27,19.283960517251437,0.167542380783134,19.280395690965424,0.1609933886201474,19.33692948796801,0.1301667985129438
28,19.53681885422718,0.179841784699953,19.53664900960009,0.1637200292701041,19.597087658999943,0.1413722376232395
29,19.80451535390325,0.1875719839914283,19.8060191804373,0.1646811221278801,19.87126050482835,0.1426337641076115
30,20.076561828167627,0.1998594837350289,20.0653218270296,0.1916851841647948,20.14488126626989,0.1453309460645994
31,20.3334019150564,0.2226649156332235,20.32287679772524,0.2138271234260133,20.405800441889888,0.1581746987318552
32,20.611599421796967,0.23780599956337,20.594772148217192,0.2141624936138136,20.686263279320222,0.169422797802754
33,20.87089985894618,0.2478818905788433,20.858288309358475,0.2172653442096223,20.948139369814108,0.1828324789836091
34,21.1393155768182,0.2586648033503184,21.12852354668536,0.2233060613683412,21.217342654748613,0.1883221790206459
35,21.412128269546947,0.2548211314118619,21.396168850124678,0.2298997939395405,21.487257693125965,0.1849958727917895
36,21.683749004990748,0.2605947546967474,21.674096628099917,0.2324384309568334,21.766941903139184,0.18789733492937
37,21.957212178957697,0.2746816825775054,21.951327776059887,0.2426988036213032,22.053034859784347,0.2064457019911547
38,22.23837286944882,0.289571742679185,22.230032995544928,0.2546528286018159,22.327644727287417,0.2227718803871239
39,22.517730001327035,0.2867201512216668,22.51829194292194,0.2631442094805403,22.6132200416884,0.2223613453925833
40,22.79014359668681,0.2990789980977851,22.78777744378353,0.2693467805822996,22.889161524914016,0.2386571462214531
41,23.069810813560217,0.3114166116659526,23.07044092409408,0.2894244326408403,23.175410843567477,0.2669301477939795
42,23.35700288444454,0.3206033352041124,23.35861163530405,0.3034652047541763,23.466663401772852,0.2702084024249083
43,23.65002944461244,0.3124230607546448,23.653864128363715,0.3158411321729746,23.75669842424601,0.2634175059471169
44,23.93495072014659,0.3212996144334254,23.944693844962725,0.3191968644277729,24.05105306132844,0.2667845285680112
