episode,reach_rate_M_mean,reach_rate_M_std,reach_rate_F_mean,reach_rate_F_std
1,0.0981749999999999,0.0025901791014865,0.0551416666666666,0.0015245167216426
2,0.0979999999999999,0.0029876288132774,0.0564499999999999,0.0023931486568592
3,0.1009416666666666,0.003300544754887,0.0554416666666666,0.002507411852395
4,0.0976499999999999,0.0038141225549525,0.0551416666666666,0.0019345183150105
5,0.0999249999999999,0.0020632177015406,0.0557499999999999,0.0023934065809486
6,0.0989249999999999,0.0047057638022921,0.0557916666666666,0.0020862017290571
7,0.0996166666666666,0.0046567686035662,0.0537833333333333,0.002904657817547
8,0.1005249999999999,0.002953353921005,0.0547833333333333,0.0022543510741302
9,0.0990666666666666,0.0036655722272363,0.0536499999999999,0.0014491376746189
10,0.1007249999999999,0.0043351224938906,0.0535583333333333,0.0020427718097395
11,0.1009166666666666,0.0034271519327818,0.0531833333333333,0.0037623869492059
12,0.1009166666666666,0.0028461041165029,0.0536583333333332,0.0016779479310334
13,0.1007916666666666,0.0030238889399228,0.0537333333333333,0.0029632002219822
14,0.1017083333333333,0.0023685340832894,0.0551416666666666,0.0027168455973794
15,0.1010083333333333,0.0037029871992123,0.0521833333333333,0.0021447610589527
16,0.1024416666666666,0.0046701458591439,0.0540166666666666,0.0021523028149884
17,0.1017749999999999,0.003436830742931,0.0536916666666666,0.0022737260712129
18,0.1022583333333333,0.0042241315127534,0.0541083333333332,0.0024608195212264
19,0.1034333333333333,0.0030874097177783,0.0522249999999999,0.001842590266144
20,0.1032833333333333,0.0037288912064619,0.0526249999999999,0.0024101924773299
21,0.1035333333333332,0.0030772462437127,0.0530249999999999,0.0032203179238802
22,0.1030666666666666,0.0042347766568419,0.0527916666666666,0.0023410091999123
23,0.1046416666666666,0.0017704057217917,0.0530416666666666,0.002564672746433
24,0.1028666666666666,0.0016732278260968,0.0534499999999999,0.0012051842746246
25,0.1025083333333333,0.0037216935777169,0.0526916666666666,0.0029889327753903
26,0.1056999999999999,0.0032097940397754,0.0508916666666666,0.0012650635566915
27,0.1054083333333332,0.0033109083644116,0.0531416666666666,0.0022100534879846
28,0.1041499999999999,0.0027612843674682,0.0512416666666666,0.0018115072845493
29,0.1070999999999999,0.005224113132838,0.0511916666666666,0.0019759549964885
30,0.1074666666666666,0.0047541729558175,0.0516999999999999,0.0020310855821395
31,0.1050416666666666,0.0036916760722227,0.0514666666666666,0.0016956735068919
32,0.1078083333333333,0.0018484436229326,0.0510666666666666,0.0020453198608856
33,0.1046916666666666,0.0035655350402789,0.0494999999999999,0.002133289930114
34,0.1059416666666666,0.0036091982112922,0.0505999999999999,0.0017212362769206
35,0.1073249999999999,0.0030592023692136,0.0506999999999999,0.0029536543592766
36,0.1083583333333333,0.0038823456858826,0.0511666666666666,0.0012466003151287
37,0.1070666666666666,0.0030476665836239,0.0500999999999999,0.0022641189385501
38,0.1075833333333333,0.0038103173776627,0.0492916666666666,0.0021731562356837
39,0.1091499999999999,0.0018014054869448,0.0501583333333332,0.0021359828743475
40,0.1078249999999999,0.0043357276149012,0.0510666666666666,0.0030122691500094
41,0.1092083333333333,0.0034621520639019,0.0503916666666666,0.0018958409645756
42,0.1098833333333333,0.0037054347806404,0.0507416666666666,0.0026572315724508
43,0.1098999999999999,0.0032657028056476,0.0492999999999999,0.0024855135843076
44,0.1098166666666666,0.0035452977029396,0.0492416666666666,0.0016971517534015
45,0.1098833333333333,0.0031508376311352,0.0494916666666666,0.0018858022165646
46,0.1094083333333333,0.0039261017168889,0.0490666666666666,0.0025512645133901
47,0.1110749999999999,0.0026029571265138,0.0493083333333333,0.0027346795465323
48,0.1112416666666666,0.0043660534627402,0.0482499999999999,0.0008624541497922
49,0.1115833333333332,0.0036512723978712,0.0484499999999999,0.0013484101292052
50,0.1105583333333332,0.0024394045266097,0.0479249999999999,0.0013946823612883
51,0.1127166666666666,0.0046942307643676,0.0479166666666666,0.0027752766517641
52,0.1131749999999999,0.0054379851138786,0.0468499999999999,0.0020297935186602
53,0.1128499999999999,0.0029323125328183,0.0488749999999999,0.0025222008075449
54,0.1143333333333333,0.0058353171229956,0.0478166666666666,0.0015829921659726
55,0.1137333333333332,0.0036225885976947,0.0467666666666666,0.0012812754062521
56,0.1145749999999999,0.004527769256979,0.0472666666666666,0.0017763883459299
57,0.1141083333333333,0.0030041252501383,0.0470833333333332,0.0014577379737113
58,0.1144749999999999,0.0050013964099422,0.0469333333333332,0.0014708064471364
59,0.1134416666666666,0.0025802101790166,0.0459916666666666,0.0026127211348314
60,0.1152333333333333,0.0029257266692584,0.0473999999999999,0.0026847764695329
61,0.1145666666666666,0.0037165794708256,0.0457499999999999,0.0027236390870567
62,0.1158583333333332,0.0031269561778623,0.0471166666666666,0.0018938659918435
63,0.1163249999999999,0.0023747806916288,0.0467249999999999,0.0022065593853299
64,0.1165333333333333,0.0018836528735805,0.0457166666666666,0.0018007200206008
65,0.1173333333333333,0.0043052867299589,0.0453083333333332,0.0016358493471037
66,0.1157916666666666,0.0037602226917242,0.0469916666666666,0.0023874187983088
67,0.1190333333333333,0.0035560329540613,0.0458999999999999,0.0033657681235831
68,0.1165666666666666,0.0037722181312365,0.0441833333333333,0.0021223385657463
69,0.1183499999999999,0.0040446581140139,0.0449999999999999,0.0025864676326632
70,0.1183083333333333,0.0030654008055661,0.0447249999999999,0.0023567115873973
71,0.1197749999999999,0.002457367983719,0.0441916666666666,0.0024820497552737
72,0.1174916666666666,0.0027485826875179,0.0438999999999999,0.0027835495591327
73,0.1190166666666666,0.0042294893600662,0.0439166666666666,0.0018484227510682
74,0.1202249999999999,0.003095209859456,0.0438083333333332,0.0016111350572932
75,0.1198666666666666,0.0041036343422404,0.0439999999999999,0.0023645399938922
