episode,reach_rate_M_mean,reach_rate_M_std,reach_rate_F_mean,reach_rate_F_std
1,0.0090166666666666,0.0047177756843037,0.0142249999999999,0.0044862702070172
2,0.0093499999999999,0.0048174707774264,0.0147083333333332,0.0041225909538589
3,0.0094083333333333,0.0048373945262371,0.0157083333333333,0.0042290241264065
4,0.0098749999999999,0.0052546643007503,0.0173833333333333,0.0047945764112132
5,0.0105416666666666,0.0055046627261254,0.0185833333333332,0.0052041649986653
6,0.0107249999999999,0.005615928899782,0.0199749999999999,0.0061224705031325
7,0.0112499999999999,0.0058815467857182,0.0209499999999999,0.0054669602450527
8,0.0113499999999999,0.0059722609817863,0.0232916666666666,0.0062904554880321
9,0.0114833333333333,0.0061210525198381,0.0253916666666666,0.0059376973651408
10,0.0126999999999999,0.0066468687513392,0.0270916666666666,0.0054563998554647
11,0.0128499999999999,0.0065991722264291,0.0285749999999999,0.0053299251262894
12,0.0131416666666666,0.0067958604411658,0.0314249999999999,0.0055672723666925
13,0.0135499999999999,0.0069885488346876,0.0336499999999999,0.0062474439217615
14,0.0144749999999999,0.0074033953255029,0.0348583333333333,0.0067031467182156
15,0.0137999999999999,0.007210481910574,0.0387749999999999,0.0063464836672185
16,0.0156083333333332,0.0077272216031186,0.0393916666666666,0.006234616871217
17,0.0150916666666666,0.0075834299953139,0.0410333333333332,0.006875681784376
18,0.0158499999999999,0.0079941915642191,0.0411749999999999,0.0072071905538158
19,0.0150333333333333,0.0073876565388357,0.0437916666666666,0.0071745488523368
20,0.0169333333333333,0.0083688871186639,0.0441333333333333,0.0064224000359851
21,0.0163083333333333,0.00820559975163,0.0450166666666666,0.0067870837752925
22,0.0162083333333333,0.0076662892419175,0.0460583333333333,0.005051593380213
23,0.0160666666666666,0.0074197143134912,0.0454083333333332,0.0047579449475016
24,0.0163999999999999,0.0074818504676151,0.0446249999999999,0.0053167058514752
25,0.0159583333333332,0.0071215472465739,0.0435416666666666,0.0067086927669983
26,0.0164416666666666,0.0076406614105143,0.0445916666666666,0.0055186901850008
27,0.0165499999999999,0.0072285442415365,0.0434249999999999,0.0057070253976033
28,0.0165916666666666,0.0072779315081303,0.0418583333333332,0.0052369841594585
29,0.0163999999999999,0.006987510904605,0.0419916666666666,0.0066603500167542
30,0.0170333333333333,0.0068595027354596,0.0412333333333332,0.0060051161315237
31,0.0168499999999999,0.0066813264743455,0.0404999999999999,0.0067823299831252
32,0.0169249999999999,0.0065847337938448,0.0394166666666666,0.0075824684081434
33,0.0161499999999999,0.0061276040068037,0.0381749999999999,0.0078678759663725
34,0.0173666666666666,0.0064594174717287,0.0380249999999999,0.008743608776955
35,0.0166833333333333,0.0063088953465584,0.0374333333333333,0.0087956744419566
36,0.0167583333333332,0.0060413250222688,0.0374249999999999,0.0089398236856698
37,0.0162666666666666,0.0057953525441608,0.0369249999999999,0.0092373913064321
38,0.0169583333333332,0.0061000215037062,0.0382749999999999,0.0106259385932563
39,0.0167749999999999,0.0059399061076671,0.0372249999999999,0.0096669899371233
40,0.0177916666666666,0.0064915959440829,0.0376583333333333,0.0088459422587107
41,0.0168499999999999,0.005816483601067,0.0381416666666666,0.0100520290010045
42,0.0177166666666666,0.0061593049150888,0.0394749999999999,0.0116539646462184
43,0.0182416666666666,0.005829158559018,0.0399416666666666,0.0098739783031392
44,0.0180916666666666,0.0055267936030635,0.0406833333333333,0.0101315270076219
45,0.0186166666666666,0.0058513214715107,0.0404333333333333,0.0101062870054752
46,0.0180916666666666,0.0054348626000554,0.0423916666666666,0.0120093231529754
47,0.0184083333333332,0.0055436608776084,0.0412749999999999,0.0099723421534106
48,0.0186083333333333,0.0052066923340762,0.0422083333333333,0.0101287430209866
49,0.0193166666666666,0.0055772908153964,0.0417999999999999,0.0100401355064388
50,0.0188416666666666,0.0051223382127141,0.0426666666666666,0.0102590670526185
51,0.0201249999999999,0.0057732688068415,0.0423833333333333,0.0105376456245521
52,0.0193999999999999,0.0053369200902189,0.0429249999999999,0.0116478320189098
53,0.0200083333333333,0.0052024522351732,0.0421166666666666,0.0087693524966143
54,0.0197583333333333,0.0051370792609549,0.0418249999999999,0.0120789232054214
55,0.0200916666666666,0.0056292953421705,0.0419583333333333,0.0113399524516171
56,0.0208249999999999,0.005511134912583,0.0432083333333333,0.0118646072130933
57,0.0202499999999999,0.004990732151439,0.0410333333333333,0.0104303391751487
58,0.0211083333333333,0.0049049688210836,0.0427916666666666,0.0126859167807415
59,0.0204166666666666,0.0052478684679391,0.0413333333333333,0.0129112593221556
60,0.0203499999999999,0.0050935386326667,0.0414166666666666,0.0129373490329355
61,0.0210833333333332,0.0052901900827012,0.0423416666666666,0.0118329062259905
62,0.0208833333333333,0.0045166359162544,0.0419249999999999,0.0106692307392755
63,0.0217666666666666,0.005537860709206,0.0436583333333332,0.0124675783237667
64,0.0219499999999999,0.0057211703456073,0.0428333333333333,0.0113192314226717
65,0.0216999999999999,0.0052900733967696,0.0433999999999999,0.0125196019145484
66,0.0222249999999999,0.0053363778925733,0.0432249999999999,0.0117724732551494
67,0.0219833333333332,0.0051500329616588,0.0431083333333332,0.0124784412854162
68,0.0225249999999999,0.0059450999119411,0.0446249999999999,0.0116735594717609
69,0.0239499999999999,0.0059597673746962,0.0439583333333333,0.0123867243998574
70,0.0238166666666666,0.0061587536818401,0.0446999999999999,0.0138942323054577
71,0.0234749999999999,0.0063809189419087,0.0432583333333333,0.0116169210610329
72,0.0239916666666666,0.0069001308361186,0.0443166666666666,0.0126962252580233
73,0.0238666666666666,0.0069663210972241,0.0442749999999999,0.0134941145149731
74,0.0252499999999999,0.007874987752293,0.0448916666666666,0.0117799428041538
75,0.0247583333333332,0.0091100482103588,0.0448749999999999,0.0113534169817061
76,0.0252499999999999,0.00843859446491,0.0442083333333332,0.012454996146621
77,0.0259999999999999,0.0083146085926748,0.0450333333333333,0.0140903828510402
78,0.0252749999999999,0.0088246856692175,0.0457999999999999,0.0141106845954789
79,0.0250749999999999,0.0077340486977558,0.0455583333333333,0.0128536425398876
80,0.0261166666666666,0.0076291554149642,0.0456249999999999,0.0121797399321502
81,0.0259166666666666,0.0085826590889442,0.0445083333333333,0.0114824376095317
82,0.0263583333333332,0.007872248686539,0.0454333333333333,0.013751139122287
83,0.0264749999999999,0.0080110889582063,0.0446749999999999,0.0122837121153718
84,0.0264999999999999,0.0080360875868611,0.0466333333333332,0.0118707156013817
85,0.0265999999999999,0.0071898634063846,0.0462416666666666,0.0129031560164629
86,0.0268749999999999,0.0078316832383389,0.0454749999999999,0.0128952361047609
87,0.0265416666666666,0.0061881819364828,0.0454416666666666,0.0121995401906874
88,0.0263333333333332,0.0058494486392066,0.0464333333333332,0.0112675651625077
89,0.0264499999999999,0.0062684542367731,0.0462999999999999,0.0121814471357465
90,0.0270416666666666,0.0059149384539131,0.0470249999999999,0.0128581440061911
91,0.0271499999999999,0.0061564981227807,0.0477749999999999,0.013387450937075
