episode,reach_rate_M_mean,reach_rate_M_std,reach_rate_F_mean,reach_rate_F_std
1,0.0132416666666666,0.0287483883069453,0.0071083333333333,0.017992713288481
2,0.0139083333333333,0.0296102629125964,0.0069416666666666,0.0171245460424647
3,0.0147916666666666,0.030308502504645,0.0075999999999999,0.01835738321544
4,0.0143249999999999,0.0278766974791792,0.0071666666666666,0.0174224914945177
5,0.0146916666666666,0.0288062935188874,0.0072166666666666,0.0165504839360823
6,0.0146333333333332,0.0266846351499588,0.0072749999999999,0.0164432267754879
7,0.0157333333333333,0.0265500866056107,0.0079916666666666,0.0183837459239821
8,0.0157166666666666,0.0258017489119164,0.0077166666666666,0.0173136551404083
9,0.0153166666666666,0.0224897713375395,0.0078999999999999,0.0173492982033322
10,0.0157916666666666,0.0226116997602874,0.0084583333333333,0.0174068619398383
11,0.0168249999999999,0.0225933061893982,0.0083499999999999,0.0167885726861906
12,0.0168583333333333,0.0219821774750184,0.0087749999999999,0.0168329689179476
13,0.0179333333333333,0.020987018327328,0.0092083333333333,0.0170542548363946
14,0.0186416666666666,0.0200333460436269,0.0091666666666666,0.0163574557320107
15,0.0185749999999999,0.0179834221499196,0.0097333333333332,0.016474016203602
16,0.0198083333333333,0.0179126847427,0.0104666666666666,0.0171361739250663
17,0.0200666666666666,0.0158274745495699,0.0103666666666666,0.0168799866888953
18,0.0203249999999999,0.0144737123353143,0.0114666666666666,0.0178671451704856
19,0.0220583333333332,0.0140038051486721,0.0114583333333333,0.0176048117896258
20,0.0220833333333332,0.0145606967171522,0.0113416666666666,0.0159894568851315
21,0.0230166666666666,0.0136347753470833,0.0128249999999999,0.0176653760010722
22,0.0230083333333332,0.0106601868338849,0.0124083333333333,0.0164572702422716
23,0.0237249999999999,0.0096310847369274,0.0129916666666666,0.017266897699727
24,0.0248583333333333,0.009726114300311,0.0134833333333333,0.0171544724758858
25,0.0259333333333332,0.0085796737973617,0.0143499999999999,0.0173925182580908
26,0.0246416666666666,0.0070550141962041,0.0141333333333333,0.0171983795532968
27,0.0257083333333332,0.0074809686522073,0.0151083333333333,0.0169089815603248
28,0.0260916666666666,0.0069328180453104,0.0151249999999999,0.0165918808234406
29,0.0244416666666666,0.0054302607194757,0.0154249999999999,0.0169058052159605
30,0.0262833333333332,0.0050794915658854,0.0171416666666666,0.0192289266567421
31,0.0264999999999999,0.0046961699655867,0.0173083333333333,0.0189685839198904
32,0.0262166666666666,0.0040401534013169,0.0179916666666666,0.0197553887788236
33,0.0265499999999999,0.0045381102283267,0.0173999999999999,0.019643104215217
34,0.0256499999999999,0.0042395113857758,0.0184749999999999,0.0199357397438821
35,0.0255916666666666,0.0041224412191004,0.0184416666666666,0.0190865091163081
36,0.0263583333333332,0.0054010529951843,0.0192499999999999,0.0204556506123689
37,0.0258833333333332,0.0059291339696139,0.0188083333333333,0.020943193670286
38,0.0255416666666666,0.006905920925348,0.0200083333333332,0.0225962772116815
39,0.0248499999999999,0.0070575019187622,0.0194499999999999,0.0209554274180128
40,0.0247166666666666,0.0077623060402001,0.0202833333333332,0.0215422424523665
41,0.0257749999999999,0.0085418405583022,0.0205083333333333,0.0219197628428416
42,0.0245583333333333,0.0089251041768654,0.0199833333333332,0.0223699533932195
43,0.0243416666666666,0.0087662063320908,0.0209999999999999,0.0233394833165064
44,0.0251583333333333,0.009401409304651,0.0204666666666666,0.0216030833418876
