episode,reach_rate_M_mean,reach_rate_M_std,reach_rate_F_mean,reach_rate_F_std
1,0.0979749999999999,0.0032327533844146,0.0550166666666666,0.0018378731669453
2,0.0980083333333333,0.0031275483436671,0.0561999999999999,0.0022862984262399
3,0.1015666666666666,0.0036419198572886,0.0551999999999999,0.0024092158449699
4,0.0981416666666666,0.0041276039293433,0.0551666666666666,0.0023030441475749
5,0.1003083333333332,0.0028268034776465,0.0550666666666666,0.0025554951683686
6,0.0990666666666666,0.004810257815015,0.0555416666666666,0.0018254248617584
7,0.0993999999999999,0.0050249070994422,0.0533166666666666,0.0029391461765134
8,0.1006833333333332,0.0035003968029035,0.0549833333333332,0.0024554047213604
9,0.0992666666666666,0.0044151464889082,0.0533333333333332,0.0018579990564656
10,0.1010499999999999,0.0042136609108475,0.0534666666666666,0.0025733678754158
11,0.1009999999999999,0.0042328083664001,0.0534499999999999,0.004116962802364
12,0.1014166666666666,0.0033421180539322,0.0531583333333332,0.0016519956132426
13,0.1005833333333333,0.0026874192494328,0.0532333333333333,0.0023316131225154
14,0.1016416666666666,0.0032709557066044,0.0545666666666666,0.0019526809680444
15,0.1014583333333333,0.0037377887600578,0.0514999999999999,0.001909204475271
16,0.1030999999999999,0.0040142108675166,0.0537583333333333,0.0026583928357441
17,0.1017333333333333,0.0029978902046293,0.0534916666666666,0.0021334526876334
18,0.1024083333333333,0.0047905916668526,0.0544583333333332,0.0021195918836149
19,0.1041166666666666,0.0028774345569672,0.0521583333333332,0.0022448328871784
20,0.1037666666666666,0.0038489617006199,0.0519833333333332,0.0025603216426027
21,0.1034999999999999,0.0032751873002703,0.0529166666666666,0.0030588366222277
22,0.1039833333333332,0.0042790041532125,0.0520083333333332,0.0026884096221179
23,0.1047249999999999,0.0023054049482268,0.0524333333333333,0.0032810247571132
24,0.1029999999999999,0.0026888544534066,0.0528666666666666,0.000753796973026
25,0.1028833333333333,0.0042850227249206,0.0522083333333332,0.0028442735408727
26,0.1053916666666666,0.0035425216832848,0.0504499999999999,0.0017092702940938
27,0.1050833333333333,0.0029809063167325,0.0531749999999999,0.0025454055681114
28,0.1049833333333332,0.0030743864187593,0.0508916666666666,0.0021688201548762
29,0.1068833333333333,0.003654271979985,0.0507749999999999,0.0019988615587039
30,0.1084583333333333,0.0040008197462489,0.0515749999999999,0.0021233017905674
31,0.1059166666666666,0.0037245017895346,0.0506666666666666,0.0017651460961463
32,0.1092416666666666,0.002015162432567,0.0508166666666666,0.0018645490634136
33,0.1043999999999999,0.0051260048698695,0.0497249999999999,0.0017217965423746
34,0.1063249999999999,0.0032964276399134,0.0495166666666666,0.0017540957362276
35,0.1071666666666666,0.0034439963866286,0.0502999999999999,0.0026291340169364
36,0.1085999999999999,0.0042935855113424,0.0501249999999999,0.0019732978287596
37,0.1087499999999999,0.0038331320398034,0.0494499999999999,0.0021901152796763
38,0.1076499999999999,0.0041858447530094,0.0495416666666666,0.0023234745427091
39,0.1089499999999999,0.0024254947312575,0.0500333333333333,0.0024305793649627
40,0.1078166666666666,0.0046672949312539,0.0504916666666666,0.0027314045814661
41,0.1101749999999999,0.0051631484437164,0.0498249999999999,0.0017831732361504
42,0.1102833333333333,0.0026565781387731,0.0497999999999999,0.0027580409937955
43,0.1098666666666666,0.0039493709453782,0.0492499999999999,0.0029746874511616
44,0.1099333333333332,0.0035842591396614,0.0485583333333332,0.001735633267573
45,0.1108749999999999,0.0036858190874864,0.0486583333333332,0.0021859716883395
46,0.1090166666666666,0.0037572563538627,0.0486749999999999,0.0018140611624844
47,0.1115499999999999,0.0023330687680699,0.0493416666666666,0.0023870955801228
48,0.1124166666666666,0.0044347115652166,0.0483083333333332,0.0012095619551956
49,0.1114583333333333,0.0031584322763745,0.0481916666666666,0.0016424396563318
50,0.1117083333333333,0.0036931388670558,0.0478499999999999,0.0016977654158944
51,0.1133166666666666,0.0051172668244958,0.0479499999999999,0.0025694669668682
52,0.1133249999999999,0.0050846916825086,0.0469166666666666,0.0018575837219222
53,0.1135333333333332,0.0029606993668288,0.0487416666666666,0.0021489482066959
54,0.1146416666666666,0.0049898121516387,0.0473749999999999,0.0020364161511687
55,0.1145583333333332,0.0037145547063768,0.0464249999999999,0.001906960123752
56,0.114725,0.00420776948918,0.0466749999999999,0.0019839051463287
57,0.1147749999999999,0.0029671686009009,0.0470999999999999,0.0014978379480165
58,0.1143499999999999,0.0043756481001442,0.0465583333333333,0.0010936474819679
59,0.1144666666666666,0.0016965833494786,0.0457833333333332,0.0023111378203584
60,0.1147333333333332,0.0025935580213051,0.0470999999999999,0.0026962479645647
61,0.1151416666666666,0.0032808483734215,0.0457249999999999,0.0026049128560576
62,0.1165083333333333,0.0037056950665058,0.0464749999999999,0.0021133212115553
63,0.1160416666666666,0.0031086920158456,0.0470583333333333,0.0023710737526995
64,0.1160583333333333,0.002883020214212,0.0454499999999999,0.0018062819051819
65,0.1169083333333332,0.004035423777217,0.0449749999999999,0.0014142408424641
66,0.1158583333333332,0.0042682162261401,0.0466749999999999,0.0022667245362983
67,0.1195166666666666,0.005593316117044,0.0456749999999999,0.0021262069920023
68,0.1158416666666666,0.0035176911795334,0.0444499999999999,0.0029690273587136
69,0.1189916666666666,0.0052877756181266,0.0448583333333333,0.0019357145297643
70,0.1188166666666666,0.0038284590588684,0.0443749999999999,0.0020754480402797
71,0.1198416666666666,0.0031513885828313,0.0440749999999999,0.0021880885451648
72,0.1180916666666666,0.0030925662562639,0.0433833333333333,0.0029408258687184
73,0.1199749999999999,0.0033423604618278,0.0431666666666666,0.0017559422921421
74,0.1197249999999999,0.003278260322296,0.0432833333333333,0.0016011184362543
75,0.1206083333333332,0.0046825210182571,0.0430916666666666,0.0021968868264876
76,0.1210166666666666,0.0029436057505744,0.0441916666666666,0.0019100328030277
77,0.1215249999999999,0.0034889707173701,0.0429916666666666,0.0027485826875179
78,0.1209249999999999,0.0039251189334815,0.0433083333333333,0.002379195449654
79,0.1197499999999999,0.0013419858143534,0.0432499999999999,0.0027593835418194
80,0.1213999999999999,0.0028141507501277,0.0435833333333333,0.0029231409624613
81,0.1243083333333332,0.0042172942733053,0.0429583333333332,0.0017704928866641
82,0.1211416666666666,0.0036512829641032,0.0425916666666666,0.0017188362772958
83,0.1241166666666666,0.0029051890569789,0.0428166666666666,0.0019688155240908
84,0.1216583333333333,0.0055773807406277,0.0431166666666666,0.0022135943621178
85,0.123925,0.0029651915808445,0.0406333333333333,0.0011694411454163
86,0.1224416666666666,0.0056829898343029,0.0426416666666666,0.0013129518622526
87,0.1239833333333333,0.0043402366664719,0.0412833333333332,0.0025921891220442
88,0.1242833333333333,0.0031044571701003,0.0421583333333333,0.0032903361117665
89,0.1237333333333333,0.0048860155697816,0.0418833333333333,0.0027364142528065
90,0.1249249999999999,0.0053373032100074,0.0411416666666666,0.0017235881679912
91,0.1259166666666666,0.0045614798876496,0.0405499999999999,0.0023772974592752
92,0.1258416666666666,0.0048641181175757,0.0392666666666666,0.0019906416857354
93,0.1260416666666666,0.0044342330610271,0.0405833333333333,0.0024598629892589
94,0.1273416666666666,0.0037858268010965,0.0403749999999999,0.0016439423032139
95,0.1283999999999999,0.0055556666655555,0.0396833333333333,0.0018670303878447
96,0.1285166666666666,0.0045066480385326,0.0400999999999999,0.0015279292854168
97,0.1270083333333333,0.0058578123945191,0.0381166666666666,0.0016915731592474
98,0.1290999999999999,0.0044872590550536,0.0384666666666666,0.0018510090674821
99,0.1306249999999999,0.0051960410499333,0.0392499999999999,0.0017638342073763
100,0.1275749999999999,0.0042403576165282,0.0398333333333333,0.0017082768735024
101,0.1283833333333333,0.0043569867263205,0.0386333333333332,0.0022933747842937
102,0.1276416666666666,0.0043702222589466,0.0385833333333333,0.0024754972065734
103,0.1308916666666666,0.0048519834941146,0.0387249999999999,0.0022295192694478
104,0.1291666666666666,0.0043480874183405,0.0397249999999999,0.0021776962853233
105,0.1308416666666666,0.0031847558388495,0.0377583333333333,0.0020995480113233
106,0.1312166666666666,0.003450979463755,0.0378916666666666,0.0019531748450429
107,0.1315166666666666,0.003556597069679,0.0370166666666666,0.0037080576260388
108,0.1308833333333333,0.003788424539809,0.0373749999999999,0.001212238262446
109,0.1321416666666666,0.0056328032294961,0.0370749999999999,0.0027421183349671
110,0.1326,0.0045383822646673,0.0371583333333333,0.0021258440589476
