reward,label,apr_disp_mean,apr_disp_std,wealth_gap_mean,wealth_gap_std,rho_mean,rho_std,n_configs,total_seeds
social_welfare,Social Welfare,0.0005995165906977773,0.001047646862126061,12.66650093026662,0.14760859517857414,23.526462390625728,31.147869884543667,3,9
rawlsian_maximin,Rawlsian Maximin,0.0028711334419201863,0.002805764234653297,20.33260436506108,11.009532549536067,22.949460031861506,15.313923159956614,3,9
fairness_lagrangian,Fairness Lagrangian,0.0007478030494339297,0.001990638031300346,60.13515060750816,0.6269296664359427,0.9953611803073775,0.009804803639436865,3,9
utilitarian_profit,Utilitarian Profit,-0.001382289612827891,0.005719485916622639,13.3636538461022,0.13832167201502532,1.204184337618678,0.3757687470769452,2,5
