episode,pg_rawlsian_maximin_mean,pg_fairness_lagrangian_mean,pg_social_welfare_mean,sac_rawlsian_maximin_mean,sac_fairness_lagrangian_mean,sac_social_welfare_mean
1,1.8530006618877035,0.17901929473532413,1.8606640594522514,1.8635253828285963,0.2967920961325875,1.8324003346200302
2,1.8224296369871735,0.17980535289453017,1.825530536182833,1.802035368579785,0.39858047376932754,1.8489872743955766
3,1.8328428555511418,0.18340082451505732,1.8331956082102154,1.677037499823465,0.5534675089201708,1.8574415091652627
4,1.8359926322418858,0.1850547602206116,1.834921355248692,1.5487394449889034,0.6417150663758481,1.8505332634979987
5,1.8370060981972234,0.18750620589172587,1.8361434543731605,1.4453077924243507,0.72424776857493,1.8590558150693781
6,1.830403994137231,0.18982962275930856,1.8303067837752676,1.368128210190103,0.7662133679760488,1.8506838468810654
7,1.8440810101892564,0.1936979606552121,1.8405427535967789,1.3315985697031503,0.8108173608620736,1.8705679793813814
8,1.8475434565338724,0.19545464195384737,1.8484354596135384,1.2988006770877139,0.831647565853239,1.8808144421004347
9,1.852597315668429,0.19710386896621732,1.8537090152967632,1.272344507193112,0.8555302152321957,1.8853491233627313
10,1.8594399562024988,0.19834900209208867,1.8621411718438396,1.2536768250835066,0.8734128247767828,1.881717207026209
11,1.8665150396462171,0.19853899685915308,1.8689064202397605,1.2363150737485025,0.8884365971953084,1.8924082987888102
12,1.8712548413412964,0.19944671828239988,1.874924849835967,1.2236567027141705,0.9022593140707231,1.900976175556411
13,1.8766134563178674,0.20069520645069114,1.8793334800631343,1.212785822225046,0.9118922789080711,1.9055204240599706
14,1.8806167576678354,0.20135363392838765,1.8824819254016272,1.2010436327210263,0.9150606669929331,1.9064918353897493
15,1.888290184963588,0.20192955730097012,1.8895435237896354,1.195155751516207,0.9180229788132378,1.9177646742080692
16,1.8927450940292547,0.20187398899709613,1.8936422135102926,1.1856504611561183,0.9209744206907796,1.9221058577967784
17,1.8948270871744877,0.2008882706348924,1.8980383994155514,1.1778600805548274,0.9221445742847638,1.9245485638080082
18,1.8983534639437556,0.2009888082379408,1.902501230485382,1.1714051555690068,0.9222492879469291,1.927061731135317
19,1.9073667296110424,0.20096554335679429,1.910687270865696,1.1684438007611768,0.9193111002970126,1.9324089490911665
20,1.9142861538620073,0.20136427383066008,1.9193393569067632,1.1651137786224908,0.9184473766691161,1.937120678194126
21,1.9180845861975457,0.20149275952659337,1.9247593488349082,1.1596733731912694,0.9153651533176135,1.9379572130921932
22,1.9227166116788315,0.2010645598378417,1.9285758943507905,1.1542726313684957,0.911709578138143,1.9405610518543692
23,1.9289990956810388,0.20121308489284553,1.9331966758799588,1.1514233700547978,0.9082020973890311,1.9468874319012768
24,1.9320747914979788,0.20075945835851042,1.9362269024728598,1.1456434405205633,0.9010865472880121,1.9465116961144717
25,1.9350583979604645,0.2005750881796578,1.9399771794854601,1.1442384389577251,0.896228239715216,1.9463344266488463
26,1.94293270548541,0.20056452205527842,1.9480204150488891,1.1428963335806783,0.8916845855500204,1.949455987567789
27,1.9474907423403045,0.20081863344738152,1.9524857160273716,1.1408500357802247,0.8876965062536383,1.9532454593774373
28,1.9539939303724962,0.20137895841818845,1.957553261605919,1.1379762994694822,0.8825694651061932,1.9583156225244072
29,1.9614011477749844,0.20169482275521836,1.9640636647013185,1.1371544321050093,0.87819582448671,1.9649058087402917
30,1.9682951922833534,0.2027314938040424,1.9700397994162662,1.1358960872485786,0.8722907876756357,1.9702528241703212
31,1.9730588809996439,0.2029224874920483,1.9749051218838363,1.1341317833064029,0.8646387875111046,1.9727261955213393
32,1.97894337415434,0.20312315564829345,1.9811581002163101,1.1318812608640967,0.8594577802359114,1.974909006573678
33,1.9835192706184632,0.20344883666990532,1.9862751307892432,1.1310898462720915,0.8536687555245934,1.9777699615653237
34,1.9900456343778126,0.2039924354636624,1.9915745723977878,1.130897027526622,0.8468880544211569,1.9838935420221875
35,1.9954313953424285,0.20435694968197649,1.9977633025821937,1.130825249747864,0.8393213284513756,1.9885145900327708
36,2.001979769137602,0.2046720107048316,2.0041586718700417,1.1293700108342124,0.8325936449971514,1.9923009976172221
37,2.0079885971960074,0.20498460690055584,2.010468974888829,1.128394907646183,0.8256143433712568,1.9966103247664067
38,2.0142344701822505,0.20523954891377538,2.0167513135193142,1.1285908865890997,0.8194502692049102,2.0042801396893655
39,2.02061146509314,0.20555888090866528,2.0229766810846574,1.1278649862648789,0.8124037908842024,2.009977494249157
40,2.02490701106745,0.20543953772998175,2.0280877983891075,1.1283398431714244,0.8062234024149982,2.0146268325483208
41,2.0298682705228352,0.20529226155172559,2.033295404305018,1.1277817083586046,0.7994553127493955,2.02035110870256
42,2.034993694307875,0.205405521420315,2.0397098329491032,1.1269057164869507,0.7925328256145181,2.025725138214125
43,2.041702936453549,0.20546630120999054,2.0469941843521173,1.1270407577868629,0.7863853512496096,2.030862273748643
44,2.047893902689978,0.20524328147487403,2.053040299246522,1.1261204960202595,0.7800387324839069,2.0351166597565506
45,2.0536617732210964,0.20465660013844744,2.0585199969967363,1.1262213408178108,0.773574581086658,2.0382683318729904
46,2.059037053708696,0.20406107752161426,2.0644637913690764,1.1258265933948959,0.7667496215855074,2.043619058421871
47,2.0650373167396796,0.20337137803519206,2.070011815830877,1.1259113330157158,0.7597231073392248,2.0481087995633906
48,2.0712330053088177,0.2027673403292501,2.0766192456045514,1.1260336703989688,0.7527959470278448,2.0528961340555
49,2.077712357113947,0.2018032930433378,2.0836286193368125,1.12527742903765,0.7458377259929566,2.057085742619419
50,2.0839674097712786,0.20070226730211496,2.0912881997859345,1.1245716146824192,0.7388865890232652,2.061986712986899
51,2.0900309499764584,0.19965762702306475,2.09794645567539,1.124939333527183,0.7326061098992939,2.0673016571021856
52,2.0975718182832632,0.19802280986894696,2.1051649131066243,1.1251880588238983,0.7259244329826315,2.0730199875295865
53,2.103564146910425,0.1967180307129825,2.111222087876339,1.125532328763745,0.7192774658706181,2.0773821296098127
54,2.1098902075112105,0.1951122108829706,2.1175076312529106,1.1252821564555302,0.7122277313519575,2.0821194161694536
55,2.1168806613441276,0.1935659820249975,2.124149984319653,1.125793778167468,0.7046014966961434,2.0877363369419912
56,2.1234759420029827,0.1918904078117856,2.131061178829961,1.1257521871227607,0.6973049425082883,2.0931091477020765
