episode,pg_rawlsian_maximin_mean,pg_fairness_lagrangian_mean,pg_social_welfare_mean,sac_rawlsian_maximin_mean,sac_fairness_lagrangian_mean,sac_social_welfare_mean
1,1.8461604838032166,1.8589705635753435,1.8436705896160288,1.8239922372576076,1.8204699895799503,1.839265191924238
2,1.8119870761317274,1.8316361820657163,1.815212853088619,1.8658318086948857,1.8765212172393435,1.9038309529847641
3,1.8281611397877853,1.839264378624948,1.8383004882873317,1.900949999683577,1.9110455916682312,1.9095543935096007
4,1.8270633097753786,1.8374577197636384,1.840568012725765,1.8922828367769997,1.9193334492910676,1.9036449854448958
5,1.828405678576514,1.8407987451681695,1.8488713668762273,1.8823716665073347,1.9237604685024636,1.9165254498844513
6,1.8265912198370464,1.8377167561717869,1.845830075083161,1.881750164523909,1.9194005560638234,1.9059423550494117
7,1.8352059520449449,1.8483873714124928,1.8536032793458845,1.8939695041450164,1.924645262970087,1.9193377973362682
8,1.8423598795334455,1.8528701767664029,1.8586522407169774,1.8904643111747448,1.926315027261768,1.9213149551306856
9,1.8489936422420228,1.8571850145105948,1.865162268748324,1.889751267335001,1.934159347802091,1.9257973699663373
10,1.8561293426298433,1.8647425025392137,1.871945533889832,1.8983728518066123,1.9400177187049155,1.926264555667704
11,1.8649299531697736,1.8693193427556603,1.8794846981098459,1.9014832269641717,1.9452959019317833,1.9258675520847384
12,1.8719477216579719,1.874187442099421,1.886322633984569,1.9043133506865946,1.9487593248583046,1.9243965012176254
13,1.8775294201455985,1.878240950514376,1.8918682273582308,1.9061475113807729,1.948202695667576,1.9265517805245918
14,1.8775205173668577,1.8795541444373023,1.8945228830855938,1.9075450499747315,1.9452679317934107,1.9294610485691936
15,1.8854718506758008,1.8884635775298761,1.90325031114055,1.9153399395440966,1.9457850713356497,1.9319472532525708
16,1.8897158230289781,1.8904822638579124,1.9079379326104702,1.9182492191270886,1.942775439143817,1.9303463051247165
17,1.8929113675129017,1.893812459457433,1.9110205779231124,1.9225808051954771,1.940276607691945,1.9344584516134777
18,1.8951787666831528,1.8968454759442681,1.9130349557049988,1.9280436626775714,1.9421808317015454,1.9412818295089576
19,1.9019167548853442,1.905847441672096,1.9194940107439984,1.9296241139468449,1.9471690471779806,1.941959872879411
20,1.908933880277253,1.9121122456184978,1.9252694117067282,1.9335858348527015,1.9513771415037047,1.9471737958960993
21,1.9130746363842357,1.9150500010176605,1.930340493656738,1.9340055910135179,1.953823862849416,1.9486443136382308
