episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,13.35649866249832,0.0108734876437306,12.95101484086205,0.0242534569926698,13.358336713501943,0.0106508689144355,13.329703266683332,0.0173799643478552,12.991436651836906,0.0130946581191179,13.324094880157542,0.0153869150214317
2,13.555397868152312,0.0205225299044198,12.748163499299872,0.0522236145542752,13.55608114360288,0.0170898144338872,13.470980650627853,0.0258124219906956,12.909050438282309,0.039068547000625,13.491595914135782,0.0210956740583849
3,13.769053544645791,0.0339012897217036,12.545238957937045,0.0878818882884665,13.769064853140772,0.0221875647537599,13.574398558982192,0.0262206012938916,12.905768472565487,0.0600687648647652,13.657024173713262,0.0278501776957714
4,13.977387012527055,0.0541529011656242,12.34399793662466,0.1284039709950659,13.976045905612729,0.0381813428578172,13.620452134959724,0.0355655350289583,12.900598632347627,0.0709807544433885,13.811839071576731,0.0349205389689027
5,14.187128355302894,0.0558069651459527,12.142561449037672,0.1709217867447867,14.184959327575864,0.0369738438412722,13.637579236023868,0.037592474658517,12.9194548607724,0.0737495215288213,13.975183380808312,0.0430739870513774
6,14.387381990628494,0.0609978175956014,11.940877940618634,0.2149049446713232,14.386862859785646,0.0347525445469488,13.640603983144723,0.0367682303109602,12.919496871043018,0.0781863646290157,14.125404208541948,0.0521040939746782
7,14.608018013292249,0.0787942061989105,11.749065957926348,0.250845942103577,14.604756204456626,0.0367727553696211,13.6666977694302,0.0375817015463665,12.936212834977947,0.0867717386964321,14.297595597401596,0.0603785677396981
8,14.82491457781694,0.0888855673938157,11.548246409698027,0.2895123013465728,14.826309521519354,0.0492542616365227,13.68568992012828,0.0402869624383105,12.934225263264056,0.096588058159972,14.46804534368357,0.0630814231646459
9,15.040495050206806,0.0910804903363814,11.350420366068274,0.3304506126635786,15.041524999191726,0.0410411507296105,13.70034755453784,0.0414558961118507,12.943396137257633,0.1071782864222347,14.63209644999534,0.0628311858621323
10,15.264331007038866,0.090823126284795,11.150508179159754,0.3632074976932865,15.265077854774043,0.0321927114469607,13.720412822767631,0.0327164342604876,12.949956204090068,0.1141743819529787,14.78670600720874,0.0615477877113609
