episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,-0.002179129466111207,0.014604591186274012,-0.847952582434202,0.05024153996473084,0.003630551308139829,0.0281035472558911,0.006235429561650352,0.024874205375517287,-0.7127893048490574,0.0214844185351095,0.006231959632608697,0.029475596889628215
2,-0.0010579384546072212,0.013286921166967497,-0.8449950250429564,0.05704861575324048,0.003159017057569602,0.02980088819666148,-0.005346547465441054,0.016569453352260385,-0.5700474900061021,0.05124890682501944,0.018703780746218257,0.020601240866611557
3,-0.00011330036468104598,0.013348438354791822,-0.8421017891635106,0.059715086094508305,0.0023947704468274544,0.028303129946110207,-0.06900594221861134,0.01669401212215159,-0.45582054778642983,0.06047501658526516,0.018408576286028877,0.01785986340222997
4,5.188496217822802e-05,0.01297046837170012,-0.8404358331692385,0.06400806170979598,0.003133787674557187,0.028188279769612357,-0.12594563210389176,0.02066070199790447,-0.3965043005303732,0.059663962311694574,0.016638713698276297,0.01834554649026263
5,0.0004545644042703856,0.013005824708343513,-0.8382804011196954,0.06914510463656266,0.002663644725568015,0.027833980408357023,-0.17532066986900974,0.01936045280152186,-0.35038780930288616,0.049003273912034614,0.017667857492726924,0.022433608243167938
6,-0.0002856387739259558,0.012830598758615764,-0.8361569377355698,0.07440519702910149,0.0027719506068227817,0.027865993296938448,-0.21112458898347863,0.018333834489117302,-0.3264187557537479,0.045135093948777356,0.01517381891998304,0.02263457500356049
7,2.6008440896729823e-05,0.012651032136020113,-0.8345851224941417,0.07752195406364838,0.0025256190151988767,0.026688865885027824,-0.23232622905117062,0.016282454528779782,-0.30948775761028424,0.039321535069674604,0.01620297886902,0.02507909411086703
8,-0.00015838078956342816,0.013003725982872971,-0.8329141083176329,0.07939232791387413,0.0026841332167509835,0.027106759462990047,-0.2483813739841687,0.013609225719764572,-0.29884579520709176,0.03757399663428089,0.017429009008586793,0.026075043768869783
9,5.075752318683957e-05,0.012849611865156438,-0.8316583170207204,0.08072100980167815,0.0024271359277644455,0.027038517341784456,-0.26132669610901726,0.01367760215509661,-0.2897198994014805,0.03673603850078322,0.017208042207009666,0.026003860157382104
10,0.00038578029654567914,0.012843449763176093,-0.8313142948907335,0.08144931650834332,0.002223348988880769,0.027035206465943075,-0.2715791201735748,0.012966247203448899,-0.2831397061299725,0.03501128943093169,0.015104241925963935,0.028131821735199868
11,0.0006069844673259883,0.01304666502249436,-0.8306412391898714,0.08204824459339952,0.0025243106743023658,0.027116380311511572,-0.2797181704155006,0.012789812227541986,-0.27768494137775085,0.03428502641912432,0.01565449572902544,0.02879760897829106
12,0.00037808756762780504,0.012963889286194252,-0.8291362321614859,0.08280307004049597,0.0024974381310873817,0.027332391696828304,-0.28688383704782205,0.012149112088403562,-0.2733557126587672,0.03473596240005365,0.015116386227317147,0.02807204969624867
13,0.0008453859331278846,0.012779042319980567,-0.8276663177412931,0.08433413335632804,0.0030241864708072663,0.027341628182238918,-0.291363024934844,0.011134639764683861,-0.2711104313137942,0.033607238178831954,0.016065246145555823,0.02902789694083937
14,0.0010264867191079885,0.012795138730763525,-0.8265506385726028,0.08579293528659314,0.002961751520705991,0.027241614673946517,-0.2946410320639917,0.009839883968132417,-0.27050598650035934,0.03350049966385343,0.016310184836299646,0.029694967133763846
15,0.0010645426185768025,0.012766205368446191,-0.8253307496855543,0.08697956940915305,0.0028696699669311654,0.027182471903011766,-0.298384158992122,0.009577839342229477,-0.27035247510208604,0.03311989721834149,0.016858305343497193,0.03142403952055739
