episode,pg_rawlsian_maximin_mean,pg_rawlsian_maximin_std,pg_fairness_lagrangian_mean,pg_fairness_lagrangian_std,pg_social_welfare_mean,pg_social_welfare_std,sac_rawlsian_maximin_mean,sac_rawlsian_maximin_std,sac_fairness_lagrangian_mean,sac_fairness_lagrangian_std,sac_social_welfare_mean,sac_social_welfare_std
1,13.35712462816395,0.0104304531660018,13.358229823330086,0.0092207483610863,13.356149821807623,0.0112009158457345,13.324175682460249,0.019058334365741,13.322388499131872,0.0193586663462131,13.32648915785569,0.0191215664748672
2,13.555753990397353,0.0191728348488634,13.55956626883781,0.0166890838373584,13.555108111605971,0.0167169599337712,13.47248705806194,0.0187421503659599,13.475257919754888,0.0217498713386095,13.482534475818396,0.0282999183016284
3,13.771434975164302,0.0330640287174411,13.7733736304485,0.0300651025046984,13.773510234069269,0.0323622279436837,13.627801879978046,0.0232309267989005,13.63311578931187,0.027468253960796,13.633640815499556,0.0335704210829191
4,13.975746517958722,0.0572585206950807,13.977391174511572,0.0496394500836743,13.981740966692527,0.0498681994504537,13.757913468520425,0.0296989541467065,13.7737612327203,0.0376253961696147,13.7609166323935,0.0483228903994682
5,14.18329506560048,0.0564393541402987,14.188390437608788,0.046773620681785,14.1979836729265,0.0454967991672721,13.884159147468386,0.0493958960616223,13.906096927603873,0.0470769205866343,13.894739140560556,0.0575412936296072
6,14.386949671559742,0.0657965361056716,14.392197995319131,0.0558577979386674,14.404554817941838,0.0536092513246445,14.010638279305718,0.0659922916993101,14.032380756674792,0.053128877111476,14.012617180834406,0.0611717377337725
7,14.601914572543956,0.0776684167867935,14.611140703649069,0.0683298873233222,14.621388842943588,0.0675569555059084,14.14847606251972,0.0843303130419962,14.162467824032191,0.0576115714986993,14.141825226216891,0.0633623040297726
8,14.82125068585639,0.0796396064507142,14.828783915426223,0.0757169316046,14.84037231687292,0.0737592720994343,14.278213667927512,0.1027469511082879,14.294441000252608,0.0715534166285399,14.265586508167187,0.0637253084089809
9,15.037739688707296,0.0796888951515694,15.04244673189392,0.0740867245289091,15.05857508762691,0.0723808802869807,14.407245303749878,0.1263705055404126,14.426975190199936,0.0878816799723535,14.39238598385572,0.0689752162501163
10,15.25942264140077,0.0785614453314414,15.265693086492815,0.0712921616122128,15.283685106289605,0.0758374251336504,14.546249495576664,0.1472115861795682,14.5610254646669,0.1014406236627334,14.51643179844746,0.064081948597798
11,15.486588813022609,0.0771195478119801,15.4868872134818,0.0647241498704494,15.512698767702329,0.0699141855233676,14.680651871198188,0.1691848202962396,14.69501657866254,0.1146956415029013,14.64031285861699,0.0671326343026054
12,15.715943186159992,0.0823230146046627,15.711234784727434,0.0679693133619899,15.741458721104816,0.0694343637072908,14.821872734359932,0.1878491405961119,14.828266012127653,0.1274061888571458,14.765443549762091,0.0626077378883161
13,15.941426377010634,0.0862779177334613,15.935022332992798,0.0807144638099608,15.968013942245047,0.0730709247129222,14.957569442375473,0.1949800721524691,14.957781997237594,0.1382339255910531,14.891561074792191,0.065161681012718
14,16.16099118963054,0.0970710311048683,16.15643045911973,0.0835716218930237,16.19429400867065,0.0787039701966529,15.095310987567938,0.2088889631862816,15.083359694253186,0.1473550919980803,15.020994194002265,0.0734838414748309
