episode,grad_norm,grad_M,grad_F,n_obs
1,1.8409538338204359e-09,1.7419231612691986e-09,4.180137902487502e-10,11055
2,1.884337130775293e-09,1.6730082874616412e-09,5.890528065322086e-10,12020
3,1.6955766790616167e-09,1.4069702070074184e-09,6.545614050779135e-10,12568
4,1.772258562127149e-09,1.4192497177489827e-09,6.94498680786637e-10,13384
5,1.885527733946901e-09,1.325899390280938e-09,9.198430350743079e-10,14138
6,2.0769765907147075e-09,1.3195954329248136e-09,1.1866773119706407e-09,15483
7,2.8254274475614242e-09,1.507308278192454e-09,2.0495112273977156e-09,16396
8,4.824916910450838e-09,2.9494304776278572e-09,3.3754192774182452e-09,17671
9,5.893202814633014e-09,4.300603428930572e-09,3.432939488234865e-09,18843
10,6.5031779961088895e-09,4.403233777594551e-09,3.962530747969595e-09,19953
11,6.6737619874857054e-09,4.042149281957563e-09,4.54478144007453e-09,21504
12,6.272456332112597e-09,3.6160354710546012e-09,4.618012194868015e-09,23190
13,7.974127136378684e-09,4.2866385996376274e-09,6.233962235313584e-09,24712
14,8.175609522709237e-09,4.410540377364214e-09,6.2633001007839084e-09,26263
15,1.050191222873309e-08,5.760673271737461e-09,7.632988463512902e-09,27837
16,1.3603140835982686e-08,6.8780097173259955e-09,1.0325229560237403e-08,29537
17,1.5309876033597902e-08,7.333459617342441e-09,1.2405249272262608e-08,30884
18,1.4821601723724598e-08,6.606045044321718e-09,1.2497707757574972e-08,32410
19,1.6805412172971046e-08,7.887320130350872e-09,1.3997528469644749e-08,33886
20,2.0639769005015296e-08,9.185907146047612e-09,1.7501708526879156e-08,35026
21,2.411081290176753e-08,1.0642303926999832e-08,2.044101776732532e-08,36103
22,3.53727429569517e-08,1.438187791080736e-08,3.078725896443757e-08,36999
23,4.626956595643605e-08,1.7659871787145676e-08,4.0837342396571337e-08,37593
24,6.676972930108604e-08,2.049811520521416e-08,6.072657754430112e-08,38206
25,8.006886531575219e-08,2.5935129599474752e-08,7.13629333404242e-08,38660
26,1.1453042958464721e-07,4.743724701938845e-08,9.645216181297657e-08,39043
27,1.5369914763141426e-07,7.71899237861362e-08,1.237025628597621e-07,39275
28,1.951318324699969e-07,1.0089758006870397e-07,1.5838962497127798e-07,39399
29,2.525460729430052e-07,1.2453419628855045e-07,2.11345039247135e-07,39591
30,2.989957295085333e-07,1.3789261288366106e-07,2.5652570911915973e-07,39725
31,3.24853942856862e-07,1.495451442679041e-07,2.774724237042392e-07,39855
32,3.4243538493683445e-07,1.6908748534660845e-07,2.783198453926161e-07,39851
33,3.535096482210065e-07,1.870529189318404e-07,2.712882576361153e-07,39931
34,3.630545393207285e-07,2.041249302919823e-07,2.632712892136624e-07,39942
35,4.443477337190416e-07,2.3104610136215345e-07,3.439803037963429e-07,39948
36,5.67975234844198e-07,2.459406687194132e-07,4.90519994400529e-07,39960
37,6.604619215977436e-07,2.6401332320347137e-07,5.878226261302189e-07,39984
38,7.761486813251395e-07,2.9889878305766615e-07,6.996649517532205e-07,39981
39,8.341575039594318e-07,3.075461734169949e-07,7.629578817613947e-07,39998
40,9.314859426012844e-07,3.364277745276923e-07,8.593965503678191e-07,39990
41,9.61975501923007e-07,3.404660162686924e-07,8.910658948479977e-07,39999
42,1.0709768503147643e-06,3.7706240618717857e-07,9.944886869561742e-07,39997
43,1.1622361171248483e-06,4.032550577903749e-07,1.082247081285459e-06,39999
44,1.2255469528099638e-06,4.236584913996922e-07,1.1419233487686142e-06,39998
45,1.3154609632692882e-06,4.5154885697229474e-07,1.2270176057427309e-06,40000
46,1.2727927014566376e-06,4.2931827692882507e-07,1.189548015645414e-06,40000
47,1.290862201130949e-06,4.1697765595927205e-07,1.2109711633456754e-06,40000
48,1.3536811138692428e-06,4.125598422888288e-07,1.2778788232026272e-06,40000
49,1.371991629639524e-06,4.153519057581434e-07,1.294084313485655e-06,40000
50,1.38925554438174e-06,4.148218692989758e-07,1.3114640751155091e-06,40000
51,1.441407903257641e-06,4.1343960788253753e-07,1.3620933714264538e-06,40000
52,1.5387553276013932e-06,3.945465607557708e-07,1.4599097539758077e-06,40000
53,1.614695179341652e-06,3.614171930621524e-07,1.541465394439001e-06,40000
54,1.6444705579488073e-06,3.380751536496973e-07,1.5752959825476864e-06,40000
55,1.6998469618556555e-06,3.447256631261553e-07,1.6271043250526418e-06,40000
56,1.7150374560515047e-06,3.325054080960399e-07,1.64527227752842e-06,40000
57,1.806926775316242e-06,3.5712886869987415e-07,1.7311692772636889e-06,40000
58,1.858815039668116e-06,3.819965854745533e-07,1.776812382559001e-06,40000
59,1.9125002381770173e-06,4.12439078445459e-07,1.8249453432872544e-06,40000
60,2.032760448855697e-06,4.436508334038081e-07,1.9407482341193827e-06,40000
61,2.017848373725428e-06,4.6588741042796766e-07,1.9231038095313124e-06,40000
62,2.1263972485030536e-06,5.079426159682043e-07,2.0227043933118694e-06,40000
63,2.192859483329812e-06,5.433154228740023e-07,2.0793149815290235e-06,40000
64,2.1945859316474525e-06,5.751548997068312e-07,2.0717643565149046e-06,40000
65,2.2105111838754965e-06,6.190779231474153e-07,2.0733264136652e-06,40000
66,2.253449792988249e-06,6.614298513341055e-07,2.103935457853368e-06,40000
67,2.355971446377225e-06,7.254454317262571e-07,2.187053496527369e-06,40000
68,2.38008942687884e-06,7.844984679650224e-07,2.191804014728405e-06,40000
69,2.4180787931982195e-06,8.414770604758814e-07,2.209002786912606e-06,40000
70,2.457768459862564e-06,9.224591508427692e-07,2.21681762013759e-06,40000
71,2.443226094328565e-06,9.771598570296192e-07,2.1732500954385614e-06,40000
72,2.535579824325396e-06,1.071001065611199e-06,2.2263270693656523e-06,40000
73,2.5662764073786093e-06,1.1568370155146113e-06,2.2110302779765334e-06,40000
74,2.5632966753619257e-06,1.2333274526099558e-06,2.155185029550921e-06,40000
75,2.6045399863505736e-06,1.3070158502159757e-06,2.146858832929865e-06,40000
76,2.6282764338247944e-06,1.3697674603463383e-06,2.124421371263452e-06,40000
77,2.7137652978126425e-06,1.4712946949657637e-06,2.141272716471576e-06,40000
78,2.7200967451790348e-06,1.509148205514066e-06,2.102080770782777e-06,40000
79,2.6897337193076964e-06,1.518900717201177e-06,2.0441807464521844e-06,40000
80,2.8301985821599374e-06,1.6394061503888224e-06,2.1060154722363222e-06,40000
81,2.9057650863251183e-06,1.698393361948547e-06,2.145073949577636e-06,40000
82,3.03003002954938e-06,1.8167503412769288e-06,2.1678154098481173e-06,40000
83,2.985945229738718e-06,1.840652316786873e-06,2.078834995700163e-06,40000
84,3.1324743758887053e-06,1.939451976795681e-06,2.16114790418942e-06,40000
