episode,grad_norm,grad_M,grad_F,n_obs
1,3.201280151188257e-06,6.300563768490974e-07,3.131636958642048e-06,12018
2,3.0895414511178387e-06,6.16969543898449e-07,3.02104240290646e-06,13608
3,2.9718141831835965e-06,6.029787300576572e-07,2.9044231268926524e-06,15320
4,2.853355908882804e-06,5.996694767418376e-07,2.784540811262559e-06,17743
5,2.738219336606562e-06,6.059709107830713e-07,2.665495685505448e-06,19918
6,2.623967020554119e-06,6.008664286127896e-07,2.550468707340769e-06,22911
7,2.489400685590226e-06,5.778491072305769e-07,2.4187047529267147e-06,26307
8,2.3530249109171564e-06,5.525232609215891e-07,2.285089976794552e-06,29380
9,2.2161216293170583e-06,5.176077024771075e-07,2.152743945771362e-06,32223
10,2.089287363560288e-06,4.798441750608617e-07,2.031120629908401e-06,34456
11,1.979083663172787e-06,4.4236648477635764e-07,1.926332970469957e-06,36851
12,1.877144313766621e-06,4.075924948665488e-07,1.829105485740001e-06,38071
13,1.7783438579499489e-06,3.6948665638192324e-07,1.735440037009539e-06,38907
14,1.6915004152906477e-06,3.4148712302339845e-07,1.6520300505362684e-06,39365
15,1.607172748663288e-06,3.1463289928979066e-07,1.5713877701273304e-06,39675
16,1.5247028386511374e-06,2.923450495018187e-07,1.491716830059886e-06,39851
17,1.4344636838359293e-06,2.7250681000623445e-07,1.4041110034668236e-06,39919
18,1.3513714520740905e-06,2.541611934248067e-07,1.3235762708063703e-06,39956
19,1.2712494026345666e-06,2.3706877527729375e-07,1.245770363311749e-06,39974
20,1.1907392263310612e-06,2.220791657236987e-07,1.1670803132801666e-06,39988
21,1.117572878683859e-06,2.099410494338372e-07,1.0951541753456695e-06,39996
22,1.0476047691554411e-06,1.9822768138055838e-07,1.0263203193972004e-06,40000
23,9.870858548310937e-07,1.8725191353041737e-07,9.669111022958532e-07,40000
24,9.261922286896151e-07,1.7740458702064646e-07,9.068652957466838e-07,39998
25,8.743362513996544e-07,1.6889802623154537e-07,8.557017281418666e-07,39997
26,8.285802550744847e-07,1.6077945019787879e-07,8.107441544780158e-07,40000
27,7.86084399351239e-07,1.548514205751417e-07,7.687415859436442e-07,40000
28,7.470027867384488e-07,1.5041604228827057e-07,7.298966124835715e-07,40000
29,7.128610945983382e-07,1.4618909460750729e-07,6.960345899642562e-07,40000
30,6.81451354012097e-07,1.4270750625655637e-07,6.646868087045732e-07,40000
31,6.519853172903822e-07,1.4108765356013464e-07,6.348010401779902e-07,40000
32,6.257419613575621e-07,1.4090534250499334e-07,6.077844432184065e-07,40000
33,6.002955501571705e-07,1.3999749626236738e-07,5.81703375246434e-07,40000
34,5.777980049970211e-07,1.390777697451995e-07,5.586458087236679e-07,40000
35,5.542167968997092e-07,1.3722160474571865e-07,5.347507681108254e-07,40000
36,5.329036412149435e-07,1.3422199174328853e-07,5.135516403242946e-07,40000
37,5.112445933264098e-07,1.3015251454362442e-07,4.922961807096726e-07,40000
38,4.908542337034305e-07,1.2590501796694298e-07,4.724493578578404e-07,40000
39,4.710689722742245e-07,1.2201643073694868e-07,4.531141257757554e-07,40000
40,4.517830802797107e-07,1.1838525182383822e-07,4.342726924733143e-07,40000
41,4.338539554282761e-07,1.132976947815223e-07,4.171502894223522e-07,40000
42,4.16703613836944e-07,1.096395862987265e-07,4.004967308901541e-07,40000
43,4.004550646641292e-07,1.0513751647067693e-07,3.849615950457519e-07,40000
44,3.846142817565124e-07,1.0146955276013615e-07,3.6960634020033467e-07,40000
45,3.7064938851472107e-07,9.818629820301795e-08,3.560621166798228e-07,40000
46,3.569009834336612e-07,9.504086051492777e-08,3.42738786685004e-07,40000
47,3.441327862674371e-07,9.188055116737814e-08,3.303990467884433e-07,40000
48,3.316633581107453e-07,8.867902323572707e-08,3.183930914474331e-07,40000
49,3.2020068374549737e-07,8.572257570449437e-08,3.073433276767901e-07,40000
50,3.086653634909453e-07,8.316592214896447e-08,2.961361076359026e-07,40000
51,2.987780192142964e-07,8.013326180389414e-08,2.86735399868121e-07,40000
52,2.88628882572084e-07,7.774526267212424e-08,2.768763920357742e-07,40000
53,2.781228829462634e-07,7.563607340443923e-08,2.665883584995754e-07,40000
54,2.693139720122417e-07,7.343569308204678e-08,2.5806480152823497e-07,40000
55,2.604819258067437e-07,7.171004057227037e-08,2.493764839073265e-07,40000
56,2.517778341371013e-07,7.035219340423282e-08,2.4070664039754774e-07,40000
57,2.440464754727145e-07,6.885927916755463e-08,2.3307059393573581e-07,40000
58,2.368229701232849e-07,6.762730464515698e-08,2.25916906515522e-07,40000
59,2.2941918587093826e-07,6.600669877343536e-08,2.1868194721719195e-07,40000
60,2.235017717566734e-07,6.413403497163017e-08,2.130818046452987e-07,40000
61,2.167180923606793e-07,6.29500931381699e-08,2.063710411448483e-07,40000
62,2.1112803949563386e-07,6.116716377846387e-08,2.010940107766146e-07,40000
63,2.051858416507457e-07,5.960816906736e-08,1.953681731947654e-07,40000
64,1.9939507467370282e-07,5.8410275727283085e-08,1.8972914972437138e-07,40000
65,1.9386729377401934e-07,5.6948383786448176e-08,1.8441244264977288e-07,40000
66,1.891245489105131e-07,5.564441707406331e-08,1.798684081677493e-07,40000
67,1.844648949145267e-07,5.4450403297323646e-08,1.7538488350510306e-07,40000
68,1.797587430019121e-07,5.336203656725048e-08,1.7082759029563024e-07,40000
69,1.7493897530584945e-07,5.21693976907045e-08,1.661783102235859e-07,40000
70,1.7079284475585157e-07,5.092385180205383e-08,1.6224707621859125e-07,40000
71,1.6648095879645552e-07,4.9679009350711574e-08,1.5814174503248069e-07,40000
72,1.625024310669687e-07,4.8409358299750245e-08,1.544024570421243e-07,40000
73,1.5859369284498825e-07,4.746949500145092e-08,1.506235207671125e-07,40000
74,1.5483080062494994e-07,4.634871686448606e-08,1.470669843683936e-07,40000
75,1.5107767126210092e-07,4.536816788913711e-08,1.4345474141919112e-07,40000
76,1.4735712738911388e-07,4.414635057514715e-08,1.3995499159591418e-07,40000
77,1.4381203072844073e-07,4.3167474927940936e-08,1.3657312081249986e-07,40000
78,1.4045703267129286e-07,4.2241381947860646e-08,1.333751953325191e-07,40000
79,1.3706187473871978e-07,4.1182484977753127e-08,1.3016639854868117e-07,40000
80,1.34005659901959e-07,4.037246981170029e-08,1.272454568379544e-07,40000
81,1.3092355288790716e-07,3.9436343968191074e-08,1.243214740043186e-07,40000
82,1.278474570653998e-07,3.850406926630967e-08,1.2140270655436325e-07,40000
83,1.247946812554801e-07,3.7623774318262804e-08,1.185001323733559e-07,40000
84,1.2194077214644494e-07,3.6752631160652534e-08,1.1579987102550149e-07,40000
85,1.1897667917537549e-07,3.5785454599590594e-08,1.1301393243456916e-07,40000
86,1.1643219011148177e-07,3.4866808107381075e-08,1.106495517433359e-07,40000
87,1.1369859720389287e-07,3.41094548161891e-08,1.0803234573586452e-07,40000
88,1.1118669362986112e-07,3.324599262555239e-08,1.0568793840093349e-07,40000
89,1.0864684441003193e-07,3.2442006414612485e-08,1.0329637234463009e-07,40000
90,1.0636106395622846e-07,3.1719199711233166e-08,1.0113646453646653e-07,40000
91,1.0396947658364297e-07,3.0988761778871776e-08,9.886841212392029e-08,40000
