episode,grad_norm,grad_M,grad_F,n_obs
1,1.505240732058155e-08,1.0133658356892285e-08,1.1126428667296297e-08,11083
2,1.2359523182681189e-08,8.359364755960996e-09,9.0992759993469e-09,11955
3,1.0154581175925161e-08,6.909027128187972e-09,7.437143345612185e-09,12580
4,8.91741969155646e-09,6.1248695004678674e-09,6.474801583777889e-09,13414
5,6.8902954453164975e-09,4.764739269802476e-09,4.9712540750590514e-09,14145
6,4.877182657736512e-09,3.387018887579529e-09,3.5041465284990636e-09,15443
7,3.789244917840051e-09,2.650474284493498e-09,2.7034805505365966e-09,16411
8,2.8766213855391243e-09,2.0156869506848807e-09,2.049479030930001e-09,17630
9,2.062959358895e-09,1.4442657070290466e-09,1.471234578609426e-09,18732
10,1.3829450917768327e-09,9.658677191382026e-10,9.885767759953976e-10,20042
11,9.811578216556427e-10,6.912183603269283e-10,6.952516340419378e-10,21526
12,6.456863932413626e-10,4.600609060378957e-10,4.521391594458634e-10,23174
13,3.9792547035233373e-10,2.85232809593694e-10,2.768534568264869e-10,24742
14,2.47423248556089e-10,1.7886316039383843e-10,1.7056935031067866e-10,26257
15,1.4599164932516118e-10,1.0624098129019544e-10,9.991970445488718e-11,27745
16,8.588023348021777e-11,6.279200770453741e-11,5.848074108305568e-11,29437
17,4.971482253646187e-11,3.6364217192996755e-11,3.3848326919105887e-11,30887
18,2.7345646580467783e-11,1.990567259635423e-11,1.8723729164338287e-11,32457
19,1.4801247033568998e-11,1.0738841239865682e-11,1.0171851208551352e-11,33825
20,7.650567679373665e-12,5.54124237814313e-12,5.267684292237229e-12,34978
21,3.9775925608775956e-12,2.8740391143367017e-12,2.7460264964695998e-12,36024
22,1.9748532236601997e-12,1.4239953617309342e-12,1.3662386109600244e-12,36970
23,9.699706315924317e-13,6.965436799392932e-13,6.737778195618771e-13,37582
24,4.805843223376627e-13,3.422678264940193e-13,3.3662100342411743e-13,38266
25,2.3331488650801813e-13,1.6534347404683488e-13,1.6422898197615557e-13,38571
26,1.1167010648431216e-13,7.914508485433806e-14,7.860294988677742e-14,39025
27,5.3413416539142145e-14,3.777030703716426e-14,3.768570877452429e-14,39284
28,2.512424065992912e-14,1.7747754288877267e-14,1.7744462718844237e-14,39449
29,1.2327790359172551e-14,8.682722984067019e-15,8.733046058496344e-15,39623
30,5.8602605495334466e-15,4.1211989943172766e-15,4.158018245985001e-15,39723
31,2.7318972482966684e-15,1.9187737827780363e-15,1.940782239846545e-15,39873
32,1.303627857416744e-15,9.146481993018221e-16,9.27096089615553e-16,39857
33,6.232174081947971e-16,4.363408171463763e-16,4.441033447123699e-16,39932
34,2.868161556103836e-16,2.0074815845802887e-16,2.0445220706659232e-16,39958
35,1.3978686637189183e-16,9.766670384923856e-17,9.982084760044916e-17,39948
36,6.418593989888924e-17,4.477809897157807e-17,4.590523843529998e-17,39960
37,3.009956062614288e-17,2.0983017806738748e-17,2.15433913127128e-17,39986
38,1.4001474470448286e-17,9.744024661293993e-18,1.0038446365442442e-17,39983
39,6.598444561753878e-18,4.5856122104887794e-18,4.737408538288693e-18,39992
40,3.113749982773921e-18,2.1609624077950224e-18,2.238643352710184e-18,39996
41,1.4627824729260177e-18,1.0144108762528741e-18,1.0525251875302097e-18,39999
42,6.724468630003629e-19,4.6622091352111915e-19,4.8397479440592135e-19,40000
43,3.105744218612903e-19,2.152019835740894e-19,2.2366221885821985e-19,39999
44,1.465562937157538e-19,1.0140166083687191e-19,1.0569761042346896e-19,40000
45,6.827371061427962e-20,4.723707299568123e-20,4.924326709328362e-20,40000
46,3.2769335115307863e-20,2.266343369602597e-20,2.364531647017202e-20,40000
47,1.4940403745787807e-20,1.0328454201530566e-20,1.0785671822770715e-20,40000
48,7.05472779201927e-21,4.875478059086055e-21,5.094897410088549e-21,39999
49,3.22944215642934e-21,2.230092461985209e-21,2.3350195956733506e-21,40000
50,1.5183001117606693e-21,1.0485852172204879e-21,1.099129769472082e-21,40000
51,7.135604083941937e-22,4.936919241684775e-22,5.180738098351078e-22,40000
52,3.258770767951557e-22,2.26989083544152e-22,2.3869083164203428e-22,40000
53,1.4831520291644252e-22,1.0564137466261564e-22,1.1123951029929846e-22,40000
54,6.493590582860902e-23,4.900454745875222e-23,5.1677223982859114e-23,40000
55,2.5826581862624934e-23,2.259843524299391e-23,2.3869676703148522e-23,40000
56,8.92311177698609e-24,1.0712500745517017e-23,1.1332088666556608e-23,40000
57,1.7994035577227062e-24,4.9104666529399246e-24,5.203300892858374e-24,40000
58,8.646952750053139e-26,2.3027993671713905e-24,2.44633813090269e-24,40000
59,0.0,1.0524877673388798e-24,1.1209952093614407e-24,40000
60,0.0,4.9036363007920675e-25,5.234515132801838e-25,40000
61,0.0,2.30594840129742e-25,2.4665880917321004e-25,40000
62,0.0,1.0761098127152704e-25,1.154002185015826e-25,40000
63,0.0,5.052896611039178e-26,5.428799617584679e-26,40000
64,0.0,2.3452810060317396e-26,2.5236621782248406e-26,40000
65,0.0,1.0779825869931924e-26,1.1619059087662396e-26,40000
66,0.0,4.94043247119707e-27,5.340730847162135e-27,40000
67,0.0,2.3501597332482618e-27,2.5470192402927868e-27,40000
68,0.0,1.0707779527014319e-27,1.163644657579332e-27,40000
69,0.0,5.1104758111784325e-28,5.570017621866296e-28,40000
70,0.0,2.3111583037234595e-28,2.525716047695433e-28,40000
71,0.0,1.1137546942244444e-28,1.2208638436340822e-28,40000
72,0.0,5.084031950447645e-29,5.588432401029555e-29,40000
73,0.0,2.3734522670334216e-29,2.618006550445159e-29,40000
74,0.0,1.1186920563781241e-29,1.2367247042741339e-29,40000
75,0.0,5.045596783446944e-30,5.5939477829077935e-30,40000
76,0.0,2.4480380794857515e-30,2.7222604109111128e-30,40000
77,0.0,1.1278043569303312e-30,1.2575038897017552e-30,40000
78,0.0,5.233317776979476e-31,5.863372874867675e-31,40000
79,0.0,2.429928789675176e-31,2.729831487906115e-31,40000
80,0.0,1.1478742302587563e-31,1.294560173617077e-31,40000
