agent,constraint,reward,n_seeds,profit_mean,profit_std,gap_mean,gap_std,disp_mean,disp_std,rho_mean,rho_std
RL,SP,RMM,10,1096246.5787546951,95838.92398863126,3190.046191685876,68.90177778244463,0.0023616818525609,0.0201962703130201,10.198232519377417,0.0324347119988554
RL,SP,FL,10,373765.666827333,385152.8404489063,745.0266847527676,1288.2786296335275,0.0135418482358448,0.5070210747088589,0.1896136930470932,0.1319900471375573
RL,SP,SW,10,1103480.8165957786,71412.02732158526,3169.826401289816,82.54194433452766,0.0087564921062389,0.0481143799196607,10.293898111114054,0.0817463861616536
RL,EO,RMM,10,1105073.0929381787,99922.0066190583,3177.260994408933,55.429652239741785,0.0049071611611085,0.0256684674322226,10.230656904207592,0.043327148683776
RL,EO,FL,10,1130981.8006630186,62049.65897038806,3154.796072517386,103.87314664634074,0.0108691446298108,0.0459258969675255,10.328314586342794,0.0445197718484057
RL,EO,SW,10,1118119.1003785636,98741.11756652743,3115.8728221583974,136.14224655092465,0.0084853032809278,0.0556201770409337,10.303852055557485,0.0788707283206269
PERL,SP,RMM,10,1267201.5674589924,58394.37213479923,3081.9399762824114,26.481275585372902,0.1086264342258402,0.0030334059223112,0.1013692401412034,0.0004361029189503
PERL,SP,FL,10,1303792.6271377003,974265.7767447336,71.94402449542319,297.9832063672302,0.0118606134295723,0.2550221372371112,1.0588940137388474,0.0938069133688515
PERL,SP,SW,10,4720620.441520444,1345984.1133033202,1956.0158028238725,1012.6169076594658,0.2080903500614578,0.1896543297715674,0.1377050875121677,0.0484586154752725
PERL,EO,RMM,10,6711204.456947625,1228780.7453046113,207.921236019292,1328.7020676549305,0.0543067203384901,0.0792219591035127,1.229336390395517,0.643019142189991
PERL,EO,FL,10,7443316.224751621,410104.0671364029,1086.8464805286944,332.165289657669,0.0097090488796242,0.0129489042097291,3.981275458012843,0.5676565674422891
PERL,EO,SW,10,6756644.898195976,1136732.4702010304,535.2062301332296,1186.9944309516436,0.0427049926372605,0.0733588529355323,1.7758759097714598,0.8781860124117961
