agent,constraint,reward,group,episode,gini,n_seeds
RL,social,RMM,Male,100,0.4374630298686675,10
RL,social,RMM,Male,500,0.2066374541995858,10
RL,social,RMM,Male,1000,0.1417744936125307,10
RL,social,RMM,Male,1500,0.11646286959296626,10
RL,social,RMM,Male,2000,0.10457225714041518,10
RL,social,RMM,Male,2500,0.10046352123540303,10
RL,social,RMM,Male,3000,0.09655887638781024,10
RL,social,RMM,Female,100,0.5412214286266389,10
RL,social,RMM,Female,500,0.2931780739069678,10
RL,social,RMM,Female,1000,0.225352354384184,10
RL,social,RMM,Female,1500,0.19844060641508032,10
RL,social,RMM,Female,2000,0.18557844464681772,10
RL,social,RMM,Female,2500,0.17931759795033742,10
RL,social,RMM,Female,3000,0.17397403435950642,10
RL,social,FL,Male,100,0.37553301476401624,10
RL,social,FL,Male,500,0.20401471997540477,10
RL,social,FL,Male,1000,0.1437368556480838,10
RL,social,FL,Male,1500,0.12247187084399491,10
RL,social,FL,Male,2000,0.10925749509058691,10
RL,social,FL,Male,2500,0.09943600424871124,10
RL,social,FL,Male,3000,0.09363835273233323,10
RL,social,FL,Female,100,0.46207184381060473,10
RL,social,FL,Female,500,0.2972341368842655,10
RL,social,FL,Female,1000,0.23701661589370393,10
RL,social,FL,Female,1500,0.21541029931445055,10
RL,social,FL,Female,2000,0.19911586809271253,10
RL,social,FL,Female,2500,0.1854203441121718,10
RL,social,FL,Female,3000,0.17503469769092472,10
RL,social,SW,Male,100,0.5556661240684374,10
RL,social,SW,Male,500,0.290645536105106,10
RL,social,SW,Male,1000,0.22950244486915217,10
RL,social,SW,Male,1500,0.1860075302623645,10
RL,social,SW,Male,2000,0.1741047849867432,10
RL,social,SW,Male,2500,0.16239868894063936,10
RL,social,SW,Male,3000,0.14642183593837033,10
RL,social,SW,Female,100,0.6614128011670071,10
RL,social,SW,Female,500,0.37585865980515765,10
RL,social,SW,Female,1000,0.3021263844544352,10
RL,social,SW,Female,1500,0.2552214938125751,10
RL,social,SW,Female,2000,0.24356894894483005,10
RL,social,SW,Female,2500,0.2331216172863836,10
RL,social,SW,Female,3000,0.2210776343179912,10
RL,eo,RMM,Male,100,0.20024759575925966,10
RL,eo,RMM,Male,500,0.07710493085074299,10
RL,eo,RMM,Male,1000,0.048331304709094525,10
RL,eo,RMM,Male,1500,0.04030588555927228,10
RL,eo,RMM,Male,2000,0.03643060280061616,10
RL,eo,RMM,Male,2500,0.03365709451775778,10
RL,eo,RMM,Male,3000,0.031228054401913674,10
RL,eo,RMM,Female,100,0.2806519115767423,10
RL,eo,RMM,Female,500,0.17317118881218319,10
RL,eo,RMM,Female,1000,0.14379229098724122,10
RL,eo,RMM,Female,1500,0.13075691442152682,10
RL,eo,RMM,Female,2000,0.12012458544956028,10
RL,eo,RMM,Female,2500,0.11204746019184753,10
RL,eo,RMM,Female,3000,0.10565091932989334,10
RL,eo,FL,Male,100,0.2852821726620307,10
RL,eo,FL,Male,500,0.16141859981504703,10
RL,eo,FL,Male,1000,0.12201090034251982,10
RL,eo,FL,Male,1500,0.09673775147859232,10
RL,eo,FL,Male,2000,0.08558858376621692,10
RL,eo,FL,Male,2500,0.07841910717823586,10
RL,eo,FL,Male,3000,0.07402968005427613,10
RL,eo,FL,Female,100,0.36474988371968686,10
RL,eo,FL,Female,500,0.2520979728566388,10
RL,eo,FL,Female,1000,0.21635240131117217,10
RL,eo,FL,Female,1500,0.18906327629304598,10
RL,eo,FL,Female,2000,0.17302765981484136,10
RL,eo,FL,Female,2500,0.1598222809606027,10
RL,eo,FL,Female,3000,0.15025119208965054,10
RL,eo,SW,Male,100,0.1933895658884105,10
RL,eo,SW,Male,500,0.07569269845779825,10
RL,eo,SW,Male,1000,0.04625646253112803,10
RL,eo,SW,Male,1500,0.035919330047213816,10
RL,eo,SW,Male,2000,0.02991984435964734,10
RL,eo,SW,Male,2500,0.02633518907414678,10
RL,eo,SW,Male,3000,0.023714894670608055,10
RL,eo,SW,Female,100,0.27225232494996776,10
RL,eo,SW,Female,500,0.1716807196188287,10
RL,eo,SW,Female,1000,0.1414331399441746,10
RL,eo,SW,Female,1500,0.1248200728074369,10
RL,eo,SW,Female,2000,0.11210977547946666,10
RL,eo,SW,Female,2500,0.10147097052606024,10
RL,eo,SW,Female,3000,0.09300363741940654,10
PERL,social,RMM,Male,100,0.24099164351143743,10
PERL,social,RMM,Male,500,0.11508125744319897,10
PERL,social,RMM,Male,1000,0.07046575332488236,10
PERL,social,RMM,Male,1500,0.05179111989790053,10
PERL,social,RMM,Male,2000,0.04212498199741099,10
PERL,social,RMM,Male,2500,0.03616525655766334,10
PERL,social,RMM,Male,3000,0.03211308752783437,10
PERL,social,RMM,Female,100,0.2974923195091247,10
PERL,social,RMM,Female,500,0.17770487861503947,10
PERL,social,RMM,Female,1000,0.1554178744455602,10
PERL,social,RMM,Female,1500,0.14195099528754596,10
PERL,social,RMM,Female,2000,0.13140179152912634,10
PERL,social,RMM,Female,2500,0.12269472332145204,10
PERL,social,RMM,Female,3000,0.11518438151847532,10
PERL,social,FL,Male,100,0.2906980622313877,10
PERL,social,FL,Male,500,0.13201210395576357,10
PERL,social,FL,Male,1000,0.08703518820196066,10
PERL,social,FL,Male,1500,0.0662970292109627,10
PERL,social,FL,Male,2000,0.05497897476289626,10
PERL,social,FL,Male,2500,0.047592281022646565,10
PERL,social,FL,Male,3000,0.04241932625194378,10
PERL,social,FL,Female,100,0.2884126159552074,10
PERL,social,FL,Female,500,0.15717776933062888,10
PERL,social,FL,Female,1000,0.1280889425495122,10
PERL,social,FL,Female,1500,0.10991834424310354,10
PERL,social,FL,Female,2000,0.09731588820952375,10
PERL,social,FL,Female,2500,0.08766175598988935,10
PERL,social,FL,Female,3000,0.08038254247897325,10
PERL,social,SW,Male,100,0.22380971033735653,10
PERL,social,SW,Male,500,0.10693038286643075,10
PERL,social,SW,Male,1000,0.06573415563058282,10
PERL,social,SW,Male,1500,0.0491566135162127,10
PERL,social,SW,Male,2000,0.04043083924450008,10
PERL,social,SW,Male,2500,0.035030718210968925,10
PERL,social,SW,Male,3000,0.03128652988003,10
PERL,social,SW,Female,100,0.3206849456638927,10
PERL,social,SW,Female,500,0.20479261252255898,10
PERL,social,SW,Female,1000,0.16885405941564202,10
PERL,social,SW,Female,1500,0.15023660203033218,10
PERL,social,SW,Female,2000,0.1374828135027848,10
PERL,social,SW,Female,2500,0.12779332230903984,10
PERL,social,SW,Female,3000,0.119611577290064,10
PERL,eo,RMM,Male,100,0.25532232367550534,10
PERL,eo,RMM,Male,500,0.12248885326195857,10
PERL,eo,RMM,Male,1000,0.059288975117868126,10
PERL,eo,RMM,Male,1500,0.040431975293575007,10
PERL,eo,RMM,Male,2000,0.03176462045935602,10
PERL,eo,RMM,Male,2500,0.026696798647713904,10
PERL,eo,RMM,Male,3000,0.02334749123275459,10
PERL,eo,RMM,Female,100,0.3286083562637123,10
PERL,eo,RMM,Female,500,0.2796305485479904,10
PERL,eo,RMM,Female,1000,0.2721406309527802,10
PERL,eo,RMM,Female,1500,0.268407104859555,10
PERL,eo,RMM,Female,2000,0.26372945935673564,10
PERL,eo,RMM,Female,2500,0.2583977097468617,10
PERL,eo,RMM,Female,3000,0.25270492290959745,10
PERL,eo,FL,Male,100,0.17835932595954995,10
PERL,eo,FL,Male,500,0.06532756476315127,10
PERL,eo,FL,Male,1000,0.03939028440657044,10
PERL,eo,FL,Male,1500,0.030214128023030806,10
PERL,eo,FL,Male,2000,0.02536346328143113,10
PERL,eo,FL,Male,2500,0.022254930214347768,10
PERL,eo,FL,Male,3000,0.020012309215290625,10
PERL,eo,FL,Female,100,0.25656695046310685,10
PERL,eo,FL,Female,500,0.171827928116419,10
PERL,eo,FL,Female,1000,0.15043354936331377,10
PERL,eo,FL,Female,1500,0.14358593424697041,10
PERL,eo,FL,Female,2000,0.13875973804641906,10
PERL,eo,FL,Female,2500,0.13416585196951403,10
PERL,eo,FL,Female,3000,0.13024633711572942,10
PERL,eo,SW,Male,100,0.24321471215647117,10
PERL,eo,SW,Male,500,0.12343853353560685,10
PERL,eo,SW,Male,1000,0.060756199392488774,10
PERL,eo,SW,Male,1500,0.04142557173008421,10
PERL,eo,SW,Male,2000,0.03241453393766003,10
PERL,eo,SW,Male,2500,0.02719726447397508,10
PERL,eo,SW,Male,3000,0.02369305936941024,10
PERL,eo,SW,Female,100,0.3075387117186317,10
PERL,eo,SW,Female,500,0.26991690870345697,10
PERL,eo,SW,Female,1000,0.26682282072402164,10
PERL,eo,SW,Female,1500,0.26539472460626556,10
PERL,eo,SW,Female,2000,0.2622048613970751,10
PERL,eo,SW,Female,2500,0.2578778805824459,10
PERL,eo,SW,Female,3000,0.25260995279976517,10
