pop,M_loan_ep100,M_loan_ep500,M_loan_ep1000,M_loan_ep1500,M_loan_ep2000,M_loan_ep2500,M_loan_ep3000,F_loan_ep100,F_loan_ep500,F_loan_ep1000,F_loan_ep1500,F_loan_ep2000,F_loan_ep2500,F_loan_ep3000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.333333333333333e-05,5.611119709589981e-06,4.597805185292459e-05,5.932870199096034e-05,6.514392487172164e-05,6.842934485477118e-05,7.061423509127601e-05,7.170088613854093e-05,0.0,1.0086422862649044e-05,2.3867182416211253e-05,3.193439407788526e-05,3.3490499254155486e-05,3.740668438839117e-05,4.088337169208114e-05
0.005083333333333333,0.0012384017047686528,0.003324102636013597,0.004010179465616255,0.004273503386932438,0.004407799046196493,0.004497004600212748,0.004555912687365894,0.0,0.0014980215556522137,0.0021474393533121076,0.0024694797946018276,0.002686759244205199,0.0028625373107244723,0.003011798321169144
0.010083333333333333,0.002913716612894954,0.006872090683068604,0.00812994902869733,0.00860104229593201,0.008847003054208245,0.009009576543477234,0.009115456283278854,0.0003990463166504965,0.0034097847220517447,0.004619947826186758,0.00522868937515778,0.0056364559780387995,0.00597041863312129,0.006249707522176884
0.015083333333333334,0.004749934073921205,0.010540789905045644,0.012324114763853037,0.012983877855180934,0.013331626176523595,0.013560902591095164,0.013710464648219432,0.001415953962250602,0.005534993439941337,0.007252049372078073,0.008135957087089923,0.00872974278346489,0.009209750496628099,0.009621689312544209
0.020166666666666666,0.006860309453259769,0.01435013850613917,0.01664005786210257,0.0174775922557412,0.01792387435365849,0.01821601678365756,0.01840671826071684,0.0024498100686107097,0.007764182482569336,0.01005252647389426,0.011190726955613673,0.011976464546710506,0.012602199645309866,0.013142881918645849
0.025166666666666667,0.008954453088417648,0.01815761022491278,0.020926870099092637,0.021927116506603363,0.02246565318550839,0.022814742935353478,0.02304457950732567,0.0034667177142108153,0.010170244693759972,0.012908761894916704,0.014291328293571914,0.015245169250106855,0.01601248594382316,0.016676045601387465
0.030166666666666668,0.011067957299365615,0.022014349630982238,0.02524465928864626,0.026400141903183662,0.02702741408897602,0.027431455215859483,0.027697681774622406,0.004483625359810922,0.012659139224450427,0.015825890685755233,0.017448646791219432,0.01858758233200797,0.01948396911227323,0.020266339168115585
0.03525,0.013455351747602193,0.025980718265058156,0.029661680689922826,0.030969256327835166,0.03168192383256694,0.03213937965547326,0.032441853666784676,0.005517481466171029,0.015194858089091698,0.01886463380015953,0.020726539390961335,0.022026068592858807,0.023057568171978512,0.0239729952614044
0.04025,0.015950371561966055,0.029924351869599575,0.03402888667303107,0.03548156226458357,0.036274909595717234,0.03678315805962596,0.037120359631560754,0.006534389111771134,0.01775293798972417,0.021913794066918492,0.023997134654548995,0.025472283141921088,0.026636500542675395,0.027666682172091457
0.04525,0.018463343924155513,0.03390008810301732,0.038418530218323976,0.04000999712703716,0.040881367618082975,0.04143863585111708,0.04180918150031947,0.0075965339034101895,0.020416621764520852,0.025024109670742256,0.02732667390833309,0.028947409610712106,0.03024400701772938,0.031400731851059044
0.05025,0.020976316286344963,0.037909814894987424,0.04282582428693959,0.04455240180497741,0.04550017910149791,0.046104362222786834,0.04650786455368917,0.00930636054933657,0.023226434260601222,0.028177141010425448,0.030693093555553653,0.03247958227683394,0.03390256281273013,0.03517639499242381
0.05533333333333333,0.02353117152123757,0.042018156711124396,0.047324836251064595,0.049184406828927926,0.050207355921974575,0.050857851882390594,0.05129317047552464,0.011294832094368028,0.02610756876019819,0.031425594815785364,0.03415096964812596,0.036098309225142816,0.03764754291188769,0.03904809242820542
0.060333333333333336,0.026046908911353805,0.046089197584899946,0.051765760723030727,0.0537532693453419,0.05484720174174364,0.05554217064870363,0.05600831160691773,0.013328647385568243,0.02895411894915146,0.03465816887933508,0.037606606224191194,0.0396857336518846,0.04137465249234716,0.042892352769554346
0.06533333333333333,0.02870244986158168,0.050182304295827575,0.0562229804602466,0.05833413700300246,0.059496254919587835,0.06023459190116949,0.06073093897922921,0.01536246267676845,0.03180935728573371,0.037951785512784414,0.04109357742780008,0.043326435702148926,0.04512781152638554,0.046766686098245594
0.07041666666666667,0.03153967159371916,0.05436796177658367,0.0607675134723671,0.06300237194122771,0.0642327034974933,0.06501319976921158,0.06553876984021487,0.017430174889488663,0.03475672948235152,0.041322717752692625,0.04465922711346511,0.04705270792094643,0.04897866122629568,0.05073404103691218
0.07541666666666667,0.03442370527403669,0.05851258774562955,0.06525149421836954,0.06760379327097141,0.068899588003438,0.06972069409942036,0.07027442346223453,0.019463990180688878,0.037703803613321596,0.044685622549737104,0.048200096919862365,0.050729891381345635,0.05280060059376179,0.054658895034830034
0.08041666666666666,0.03735550636325772,0.06267637593266195,0.06975014289918453,0.07221559686601955,0.07357455849816745,0.0744352466888433,0.07501620882731833,0.021497805471889092,0.04072964566306512,0.04808516827304128,0.05177710206521641,0.05445360155260302,0.056640892483361516,0.0586144248531555
0.0855,0.04033617080396576,0.06692716762512357,0.07433299068264519,0.0769142707252519,0.07833525781737817,0.07923532507021953,0.07984377844162893,0.023565517684609308,0.043914181980524006,0.05155532059075267,0.055458678703697716,0.058272969011506394,0.060576116394223965,0.06265639668696585
0.0905,0.04326797189318679,0.07113598099652872,0.07885560754490195,0.08154514886203816,0.08302543680364383,0.0839635739105998,0.0845982673400346,0.025599332975809512,0.04707981325022354,0.054994103558534,0.059092007231689135,0.062044054855872485,0.06447436649547436,0.06666173858072366
0.0955,0.04619977298240782,0.07535402261890758,0.08338475999849013,0.08618445844885544,0.08772223219749983,0.08869787403627574,0.08935846207471809,0.027633148267009734,0.05025217976361642,0.058491943045714256,0.06274973652599894,0.06582660626662826,0.06839302515703397,0.070689248252871
0.1005,0.04913157407162884,0.07959000899712113,0.08792726945777637,0.09083223863781503,0.09242549285955663,0.09343698973010228,0.09412397011939697,0.02966696355820994,0.05345454872618884,0.06200714839014084,0.06642037665615966,0.06964928604081731,0.07233366374366672,0.07473112424045825
0.10558333333333333,0.052112238512336886,0.08392307380019806,0.09255404075436956,0.09556529926383406,0.09721433415100074,0.09826144451093245,0.09897446451481343,0.03173467577093016,0.056710290504804126,0.06560644904280799,0.07018781714611014,0.07357042679876577,0.07636517294696155,0.07886584223707585
0.11058333333333334,0.055091288351665366,0.0881955881115101,0.09711659817062909,0.10022732120057036,0.10193035321940003,0.1030127771604186,0.10375038857673498,0.03376849106213036,0.05991265946737656,0.06918806612861951,0.073943291788694,0.07743994550164435,0.08034818747304125,0.08295829440415167
0.11558333333333333,0.05819390487865944,0.09248316334432752,0.10168766006083178,0.10489862021228417,0.1066521082976963,0.1077686865954206,0.1085309046909638,0.03580230635333058,0.06313587998425858,0.07278654941533574,0.07770779060947233,0.08131062802306246,0.08435300257981498,0.0870620103497691
0.12066666666666667,0.06142182631681718,0.09685639979911187,0.10634254616706222,0.10965301797443923,0.11145893527786174,0.1126090569347666,0.11339620182231125,0.03787001856605079,0.06645780931550087,0.07646479341047743,0.08154993337876319,0.08528021048939802,0.08844451285867345,0.09125526104085493
0.12566666666666668,0.06464721135737105,0.10117817112420682,0.11093192681191988,0.11433886397809487,0.11619274311791565,0.11737579723342753,0.11818634954557672,0.039903833857251006,0.06976244789808235,0.08008569984369471,0.0853474709435376,0.08922786114852437,0.09249277266536308,0.0954028141064299
0.13066666666666665,0.06792993148353814,0.10551499993918027,0.11552852593535265,0.11902899770166461,0.12093216606280174,0.12214646857151139,0.12298044972503416,0.041949283239662495,0.07308538205749278,0.08375408165559975,0.08916550950456656,0.09319198008425775,0.0965577238160024,0.09956493648734197
0.13575,0.07133640513006165,0.10993303981830933,0.12021154628492836,0.12380545730548684,0.12575610925123087,0.12700169727041682,0.12785881146943193,0.044233907862166286,0.0765553099050537,0.08750950657878284,0.0930812897833058,0.09722826333084057,0.10071200496977636,0.10381243217871343
0.14075,0.07468703494631425,0.11429188914268087,0.1248247103565446,0.12850828911027717,0.13050594272233157,0.1317823984296104,0.13266159297117738,0.046845999129191976,0.08004048622686993,0.09122835410401006,0.09697101614537715,0.1012046476039862,0.10481415710131055,0.10801044546669533
0.14575,0.07803766476256685,0.11866993510991938,0.12944531932943715,0.1332165089125614,0.1352616069340945,0.1365672624472603,0.13746790067551776,0.04972446093188162,0.08354500853348747,0.09497636840914825,0.10086954658373581,0.10522348530562489,0.10893820458797916,0.11222592938343803
0.15075,0.08138829457881944,0.12306036260876929,0.13407498093747514,0.13793217495750695,0.14002148562351682,0.141357008834949,0.14227816766678306,0.05272695041878443,0.08706645857680616,0.09874159043708586,0.10477247906023812,0.10926884067971658,0.11307770953489948,0.11645535669572911
0.15583333333333332,0.08479476822534293,0.1275319997575303,0.13878918123155579,0.1427308728264206,0.14486702765831536,0.14623068510239534,0.14717314370285642,0.05582851873786476,0.09067660190335966,0.10259548966771218,0.10876488158656665,0.11339660169375683,0.11730231597015477,0.12076717485821793
0.16083333333333333,0.08814539804159553,0.13194076611052344,0.14343352232645787,0.1474576677239055,0.14963626703105146,0.15102843106687616,0.15199134101842304,0.05887924167466507,0.09423478963955126,0.10640393877287857,0.11270781372669794,0.11746631303957882,0.12147733373406977,0.125026243716038
0.16583333333333333,0.09149602785784812,0.1363678739172709,0.14808708133894366,0.1521891567419643,0.15441184446029033,0.15583092659059744,0.15681347098054316,0.061929964611465396,0.09779297737574282,0.11022082124954476,0.11666228031893185,0.12153882139030218,0.1256681592874492,0.12930644727098484
0.17091666666666666,0.09490250150437161,0.14088356090928061,0.15282244251391436,0.15700747769834195,0.15926982905185563,0.16071667392554573,0.16171970555522913,0.06503153293054571,0.10141046824087092,0.11411348176467244,0.12072718233448357,0.125704781002212,0.12994434244703135,0.13367173959794934
0.17591666666666667,0.09827291789850146,0.14533270313233607,0.1574891691397332,0.161750067510917,0.1640550694395438,0.16552706405668188,0.16654926445458026,0.06808225586734604,0.10498776990184629,0.11797287522028554,0.12475116041604237,0.12984350584557744,0.13416460444412337,0.13797204615723008
0.18091666666666667,0.10173544266140314,0.14978782801787247,0.162163720087992,0.16649868278052252,0.168842377278415,0.17034052711060174,0.17138198138625155,0.07113297880414635,0.10860166885273666,0.12185736687241686,0.128785703389146,0.13399304725801192,0.13839929742923948,0.14229222804495373
0.18591666666666667,0.10526710154250077,0.15426107373494252,0.16684195018470288,0.171253360227862,0.17363619348515477,0.17515844147419452,0.17621848740249382,0.07418370174094666,0.11222954021974885,0.12575942437915816,0.13282288758513577,0.13815098400072445,0.14265335193517642,0.14662846890496958
0.191,0.10888861923994905,0.1588209830002974,0.17160704413683525,0.17609036114171517,0.17851240626750237,0.18005995539788816,0.18113860142961946,0.07728527006002699,0.11593998803077961,0.1297557975020304,0.13693090987255385,0.14238978049064638,0.14700163103921476,0.15105333486104358
0.196,0.11252719967446793,0.16331954817046226,0.1763001333150431,0.18085382914242526,0.18331302273097472,0.18488526613108625,0.18598178582246422,0.0803359929968273,0.11960868700290261,0.13371358906371916,0.14099584692756034,0.14656599876092374,0.1512854343456678,0.15541200222728216
0.201,0.11620818854813542,0.1678214090193852,0.18099973326316612,0.18562305650639022,0.1881182457259164,0.18971424139203807,0.19082739342227617,0.08338671593362762,0.12334188639346925,0.13769048471439063,0.14507955972233155,0.15074829643278415,0.1555813587632445,0.15978110610936685
0.20608333333333334,0.11995765870830204,0.17240625303510482,0.18578553889679097,0.19047483848481167,0.19300725107470576,0.19462766046317814,0.19575763395392937,0.08648828425270795,0.12720154516985654,0.1417463127551047,0.14925251246509477,0.15505254628844764,0.15996066440196743,0.16424470603761857
0.21108333333333335,0.12369552076741316,0.17693291680872797,0.19049853041039255,0.19525383607837035,0.19782119905970857,0.19946431468719428,0.2006095012777407,0.08953900718950826,0.13102164661397714,0.14575272634235625,0.15339630318822056,0.15930168437793416,0.1642892471757583,0.16865287085465613
0.21608333333333332,0.1274649793106974,0.1814714379562839,0.19521608472663116,0.20003701357028408,0.2026372163311967,0.20430363886508332,0.20546515019739417,0.09258973012630857,0.13486264170941248,0.14976854638243448,0.15755563349880275,0.16355557930802817,0.1686318022336265,0.17306928436478602
0.22116666666666668,0.13129726216303625,0.1860983192519347,0.20002014877365482,0.20490317473901548,0.20753975449644085,0.20922831252973526,0.21040427881182544,0.09569129844538891,0.1387827674403978,0.15386773368964526,0.16179659334620472,0.16789563241961963,0.1730648761662125,0.17756629321455186
0.22616666666666665,0.13506672070632045,0.19065359255383205,0.20475073288373064,0.20969644952512173,0.21236466346702362,0.21407429335539208,0.215266087376144,0.09874202138218921,0.14266003625733564,0.15790955136806653,0.16596913916423253,0.1721724345451494,0.17743075070416797,0.1820017085878211
0.23116666666666666,0.13883617924960462,0.19521479491101806,0.20948672028283438,0.21449279924557532,0.217193392258869,0.21892486603222347,0.2201301327808499,0.10179274431898952,0.14655261244630385,0.16199694172481469,0.1701538939103165,0.1764512110270802,0.18180408539820597,0.18645974350807357
0.23616666666666666,0.1426056377928888,0.1997846841015218,0.21422967580528324,0.2192921950091967,0.22202674561342156,0.2237773359926099,0.22499762119425054,0.10484346725578986,0.15046661895611457,0.166091924268872,0.1743538622435291,0.18075202465942747,0.18620351762315906,0.1909282124604638
0.24125,0.14643792064522773,0.20445039329638734,0.21905710875094525,0.22417823900588676,0.2269429571434082,0.22871513303722962,0.22994909952920145,0.10794503557487019,0.15444585890775553,0.17025515652199694,0.1786423010606929,0.185167118647251,0.19069015778360227,0.19548028401016304
0.24625,0.15020737918851187,0.20905310122005055,0.22381121016418493,0.2289881182801606,0.23178256245889178,0.23357437240756002,0.23482228915319822,0.1109957585116705,0.15835986541756625,0.1743830353056381,0.18287987801870473,0.18951785199146837,0.19511677508743577,0.19996819143034905
0.25125,0.1539768377317961,0.21366005240715488,0.22857035210465598,0.23379952949071647,0.23662660069507413,0.2384364001053559,0.239698616440978,0.11404648144847081,0.162273871927377,0.1785376417541853,0.18715292343472317,0.19388553889160928,0.1995576242777078,0.20445803715322045
0.25633333333333336,0.157809120584135,0.2183460786344436,0.23341663672280566,0.2386984170338958,0.24155374857779224,0.24338372908484773,0.24465912063023415,0.11714804976755115,0.1662716465939598,0.18277918061482185,0.19150226658471337,0.19832684862487027,0.20407537882007865,0.20904609038032027
0.2613333333333333,0.16165799241873374,0.2229623870989088,0.23818751129757748,0.24352116039532673,0.2464043218674971,0.2482515809782623,0.2495408116654144,0.12019877270435146,0.1702204056942865,0.1869615014165283,0.1957941402900954,0.20269666623944893,0.20852777964866806,0.2135732229215987
0.2663333333333333,0.16551929010421781,0.22759763518229534,0.24296414838700864,0.24834624763326793,0.25125844934611996,0.2531235274854142,0.2544255261017704,0.12324949564115177,0.17420176709889756,0.19116458204409587,0.20009982792506023,0.2070750393984317,0.21300824332621687,0.21811051621159278
0.27141666666666664,0.16953467239739667,0.2323234399101352,0.24782369867913623,0.2532565754980034,0.25619703880907885,0.2580796268673943,0.2593943917853626,0.126377656168715,0.17828152860107416,0.19544958560764433,0.20447727702060772,0.2115502924249352,0.21757509743288725,0.2227334411712567
0.27641666666666664,0.1735108314526323,0.23698016095790253,0.2526117567953871,0.25809198350783247,0.26105800084728603,0.2629568535404858,0.2642840749966672,0.12955475633568775,0.18230013230155023,0.19966598690444776,0.20879428566158817,0.2159748519775458,0.22207962577649337,0.2272859686184164
0.28141666666666665,0.1775142849795745,0.24164087151153474,0.2574042285050709,0.26292959861201376,0.2659224525190446,0.2678389237642712,0.26917679668079875,0.13282367121755717,0.1863382523514045,0.20390046882769547,0.21312417077853546,0.22042613014883972,0.22659899790867494,0.23184637229387053
0.28641666666666665,0.18157449861987754,0.24630279626260426,0.2622014436717689,0.26777105811749,0.2707908895728506,0.27272257144215006,0.27407181034492833,0.1362391670372184,0.19042258275103707,0.20815344110797301,0.21748182779157532,0.22489422820286978,0.2311183700408565,0.23642803101858417
0.2915,0.18572430610845242,0.2510503935749152,0.2670825516564773,0.2726997151520908,0.2757433730379285,0.2776907590547737,0.27905165208888566,0.13995889607019224,0.19462909352304106,0.21250638293675173,0.22192106858878113,0.22943679455780028,0.23572220297352833,0.2411001063081522
0.2965,0.18982908029849155,0.25573556148675947,0.2718906241522326,0.2775499154173746,0.2806180784880483,0.2825815501918787,0.28395197788937765,0.14381981364774543,0.19879307451145803,0.2168003030442211,0.22632423850339606,0.23390489261183034,0.24026701645303103,0.24570323013187467
0.3015,0.1939742814540259,0.26043747819656715,0.2767041088540451,0.2824047445173494,0.2854958842463314,0.28747353701285644,0.2888554291227782,0.1478064820075031,0.20298988838051257,0.22109422315169044,0.23073653266549682,0.23837825561626289,0.2448352730748739,0.2503189802448709
0.3065833333333333,0.1981885692954858,0.26522540853142923,0.28160232019289383,0.2873446505851572,0.29045849036855903,0.2924513285741132,0.2938430181092401,0.15194190643294356,0.2072566491473847,0.22547607602643463,0.2352334112577748,0.24293981316107244,0.24949066537161033,0.2550130801769066
0.3115833333333333,0.20237470226006252,0.2699391846244824,0.28642468049401876,0.29220775709642866,0.2953438651099865,0.2973500234022134,0.29875186593129444,0.15600953701534398,0.21146253144681487,0.2298160051525769,0.239673350612227,0.2474559857585512,0.254084509884552,0.25964000177813473
0.3165833333333333,0.20656298953037827,0.2746538280014194,0.29125160932823874,0.2970746886473748,0.30023135886188124,0.3022512874774506,0.30366325538123623,0.16007716759774443,0.21569561903737183,0.23417308695879227,0.24411328996667928,0.2519867163656731,0.25868240495864303,0.2642877378880367
0.32158333333333333,0.210751276800694,0.2793718300303935,0.296085706618741,0.3019442335642415,0.3051227258163153,0.30715629442203085,0.30857772989577453,0.16414479818014482,0.21994952465389014,0.2385653742228698,0.24856344042459666,0.25654262635931907,0.26328030003273406,0.2689499195733268
0.32666666666666666,0.2150093688588483,0.28418066421090726,0.30100557044822557,0.30690002632839386,0.3100989779717461,0.3121443598322541,0.31357627080627803,0.16828022260558528,0.2242905136920439,0.24304581940659892,0.25310267622135474,0.2611854500470797,0.26796631261198867,0.2736977112762043
0.33166666666666667,0.21919765612916411,0.2889307808199245,0.3058467948892024,0.3117775137962248,0.31499593621485833,0.31705464621243357,0.3184952041228736,0.17234785318798568,0.22856033897547373,0.24745951457350124,0.25757746339600784,0.2657531447781617,0.2725894689239695,0.2783748622992763
0.33666666666666667,0.2233859433994799,0.29369040247975436,0.3106935302152472,0.31665899871222514,0.3198962651418591,0.321968082841397,0.32341696929603714,0.17641548377038607,0.23283016425890368,0.2518732097404036,0.2620717685969759,0.27032083950924374,0.2772397002380225,0.28305662980038354
0.34175,0.22764403545763418,0.2985332310100739,0.3156291469619013,0.32162537387023205,0.32488248294571515,0.3269641856802371,0.3284230640513764,0.1805509081958265,0.23717115329705737,0.2563785471198653,0.26666399795624507,0.2749720663223473,0.28197932751764265,0.2878263414390337
0.34675,0.23183232272794996,0.3033005930128783,0.3204871602420236,0.3265145020243655,0.32978908889072256,0.3318827825282999,0.3333502314045895,0.18461853877822698,0.24145256277732594,0.2608119666065252,0.27120706372090153,0.2795563270837576,0.28664960108417276,0.2925335757582074
0.35175,0.2360206099982657,0.3080704200372598,0.32534947539375075,0.331407389940754,0.33469831398046235,0.3368041382172676,0.33827920385910715,0.18868616936062738,0.245765873411348,0.2652665169861849,0.27575515031584,0.28417258201993756,0.29132601910017336,0.29725953251191645
0.35683333333333334,0.24034441222199893,0.3129278659067425,0.3302957062838088,0.33638495752443254,0.3396944805693822,0.34180864213830536,0.3432928318608859,0.1928215937860678,0.2501777074741694,0.2698342556182477,0.2803908981784596,0.2888757991178812,0.2960803774164406,0.30207154912514433
0.36183333333333334,0.24461486103677083,0.31772157797370115,0.3351701462933759,0.34128552058010514,0.34461054327545504,0.34673587780767356,0.3482269281421936,0.19688922436846826,0.2545451472362957,0.2743271132891291,0.28496244208811394,0.2935287067682455,0.30076569588246277,0.3068164336138649
0.36683333333333334,0.24891502977735627,0.32252599875326526,0.3400480582002602,0.34618997210931346,0.3495292970146655,0.3516650319294728,0.35316309475180085,0.20095685495086868,0.2589195697103909,0.27881997096001054,0.2895455123824581,0.29819599817637954,0.30547357375344564,0.3115628211419459
0.37183333333333335,0.2532878152269909,0.3273396448387083,0.3449323292901009,0.3510979005475766,0.35445289571915134,0.356596120863784,0.3581021342150243,0.2050244855332691,0.2632939921844861,0.2833291960630423,0.29413302228700455,0.30286328958451353,0.3102000287882965,0.3163147916411763
0.3769166666666667,0.2577560528056292,0.33224006014452473,0.3498980048981057,0.3560899801372943,0.3594605013913229,0.3616138723009465,0.36312562149484784,0.2091599099587095,0.2677626606922198,0.28792764175690155,0.2988089743237632,0.3076083691827832,0.3150173091242674,0.3211600717239812
0.3819166666666667,0.2621734338699119,0.3370601407731966,0.35478877008629084,0.3610054470040408,0.36438844117396796,0.3665505882034397,0.3680690331245402,0.21322754054110993,0.2722413830457821,0.2924733364486495,0.3034259942665646,0.31228174818982013,0.3197658441667721,0.3259446746376452
0.3869166666666667,0.2666251325694088,0.34188699409177536,0.3596862204644693,0.3659243492942089,0.3693202175315312,0.37149022666472997,0.3730154221029199,0.21729517112351035,0.27675819800048757,0.29705058747827384,0.3080621831102712,0.31697440918728315,0.3245207851246822,0.3307373237677845
