pop,M_loan_ep100,M_loan_ep500,M_loan_ep1000,M_loan_ep1500,M_loan_ep2000,M_loan_ep2500,M_loan_ep3000,F_loan_ep100,F_loan_ep500,F_loan_ep1000,F_loan_ep1500,F_loan_ep2000,F_loan_ep2500,F_loan_ep3000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078469758146743e-06,5.4597281563259845e-06,6.510097600260989e-06,6.4574739173630355e-06,6.105119313716121e-06,5.895097981887639e-06
0.005083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.998933617701946e-05,0.00029575085246197444,0.0003757478028826518,0.00041735333566916605,0.0004203709659975183,0.000402923610407802,0.00038699234125543196
0.010083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011996800853105837,0.0006137479036047494,0.0007707527864717248,0.0008433380366959815,0.000846917111970657,0.000810440324598353,0.0007777241992104856
0.015083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019994668088509733,0.0009444747239926489,0.0011754075221510484,0.0012756133938309146,0.001278826842836906,0.0012233632075269846,0.001173600869949732
0.020166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002945881098373767,0.0012894143935377265,0.0015934364756396663,0.001720031180197795,0.0017217989675451946,0.001647041370741929,0.001579397978302943
0.025166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045454545454545455,0.0016350956030388307,0.0020103226953281234,0.0021606209316461693,0.00216011324221473,0.002066939495129456,0.001981003016980145
0.030166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006145027992535323,0.001986956312173491,0.002430806410313384,0.002604307246372571,0.002601021092474026,0.0024887347710794224,0.002384465904718305
0.03525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007771260997067449,0.0023488278107145107,0.002862294228559457,0.0030577952810813885,0.003051456363267136,0.00291944523294311,0.002796455843274711
0.04025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009370834444148227,0.002710204949284847,0.003289507375923445,0.003505894808038678,0.0034962986853394698,0.0033446782045814067,0.00320327715046922
0.04525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010970407891229006,0.0030743010676939466,0.0037196408429989564,0.00395567671976907,0.003943046491518567,0.003771280548776052,0.0036115990280591185
0.05025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012569981338309785,0.003445071045707287,0.004152186748097031,0.004406555838960179,0.004391293984263171,0.004199337851311816,0.004021373838888996
0.05533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014196214342841909,0.003824863093185619,0.0045936629062259945,0.004866432059329177,0.004848310232573157,0.004635868146539981,0.0044393065125827
0.060333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015795787789922688,0.004203048470759226,0.005029933277043113,0.005320261447470218,0.005299257161135676,0.005066678458485902,0.0048513559975833665
0.06533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017715275926419622,0.0045822225682742015,0.005466965470393672,0.0057752368078480085,0.005751492055807396,0.005498629914228779,0.0052645130464472984
0.07041666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020154625433217808,0.004974250025026974,0.005913605092360401,0.006239160504627655,0.006212654496386726,0.005938868926797051,0.005685720774575383
0.07541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022553985603838977,0.0053598508021608475,0.0063533459880520836,0.006696744780523153,0.00666723595944918,0.006373216784513537,0.006101152497610104
0.08041666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024953345774460143,0.005750395179001566,0.006795203057447767,0.007155206822387227,0.0071227348778223,0.006808434764375202,0.006518116838512995
0.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002739269528125833,0.006149961625307275,0.007245905732926182,0.0076222270824449,0.007586879048161287,0.0072523629355258955,0.0069436365289257855
0.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00297920554518795,0.006542977802001417,0.007690302210766668,0.008082810392066361,0.008044372027565746,0.007691170257238904,0.007363013746460032
0.0955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032191415622500664,0.006939083728512335,0.008136349304096277,0.008544320232432429,0.008504871221389106,0.008130819172502166,0.007783319888524758
0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003459077579312184,0.007339515304766743,0.008583285190381568,0.009007962121475319,0.008966358444008563,0.008571480852885229,0.00820454304583111
0.10558333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037030125299920024,0.00774662074062539,0.009039066682749588,0.009482591535685711,0.009436332248274254,0.009020642064964137,0.008633659341477296
0.11058333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003942948547054119,0.008147052316879799,0.009493368175173485,0.009949464122503814,0.009899354444201936,0.009463257954099486,0.009056442615623298
0.11558333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004182884564116236,0.008554775702701802,0.009948899618571422,0.01041760459349875,0.010363082374983977,0.009906629851000319,0.009480047630700112
0.12066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004426819514796054,0.008974401719945475,0.010414002580497135,0.010893745715766128,0.010835561537982635,0.010358287315135068,0.009911593421272166
0.12566666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004666755531858171,0.009396481815280397,0.010871480903702754,0.01136342227720607,0.011301265526356873,0.010803427984921184,0.010336889555366005
0.13066666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004906691548920288,0.009819427040564018,0.011329890343338134,0.011833293897750138,0.011767498815871878,0.011249438776852479,0.010762816881769015
0.13575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005150626499600107,0.01025608079370746,0.01179757503718273,0.012312409671355464,0.012242130470176322,0.011703963364777078,0.011196744530111529
