pop,M_loan_ep100,M_loan_ep500,M_loan_ep1000,M_loan_ep1500,M_loan_ep2000,M_loan_ep2500,M_loan_ep3000,F_loan_ep100,F_loan_ep500,F_loan_ep1000,F_loan_ep1500,F_loan_ep2000,F_loan_ep2500,F_loan_ep3000
0.6180833333333333,0.0,0.2515469563134146,0.298432560676459,0.31420120558058295,0.3221594344892925,0.32697813441893425,0.3300722797791881,0.24137618138937741,0.28855613054992774,0.29946284784837957,0.3058292165783273,0.31007964466982707,0.3134575632063307,0.3162822771234504
0.6230833333333333,0.0,0.2592103662320285,0.30660973926441654,0.32249175050883305,0.3304965919982122,0.3353414929411146,0.3384544867392159,0.24798843520207092,0.2961200532518091,0.30734813421327756,0.3138107401659476,0.31813459512869385,0.32154972632286144,0.32439887511911286
0.6281666666666667,0.0,0.26705898161391844,0.3149531361149181,0.3309441697016034,0.3389869360414488,0.34385539894779016,0.3469839470693262,0.2547108932449759,0.30384137514895854,0.31540240868346536,0.32196456764267695,0.3263379016927111,0.32979128412226527,0.3326708858394776
0.6331666666666667,0.0,0.27480858435829997,0.3231840049541734,0.339269379462744,0.3473507763704561,0.35224200658880517,0.35538453465592357,0.2613231470576694,0.3114622597648954,0.32334791861298245,0.3300209104607047,0.3344328366883637,0.3379274891841252,0.3408315697927325
0.6381666666666667,0.0,0.28261972672237934,0.3314300483304691,0.34760952293921094,0.3557298250112163,0.36063827606470467,0.36379238511825773,0.2679354008703629,0.31912736166766437,0.3313301925397617,0.3380984340413423,0.3425620912038708,0.34608915531672413,0.34900650873873446
0.6431666666666667,9.030160736861116e-06,0.29048367811300374,0.33971115548248043,0.3559740025023785,0.3641216610426886,0.369047624211404,0.3722107978065108,0.27454765468305636,0.3268629302326866,0.3393214947196855,0.346190787968298,0.35070481519918667,0.3542647508938693,0.3572039491844635
0.64825,0.0003617002088128599,0.29852526678453806,0.348148849863698,0.36448563569641024,0.3726663000604506,0.37760566034645204,0.3807786867735184,0.2812701127259614,0.3347521886065257,0.347495362523097,0.35444464803711473,0.35900069360459824,0.36259118573298804,0.3655651779621001
0.65325,0.0007171897474395541,0.3064791508305384,0.3564698172600567,0.372879308437582,0.38108406064607303,0.3860353498412624,0.389215654629618,0.28788236653865495,0.34257230099685493,0.3555628421617398,0.3625987654103443,0.367190800251571,0.37081195904023023,0.37380364429861673
0.65825,0.0010726792860662482,0.31449923651521566,0.3648240578446913,0.3812854048788904,0.3895141147902923,0.39447336196819766,0.39766212391779954,0.29449462035134844,0.35040970084972173,0.36366568838545676,0.37078561060968546,0.37541515095294387,0.3790608114773327,0.382051117598825
0.6633333333333333,0.001575652051041367,0.3227091779800535,0.373331313804371,0.38984743333896005,0.398095770156239,0.40306447044315946,0.40625890140507837,0.3012893757490208,0.3583955359859712,0.3719300565297626,0.37911897331306355,0.38378205916687913,0.3874499516287593,0.390475898873666
0.6683333333333333,0.0021198861239409227,0.3308055063824768,0.38172270442239,0.398287170507532,0.40654948392611534,0.41152383269302667,0.4147238991332368,0.3080292131289509,0.36629023495330115,0.38009712497982395,0.3873385924046878,0.3920373468831364,0.39572923151093753,0.3987745262021768
0.6733333333333333,0.0026641201968404787,0.3389704326310864,0.3901485184126239,0.4067393258964813,0.41501411549670164,0.4199947170213358,0.4231986533854677,0.3148975363103612,0.37426122515060306,0.38827847297337037,0.39558473644203007,0.4003290356298769,0.40403485181261056,0.4070843092795413
0.6784166666666667,0.0032174248376216933,0.34732845487429415,0.3987237870872461,0.41535115207936035,0.42363426760355233,0.42861810441013554,0.43182400781031605,0.3221228894966833,0.3823940402435612,0.39662277692595366,0.4040030364364123,0.40878149996483903,0.4124971835791187,0.41556962585647916
0.6834166666666667,0.003918372591292148,0.3555909619352057,0.40718401194417675,0.4238356946307579,0.43212337477738394,0.4371092704790951,0.44031548479885546,0.32966817604818005,0.3904402534092541,0.4048708271588981,0.4123043574640378,0.4171025529541528,0.42083388761300844,0.423931537254692
0.6884166666666667,0.00502155418802167,0.36390375791293506,0.41567850152923824,0.4323386427202978,0.4406261908993431,0.44561240243528316,0.44881737557906887,0.3374765809775023,0.3985129129517254,0.4131624201262717,0.42063504593104833,0.42545301246517003,0.42920925378400654,0.4323026542409938
0.6934166666666667,0.006462181922766791,0.37226750958819943,0.42418221905759773,0.4408550061778902,0.44914209156555673,0.4541241757762937,0.4573257218875497,0.34541128555273454,0.4066046497766573,0.4214726464099088,0.42897856546068863,0.4338338180674077,0.437592637720617,0.4406920110851254
0.6985,0.008180366026092133,0.38082497523244846,0.43285462158861304,0.4495315524990491,0.45780971708613194,0.46279042888331634,0.4659876727987474,0.3534782352042205,0.41488010099300865,0.42993519432036376,0.43748186334373446,0.442375720976826,0.4461343888653375,0.44925476802946934
0.7035,0.009870383176903946,0.38929693426483614,0.44141590347691667,0.4580817798775286,0.466352837562377,0.4713230036149579,0.4745145758752286,0.3614129397794527,0.4230733117147746,0.43829050360293725,0.4458891070154426,0.4507921222510739,0.4545631108060455,0.4576873833423264
0.7085,0.012000161170756512,0.39782238230023403,0.4499917105409678,0.46664697690483753,0.4749011290984958,0.47986588620097326,0.48305138970673306,0.3693476443546849,0.4313068720216943,0.4466824653429648,0.4543234162209585,0.4592322277512989,0.46302069674350016,0.4661309225691702
0.7135833333333333,0.014616066390130822,0.40653308476722766,0.4587323427036008,0.4753702176685238,0.48361014491782595,0.4885599907956017,0.491737799610876,0.37741459400617106,0.4397233740470754,0.45526372100254864,0.4629051043032998,0.46783988288150924,0.47162700485124864,0.47474411635035707
0.7185833333333334,0.017486019323899295,0.41515302773402407,0.46736224217223893,0.48396572766666557,0.4921835166296099,0.497122360417555,0.5002903848742628,0.38534929858140315,0.44804063725423393,0.4637119314640638,0.4713760910784018,0.47633148485965365,0.4801084646855397,0.4832402207445915
0.7235833333333334,0.020477919661202194,0.4238395106215453,0.47601323670015167,0.4925804810735716,0.5007726217202404,0.5056946603962176,0.5088536157869975,0.39328400315663536,0.45637976978633,0.4721820932576254,0.47987270337301274,0.4848391796774493,0.48862163410961024,0.4917451318333711
0.7285833333333334,0.023996505530852464,0.43256572254858466,0.484681027833693,0.5012095701142476,0.5093720294638999,0.5142779674899243,0.5174245359949746,0.4012187077318676,0.4647486247359969,0.48068773373170703,0.4884127539792901,0.4933702606021725,0.49716002882685384,0.5002699680857837
