agent,constraint,reward,group,episode,gini,n_seeds
pepg,social,rawlsian_maximin,Male,2500,0.11570700438334203,10
pepg,social,rawlsian_maximin,Male,3000,0.0992539518438944,10
pepg,social,rawlsian_maximin,Female,100,0.2114960181131995,10
pepg,social,rawlsian_maximin,Female,500,0.08273232720549961,10
pepg,social,rawlsian_maximin,Female,1000,0.04489599686676449,10
pepg,social,rawlsian_maximin,Female,1500,0.032905622830066816,10
pepg,social,rawlsian_maximin,Female,2000,0.02703310730713182,10
pepg,social,rawlsian_maximin,Female,2500,0.02340885047318686,10
pepg,social,rawlsian_maximin,Female,3000,0.020899686682369856,10
pepg,social,fairness_lagrangian,Male,100,0.7346968427874998,10
pepg,social,fairness_lagrangian,Male,500,0.26156101087838723,10
pepg,social,fairness_lagrangian,Male,1000,0.10861707157002787,10
pepg,social,fairness_lagrangian,Male,1500,0.08567079184060256,10
pepg,social,fairness_lagrangian,Male,2000,0.0807064949432672,10
pepg,social,fairness_lagrangian,Male,2500,0.08331858826797878,10
pepg,social,fairness_lagrangian,Male,3000,0.08282608617987497,10
pepg,social,fairness_lagrangian,Female,100,0.5759977251819928,10
pepg,social,fairness_lagrangian,Female,500,0.1986838714098117,10
pepg,social,fairness_lagrangian,Female,1000,0.09731509657248738,10
pepg,social,fairness_lagrangian,Female,1500,0.11314703915129898,10
pepg,social,fairness_lagrangian,Female,2000,0.10289501280705471,10
pepg,social,fairness_lagrangian,Female,2500,0.09571465155578807,10
pepg,social,fairness_lagrangian,Female,3000,0.09116553186990917,10
pepg,social,social_welfare,Male,100,0.4258507778282258,10
pepg,social,social_welfare,Male,500,0.468780966586936,10
pepg,social,social_welfare,Male,1000,0.4744473132803245,10
pepg,social,social_welfare,Male,1500,0.4743264628344548,10
pepg,social,social_welfare,Male,2000,0.4731933391005033,10
pepg,social,social_welfare,Male,2500,0.4720035229202677,10
pepg,social,social_welfare,Male,3000,0.4709574707395088,10
pepg,social,social_welfare,Female,100,0.23579973464438853,10
