episode,RL_mean,RL_std,PERL_mean,PERL_std,Oracle_mean,Oracle_std,Pattern Prediction_mean,Pattern Prediction_std
1,0.0024477059246189,0.0001261712708642,0.0003058635948476,0.0008033588689583,0.0013398462220541,6.711015396905838e-05,0.0002930879901164,4.0922640709096914e-05
2,0.002467844859104,0.000104654169892,0.0003049023823332,0.0008070288074338,0.0013461527154668,6.29761879499025e-05,0.000311667120591,2.8052713159299025e-05
3,0.002484968185195,9.254671203891808e-05,0.0003142391001755,0.0008250239916813,0.0013647817246625,3.290515564923656e-05,0.0003101858566574,2.4007237804349663e-05
4,0.0024879560444041,9.873908361936926e-05,0.0003116074100276,0.0008107178589148,0.001363806437651,3.30229158254554e-05,0.0003106375389027,1.5064016221277809e-05
5,0.0024947092830967,9.698017360574e-05,0.0003095614090084,0.0007959300048428,0.0013685526632808,1.970482773506186e-05,0.0003107172290038,1.602972945641626e-05
6,0.002501870661737,9.615734182216348e-05,0.0003085914299344,0.0007882140662516,0.0013750538697935,1.1795603913253449e-05,0.000310431875301,1.4487010634132222e-05
7,0.0024963009109081,9.647712979589366e-05,0.0003140004237831,0.0008006191507238,0.0013716150027489,1.7741878870308844e-05,0.0003105227475052,1.3492448619796892e-05
8,0.0025026082064176,8.754136810645037e-05,0.0003145281266876,0.0007982773506905,0.0013706411859957,2.3327109017406554e-05,0.0003111819326171,1.0875325293265526e-05
9,0.0025042530780368,9.067316490149235e-05,0.0003173463747217,0.0008008225647326,0.001366136151146,2.2070189817468235e-05,0.0003106262059525,1.078700361336052e-05
10,0.0025079571693241,8.956692761359064e-05,0.0003204175372704,0.0008011533570242,0.0013660058106662,2.4175117774068057e-05,0.0003095647274287,1.1019820209966485e-05
11,0.0025119820084398,9.262975407031088e-05,0.0003221938936061,0.0007993511345252,0.0013620501305096,2.298148412716132e-05,0.0003094350553478,1.217823313332882e-05
12,0.0025159677299168,9.534023108952933e-05,0.0003248716976233,0.0007966409562314,0.0013625760992515,1.9316318398336145e-05,0.0003088839688005,1.155676954975984e-05
13,0.0025204793057331,9.347105374460142e-05,0.0003286258867614,0.0007963106736201,0.0013617505116989,2.0179488544794044e-05,0.0003083314424278,1.0405656134220613e-05
14,0.0025310438213053,9.688978223905332e-05,0.0003318314551543,0.000793443032055,0.0013623756416485,2.124109977914717e-05,0.0003078967843828,1.0299246125076057e-05
