episode,RL_mean,PERL_mean,Oracle_mean,Pattern Prediction_mean
1,0.17901929473532413,1.8382117316880018,1.8905099076698122,5.128771837210795
2,0.17980535289453017,1.9125005342736956,1.9008716429191113,4.86372152860594
3,0.18340082451505732,1.8992027111335126,1.892328015135866,4.97584770931272
4,0.1850547602206116,1.925069950006021,1.8899149091750527,4.9516410339452355
5,0.18750620589172587,1.959019917461686,1.8852095254461398,4.981385840918899
6,0.18982962275930856,1.969417561375566,1.8835181332906976,4.97833532783051
7,0.1936979606552121,1.9619614024424636,1.890510563196222,5.003315488317025
8,0.19545464195384737,1.9703379687678413,1.8957395551224159,5.021624599076531
9,0.19710386896621732,1.9546154637041644,1.9034040171899305,5.0381903804967045
10,0.19834900209208867,1.9465875521052756,1.9098130194719187,5.06471660203653
11,0.19853899685915308,1.952407447520884,1.9138662800659518,5.076308647336306
12,0.19944671828239988,1.9532318525782586,1.9135763151957925,5.079686200777664
13,0.20069520645069114,1.9499816321797359,1.9173703025516378,5.105078670079513
14,0.20135363392838765,1.9538845091636183,1.9193799349503387,5.124000030912748
15,0.20192955730097012,1.953219002838256,1.9177293673994305,5.129674690773416
16,0.20187398899709613,1.9489023983177376,1.9190994047575083,5.139064248747452
17,0.2008882706348924,1.9520748967723984,1.9190926946637332,5.176248893677194
18,0.2009888082379408,1.9425326754299135,1.923222850924946,5.169595873184988
19,0.20096554335679429,1.9448367535187823,1.929523710299786,5.203569127577161
20,0.20136427383066008,1.9515225766139996,1.9367689749129264,5.230490225139847
21,0.20149275952659337,1.9483314350336742,1.9394648961722847,5.23117750721195
22,0.2010645598378417,1.9445788280280252,1.9439307245372468,5.258867440778106
23,0.20121308489284553,1.9384109278714867,1.944906092477802,5.277143060090002
24,0.20075945835851042,1.9400084870470773,1.9431105450035155,5.293160360115246
25,0.2005750881796578,1.9392463209202822,1.9466633630208419,5.31058575057942
26,0.20056452205527864,1.928659200155231,1.9513872627441844,5.3347021264202725
27,0.20081863344738152,1.9197214041436363,1.955143771946196,5.352513288018727
28,0.20137895841819042,1.9146913173725868,1.9598271212189906,5.375728513025974
29,0.20169482275521836,1.9011198364833493,1.9651981791287738,5.402097417430886
30,0.20273149380404312,1.8835937259660458,1.9717377227961876,5.42432643483164
31,0.2029224874920483,1.868154969799239,1.9740076904599702,5.446293040323417
32,0.20312315564829345,1.8484372302542995,1.9768474084092253,5.465313867163796
33,0.20344883666990532,1.8348852522537253,1.9819138227955115,5.483316810835569
34,0.2039924354636624,1.8144070266362267,1.9863777428796254,5.512289259635599
35,0.20435694968197649,1.7953950907574077,1.989109324954985,5.521546288956263
36,0.2046720107048316,1.7768619319707235,1.9919531092689586,5.533983987912759
37,0.20498460690055584,1.7600359415884408,1.9957330860472888,5.564895376684306
38,0.20523954891377538,1.7397613257755695,2.0013023214574615,5.577359256370295
39,0.20555888090866528,1.7224672114527861,2.005979903086721,5.581959572185041
40,0.20543953772998175,1.7038685783876495,2.011040343524034,5.602145863025011
41,0.20529226155172625,1.6866836653916122,2.014096015180402,5.6157062318521405
42,0.205405521420315,1.6691574710793355,2.017992331821546,5.635912790458815
43,0.20546630120999176,1.6493546734816367,2.023450397440551,5.646055452680731
44,0.20524328147487403,1.6344753277257202,2.0266593432077014,5.661205335045571
45,0.20465660013844744,1.6146210834701296,2.030423217297073,5.680403810192158
46,0.20406107752161426,1.5982292169164753,2.033724203301404,5.696999067126107
47,0.20337137803519206,1.583007068805078,2.037834316417774,5.7050725352961145
48,0.2027673403292501,1.5686746600395067,2.0405875604943526,5.709804331198934
49,0.2018032930433378,1.5552502092857259,2.044034290363744,5.728178405736568
50,0.20070226730211496,1.5376319936737093,2.047248538648456,5.749140950561754
51,0.19965762702306475,1.5210896133221896,2.0517665483195904,5.763388096402432
52,0.19802280986894696,1.506303392518285,2.0546723518859737,5.772045885845975
53,0.1967180307129825,1.4902514923735999,2.059613631443686,5.7930019793101035
54,0.1951122108829706,1.475701351486615,2.0631295420801505,5.799165534742256
55,0.19356598202499742,1.4604172299991662,2.0663092460236325,5.8176849665139
56,0.1918904078117856,1.4455945937805699,2.071233624909217,5.8376417513170615
57,0.19015109976016642,1.4306147653924428,2.075290900306976,5.855658956352097
58,0.18845527748532812,1.415296925771216,2.078194789291824,5.877592445915725
59,0.1868874956087943,1.3992654423211761,2.0820282655363163,5.89422411487323
60,0.18532753577242062,1.3849634965166497,2.0867547047867885,5.91041933816079
61,0.18384540805984817,1.3695431469796226,2.0903270524952173,5.932026125168831
62,0.1823319251708436,1.3554136489560205,2.094131397301688,5.948908578409347
63,0.18072270897290799,1.3425597204735396,2.0984562952457413,5.9677764278752905
64,0.17918895087354278,1.3263438513436947,2.1018452364207696,5.983544509825966
65,0.1777533849544337,1.312768251515616,2.106864082568117,5.999968246618427
66,0.1762058244644809,1.2973414331933444,2.1114440781469996,6.020980135043955
67,0.1747704129999505,1.2827690729512304,2.1150358431029606,6.039136212366185
68,0.17323336823316035,1.2669148662932,2.1191490824836556,6.062414977988961
69,0.17170815813546578,1.2506958251450757,2.1241994961126585,6.083845230558095
70,0.17021277893695894,1.2338758474955078,2.1270661811642633,6.107553552367496
71,0.1688256879576233,1.2188389179224632,2.1312652959663336,6.130947520322413
72,0.1674117769094688,1.2037180720088956,2.13488629567759,6.1480777500280475
73,0.16596575965753513,1.1904925850726464,2.1391722823635786,6.163779541175552
74,0.16474213855466366,1.176632933943172,2.1422204271109626,6.188637931246825
75,0.1635348121425444,1.1625982896470126,2.146702098772459,6.211114926216231
76,0.16216731237713639,1.1481318334374173,2.15115441674739,6.2369219706691
77,0.16089706430345413,1.1340522237769939,2.154776341541972,6.259564038597141
78,0.15957301097173465,1.1202425480205465,2.159285773796786,6.277834673669028
79,0.1583862835279592,1.1070976432894526,2.1626454084711453,6.298386665314706
80,0.15712610357207762,1.094253050669268,2.166991890075528,6.315168758222727
81,0.15585304571145508,1.0812087657008171,2.171502564295573,6.3400751726964835
82,0.1546575901626168,1.0681407661210738,2.175594030668604,6.354220964514582
83,0.15340940407947387,1.055532783833904,2.18015448049377,6.382187657521465
84,0.1522640949966548,1.0430807468124037,2.184144106026277,6.405810509853956
85,0.15122600105399706,1.0314677254060383,2.1897543470173306,6.42765476102963
86,0.15014128853719205,1.0190736605996842,2.1933704758579595,6.450070982578027
87,0.14905707319053138,1.007305593893992,2.196998672460737,6.473920553730019
88,0.14800472655867558,0.9964224288344176,2.201641014639524,6.499771324499235
89,0.14687151580842595,0.9856518189897473,2.2061650556789796,6.522818002722098
90,0.1458616522612239,0.9738613709650615,2.2100622414972912,6.537158679363262
91,0.14486407883876723,0.9623884182435483,2.214692242477098,6.558362842983507
92,0.14380992152743668,0.9513901185070059,2.2194480872822533,6.577065492316486
93,0.14279298697756038,0.9402942131965678,2.2239770532182623,6.599534207234373
94,0.14175489185728996,0.9295796104174814,2.2287184862568323,6.625292920490761
95,0.1406635093274972,0.9197971326667271,2.2325486981151075,6.647704411209466
96,0.13965301103068004,0.910064002841579,2.237062888776315,6.67490993288743
97,0.13876398179862587,0.900396315706222,2.2413807741121246,6.698567145696287
98,0.13777318329643015,0.8911111526585389,2.2473480192563584,6.7246095499786
99,0.13680675138947254,0.8819983340629955,2.2513760528277826,6.748683922215536
100,0.1359907427633094,0.8728267208739838,2.255224460656225,6.775073291189123
101,0.13515961923485384,0.8640219654133123,2.259857864598813,6.799040415118433
102,0.13439881867062262,0.855177893373883,2.2646587309430495,6.825038336376813
103,0.1336783133519329,0.8467238022158105,2.268979071712321,6.8481093638042765
104,0.13295819183812244,0.8388197486491864,2.272941235933045,6.869426731435577
105,0.13227300536419007,0.8305863168367225,2.2771483630707254,6.900266560942062
106,0.13162072220155063,0.8228669493120873,2.282373958504191,6.92473398941496
107,0.1309802673406301,0.8153367260273418,2.28724322430316,6.949798879058908
108,0.1303554158700994,0.8083209614375009,2.291705155947116,6.978047659116929
109,0.12967494460367318,0.8012561099413509,2.296699021990874,7.010908847490845
110,0.12903910810649452,0.7944775941937954,2.300808299305471,7.036350937196318
111,0.12840826724985954,0.7880386333978253,2.3052923214520553,7.059042846521298
112,0.1278632584595563,0.7821441612904685,2.3093185647522025,7.0838376001543075
113,0.1272603245355891,0.77627940654104,2.3139939424635556,7.114448959088207
114,0.12662884936329924,0.7706919896942312,2.318035668802911,7.141889146341565
115,0.12606149321640386,0.765097504415643,2.3223631989048035,7.166821830049832
116,0.12547040343753554,0.759668571666369,2.327645919570146,7.188829219139686
117,0.12495156525741925,0.7541140655081837,2.3326120030405253,7.21016572468416
118,0.12440662782338435,0.7486202035079815,2.33719006614101,7.234452745095339
119,0.12384370024652631,0.7429618195038449,2.341899693409846,7.261372947994829
120,0.12329975438492954,0.737808208248108,2.3471921335779635,7.286796944539382
121,0.12275116469605424,0.7323447503512084,2.351624674442376,7.315978907388145
122,0.1222449561990347,0.7271970404922211,2.3564058216173884,7.343297689515995
123,0.12166658143769139,0.7219212420191095,2.361280402941352,7.372425102317604
124,0.12112248656587696,0.7162991950791537,2.366232167944181,7.401400427478781
125,0.12061627159685101,0.7115343333671182,2.3704647882289236,7.431553012102857
126,0.12006726773252022,0.7062544938413821,2.3746471192169625,7.464559240710711
127,0.1196096909622448,0.7012426436061877,2.379102821367942,7.492194723429419
128,0.11914567365509798,0.6962506700104617,2.3839377061788705,7.517654884880755
129,0.1187350622478052,0.6908194906093288,2.38789758397713,7.548096941838401
130,0.11829427619025533,0.6853776683934836,2.3916018546978974,7.577207369462126
131,0.11784782905659488,0.6802842021119457,2.396661474912973,7.608774361929002
132,0.11738536298320673,0.6752761172506331,2.4009749922180323,7.635361776229156
133,0.11694307920296372,0.670171027497847,2.4055660314763956,7.661439486731012
134,0.11653576824854187,0.6652515105608303,2.410454221024332,7.689756396999352
135,0.11611318500868782,0.6601673562870785,2.415705919893524,7.723105029510537
136,0.11566856388223175,0.6551925221482234,2.419879830837902,7.750988177727475
137,0.11520399217229715,0.6505804449263476,2.4246805786057597,7.784896500609373
138,0.11474387268432792,0.6457872387469676,2.4296400141968904,7.815230708126241
139,0.11425185841241352,0.6411233379755271,2.4346892532715434,7.846410264336808
140,0.11380002918850263,0.6365949384285079,2.4399294471838853,7.873227075400472
