episode,RL_mean,RL_std,PERL_mean,PERL_std,Oracle_mean,Oracle_std,Pattern Prediction_mean,Pattern Prediction_std
1,-0.847952582434202,0.05024153996473084,0.011841016098983595,0.4235315391785552,0.017869603056831163,0.024444041607179494,0.2143219312459874,0.02139711277801675
2,-0.8449950250429564,0.05704861575324048,0.013131945724879496,0.4221128399740759,0.023377340177498596,0.01965480930969325,0.21403055930637588,0.015155550042169718
3,-0.8421017891635106,0.059715086094508305,0.013869015734875118,0.4204294134950959,0.021826817434282386,0.01254940775670439,0.2145966331353752,0.010480874376222953
4,-0.8404358331692385,0.06400806170979598,0.015315984641076613,0.4184379276507233,0.022084149844695533,0.012854917654038208,0.215812544764322,0.007417154624584001
5,-0.8382804011196954,0.06914510463656266,0.015292483808377999,0.41655918958059757,0.021373454335572584,0.00929602544010534,0.2159099228902418,0.007595831242823452
6,-0.8361569377355698,0.07440519702910149,0.014978354733726301,0.41413516415258067,0.023317001404872695,0.008884981294089201,0.21664910536272786,0.007120316076636397
7,-0.8345851224941417,0.07752195406364838,0.01623334772825452,0.41138280905641506,0.023576541720009003,0.009395913954238702,0.21674960800084142,0.006423480564523825
8,-0.8329141083176329,0.07939232791387413,0.016780502547810217,0.4084635952084888,0.022820255487387975,0.009495387196084011,0.2172264463021727,0.004792089373226037
9,-0.8316583170207204,0.08072100980167815,0.017636195953030787,0.40596607323432904,0.02329704875322225,0.009421814359990774,0.21725741498341716,0.005077446039276218
10,-0.8313142948907335,0.08144931650834332,0.017754593577197886,0.4035535883265428,0.02360907444004401,0.008562635603389926,0.21787041489222464,0.004589178718625636
11,-0.8306412391898714,0.08204824459339952,0.018060442165651003,0.400635670032102,0.02354427869012854,0.007764291620208206,0.21761662222742578,0.004510477141697574
12,-0.8291362321614859,0.08280307004049597,0.017844859041722283,0.39765627052276414,0.022895988368134446,0.006527708191586895,0.21706797069228462,0.004669798692512029
13,-0.8276663177412931,0.08433413335632804,0.01808647911512451,0.3947563945206957,0.022373165755781743,0.006286643151312843,0.2179575593376213,0.0041019105345012396
14,-0.8265506385726028,0.08579293528659314,0.018550675615705003,0.391378832345756,0.022892217239319113,0.005247033935591943,0.21838198705246828,0.0038740074589257755
15,-0.8253307496855543,0.08697956940915305,0.018593727447929587,0.388057496640466,0.022488267523878225,0.005038075451322071,0.21881081740387162,0.004123182597051718
16,-0.8243236198017073,0.08830284110427308,0.018557932048362008,0.3846054655374359,0.021950658286102986,0.0052431860290107855,0.21925229422620363,0.0036772350906840697
17,-0.8235314729839931,0.08950177640211354,0.018984938830340997,0.38131958544942873,0.021501348587250058,0.004894047914361898,0.2198339235199268,0.003614083463604593
18,-0.8223838475102435,0.09116942787225907,0.018915754793368406,0.37778092069880304,0.021561631193424913,0.00500554289519592,0.21985096427642561,0.0037999198881853847
19,-0.8214433452448056,0.09303246180188228,0.019358611268977893,0.37420323880876405,0.021707644243008972,0.005146749597004683,0.2205417872740748,0.0036290709592140245
20,-0.8206306799832639,0.0951598477995748,0.01928212044895508,0.3706310337868879,0.02207106283087279,0.005272968331758063,0.2209260198993072,0.0034463000074760647
21,-0.8194817770838666,0.09751521753658043,0.018934480072256593,0.36707090750265836,0.022350189138287124,0.004508100163225033,0.2211597076867548,0.0036012483281927733
22,-0.8185703393677093,0.10037539508462714,0.018721596527886603,0.36366145329727795,0.022533408853255277,0.004802783169828601,0.2218766570692477,0.003544378166317157
23,-0.8172153817685676,0.10345743106495685,0.01859388445005561,0.3599332433777352,0.02249627166569179,0.004827355674679323,0.22231730204915917,0.0033450153752890904
24,-0.8159900157542734,0.10671460900771111,0.0186134323759847,0.356695856775643,0.022255984797436956,0.004712877357761475,0.2231442790436188,0.003466076740068921
25,-0.8147656630011985,0.1095750607303683,0.018358548427262006,0.3533081594630202,0.02215426446618851,0.00471209312128357,0.22345162935502266,0.003625945060953731
26,-0.8135984871818287,0.11283972019945275,0.017862060607581,0.34994837104232435,0.02248534606351993,0.004537650124904883,0.2241546446584839,0.0036012413061946376
27,-0.8124698835423371,0.1161768581290166,0.016920499584831883,0.34692315801276685,0.02276208452356454,0.004444841798840643,0.22454231382696951,0.003485034560965524
28,-0.8108692139655911,0.11987805639061756,0.015988854112621298,0.3439639568271582,0.022947431870180335,0.0045824563405445435,0.22533546602256999,0.0033018719564127876
