episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
11,995.0,1094.5,199,67.55124741872261,68.23173234440856,53.90653208603518,54.45335770329063,0.6804849256859455,0.5468256172554504,1.2444276643463394,0.0067757666388414154,0.005630706284829609,0.006203236461835512,13.778374641117928,400,321,656,527,66,48,-805.1362461127525,0.6097560975609756,0.6091081593927894,0.835,0.8504672897196262,4423,3547,7132,5674,720,517,-7589.655529065459,0.6201626472237801,0.62513218188227,0.8372145602532218,0.8542430222723428,400,321,135,51,901,3522,2123,586,383,3164,1905,222,0.42400448681996633,0.4032428621783574,0.20370789057200994,0.10797857344234564,0.6059179556153329,0.6330578512396694,26,19,0.0006479381681862018,1.2033599864899467
12,1094.5,1194.0,199,68.23173234440856,68.89519152774778,54.45335770329063,54.9384871927837,0.6634591833392278,0.4851294894930689,1.3675919475282832,0.006766780376508507,0.005567786866196881,0.006167283621352694,13.956704334964087,409,308,672,511,68,56,-1200.2292723218807,0.6086309523809523,0.6027397260273972,0.8337408312958435,0.8181818181818181,4832,3855,7804,6185,788,573,-8796.032865411535,0.6191696565863659,0.6232821341956346,0.8369205298013245,0.8513618677042801,409,308,140,61,984,3848,2329,643,422,3433,2086,244,0.42452588416196824,0.4054971705739693,0.20364238410596028,0.10946822308690013,0.6047940995697603,0.6336336336336337,24,16,0.005891226353555101,1.2153447211837345
13,1194.0,1293.5,199,68.89519152774778,69.65855210712938,54.9384871927837,55.61807391095128,0.7633605793815974,0.6795867181675845,1.123271775292928,0.00683641001077136,0.005664881512490653,0.0062506457616310065,14.0404781961781,452,380,719,603,71,45,-390.0763077914222,0.6286509040333796,0.6301824212271974,0.8429203539823009,0.881578947368421,5284,4235,8523,6788,859,618,-9186.109173202964,0.6199694943095154,0.6238951090159104,0.8374337623012869,0.854073199527745,452,380,140,53,1074,4210,2546,693,456,3779,2290,263,0.42473307520826,0.40453741897466117,0.2032551097653293,0.1076741440377804,0.6078098471986417,0.6342141863699583,32,20,-0.0015315171938177219,1.2068054725765351
14,1293.5,1393.0,199,69.65855210712938,70.3484721380525,55.61807391095128,56.17486807668727,0.689920030923119,0.5567941657359867,1.2390934987818392,0.006843371414110462,0.005659955780432625,0.006251663597271544,14.173604061365232,410,316,689,533,62,37,-258.05787269313976,0.5950653120464441,0.5928705440900562,0.848780487804878,0.8829113924050633,5694,4551,9212,7321,921,655,-9427.0517584515,0.6181068171949631,0.6216363884715203,0.8382507903055848,0.8560755877829048,410,316,134,51,1154,4540,2771,747,485,4066,2485,285,0.4260746851932262,0.40568228384100535,0.20266947664207938,0.1065699846187651,0.6070489216201999,0.6298701298701299,31,25,0.002194767956387844,1.2090856677306727
15,1393.0,1492.5,199,70.3484721380525,71.068521034403,56.17486807668727,56.748367050606475,0.7200488963505052,0.5734989739192073,1.255536503282294,0.0068695914748451445,0.00566687931394429,0.006268235394394717,14.32015398379653,436,334,703,564,79,56,-1365.4632118840075,0.620199146514936,0.5921985815602837,0.8188073394495413,0.8323353293413174,6130,4885,9915,7885,1000,711,-10770.422191811866,0.6182551689359557,0.6195307545973368,0.836867862969005,0.8544524053224156,436,334,146,64,1240,4890,2978,807,523,4362,2689,311,0.4254160363086233,0.40735573874445147,0.20228384991843393,0.10706243602865916,0.6057645334636053,0.6270983213429256,25,22,0.028000564954652307,1.2122353581699512
16,1492.5,1592.0,199,71.068521034403,71.72172324736977,56.748367050606475,57.23152350193018,0.653202212966761,0.4831564513237012,1.3519476169203293,0.00685054490525951,0.005616189590066304,0.006233367247662907,14.49019974543959,400,297,676,534,71,52,-983.4292050924823,0.591715976331361,0.5561797752808989,0.8225,0.8249158249158249,6530,5182,10591,8419,1071,763,-11775.117429822858,0.6165612312340667,0.615512531179475,0.8359877488514549,0.8527595522964107,400,297,137,52,1324,5206,3201,860,551,4631,2902,335,0.42724955150599564,0.41014372253236725,0.20275650842266463,0.10632960247008877,0.6062271062271062,0.6218961625282167,29,23,0.03553620105046207,1.2197851933945545
17,1592.0,1691.5,199,71.72172324736977,72.42360165704342,57.23152350193018,57.79533319202913,0.7018784096736539,0.5638096900989567,1.2448853256680712,0.006862516050160682,0.005619144852193031,0.0062408304511768565,14.628268465014287,428,330,726,558,74,50,-858.9167785577739,0.5895316804407713,0.5913978494623656,0.8271028037383178,0.8484848484848485,6958,5512,11317,8977,1145,813,-12610.949728483612,0.614827251038261,0.6140135902862872,0.8354412187410175,0.8525036284470247,428,330,147,68,1420,5538,3448,911,585,4927,3096,369,0.4301493328620659,0.4100479001893728,0.20408163265306123,0.10613207547169812,0.6091806091806092,0.6132075471698113,33,16,-0.0018661690215943105,1.2212740960899753
18,1691.5,1791.0,199,72.42360165704342,73.1113780827176,57.79533319202913,58.372053329490356,0.6877764256741727,0.5767201374612227,1.1925653033407684,0.006865283263272455,0.005628980265184665,0.00624713176422856,14.739324753227237,411,315,709,537,68,29,-273.54621210514637,0.5796897038081805,0.5865921787709497,0.8345498783454988,0.9079365079365079,7369,5827,12026,9514,1213,842,-12892.161500428745,0.6127556959920173,0.6124658398150095,0.8353915049531823,0.8555002574223443,411,315,126,65,1496,5873,3696,961,623,5204,3291,396,0.4317312489605854,0.41139373554761405,0.20301262043696566,0.1069160803157714,0.6088726088726089,0.6113837095191365,36,15,-0.0069024749627691895,1.2196317876142406
19,1791.0,1890.5,199,73.1113780827176,73.85155551486051,58.372053329490356,58.95003662415263,0.7401774321429144,0.5779832946622747,1.2806208050968193,0.006895477258219455,0.005638448531927008,0.006266962895073232,14.901518890707877,416,334,715,558,48,43,171.9681294629523,0.5818181818181818,0.5985663082437276,0.8846153846153846,0.8712574850299402,7785,6161,12741,10072,1261,885,-12725.472574390114,0.6110195432069696,0.6116957903097696,0.8380218368657675,0.8563544879078071,416,334,155,56,1588,6197,3932,1024,658,5503,3494,417,0.4332469978808571,0.41223193010325654,0.20398201669877972,0.10680084401882811,0.6079632465543645,0.6120930232558139,26,18,-0.016748126425545795,1.2229387604009647
20,1890.5,1990.0,199,73.85155551486051,74.5714143898128,58.95003662415263,59.582159703194726,0.7198588749522941,0.6321230790420955,1.138795432122414,0.006912441523425213,0.005674175893794022,0.006293308708609618,14.989254686618075,422,359,720,593,61,51,-338.41456173662726,0.5861111111111111,0.6053962900505903,0.8554502369668247,0.8579387186629527,8207,6520,13461,10665,1322,936,-13075.218664070406,0.6096872446326425,0.6113455227379277,0.8389179968319727,0.856441717791411,422,359,147,62,1677,6530,4172,1082,694,5826,3702,443,0.4345145234380804,0.4121894045944679,0.20433776044839772,0.10644171779141104,0.6078289235230155,0.6103781882145998,30,26,-0.01928517893947912,1.2182282771645325
