episode,time_start,time_end,timesteps_in_episode,mu_M_start,mu_M_end,mu_F_start,mu_F_end,delta_mu_M,delta_mu_F,rho_episode,R_M,R_F,R_total,wealth_gap,loans_M_episode,loans_F_episode,applications_M_episode,applications_F_episode,defaults_M_episode,defaults_F_episode,profit_episode,approval_rate_M_episode,approval_rate_F_episode,success_prob_M_episode,success_prob_F_episode,total_loans_M,total_loans_F,total_applications_M,total_applications_F,total_defaults_M,total_defaults_F,cumulative_profit,approval_rate_M_cumulative,approval_rate_F_cumulative,success_prob_M_cumulative,success_prob_F_cumulative,actual_approvals_M_episode,actual_approvals_F_episode,true_approvals_M_episode,true_approvals_F_episode,true_positive_M,false_positive_M,true_negative_M,false_negative_M,true_positive_F,false_positive_F,true_negative_F,false_negative_F,accuracy_M,accuracy_F,precision_M,precision_F,recall_M,recall_F,hawkes_events_M,hawkes_events_F,approval_disparity,rho_cumulative
11,995.0,1094.5,199,72.28081971857318,73.48491176150841,57.396476527052464,58.32499266949741,1.2040920429352298,0.9285161424449484,1.2967917173358354,0.011575382369403186,0.009168061210555313,0.010371721789979249,15.159919092011002,709,550,722,557,107,80,-997.3492614190632,0.981994459833795,0.9874326750448833,0.849083215796897,0.8545454545454545,7567,5862,7697,5957,1193,853,-10678.97797685776,0.9831103027153436,0.9840523753567232,0.8423417470596009,0.8544865233708632,709,550,158,54,1661,5906,99,31,638,5224,82,13,0.2286605170845784,0.12086620782272957,0.21950574864543412,0.10883657454793585,0.9816784869976359,0.9800307219662059,49,31,-0.0054382152110883375,1.262576907326523
12,1094.5,1194.0,199,73.48491176150841,74.68361269245662,58.32499266949741,59.30805596797351,1.1987009309482062,0.9830632984760967,1.2193527444330206,0.011614704300050245,0.009227392205551832,0.01042104825280104,15.375556724483111,706,566,714,579,112,71,-499.21406787825504,0.988795518207283,0.9775474956822107,0.8413597733711048,0.8745583038869258,8273,6428,8411,6536,1305,924,-11207.676934080899,0.9835929140411366,0.9834761321909424,0.842257947540191,0.8562538892345987,706,566,155,70,1814,6459,105,33,705,5723,92,16,0.22815360836999168,0.12194002447980416,0.21926749667593376,0.1096764156813939,0.9821331889550623,0.9778085991678225,51,33,0.011248022525072288,1.2587201282136944
13,1194.0,1293.5,199,74.68361269245662,76.01230141077643,59.30805596797351,60.40862033878371,1.3286887183198104,1.1005643708102042,1.207279422776214,0.011748469773931043,0.009368434993613523,0.010558452383772284,15.603681071992717,784,628,796,634,124,100,-1339.2728226121224,0.9849246231155779,0.9905362776025236,0.8418367346938775,0.8407643312101911,9057,7056,9207,7170,1429,1024,-12569.717853841299,0.9837080482241772,0.9841004184100418,0.8422214861433146,0.854875283446712,784,628,165,58,1977,7080,115,35,762,6294,97,17,0.22721842076680787,0.1198047419804742,0.2182842000662471,0.10799319727891156,0.9826043737574552,0.9781771501925546,59,44,-0.005611654486945672,1.2540482782812703
14,1293.5,1393.0,199,76.01230141077643,77.3153273429683,60.40862033878371,61.40890554304016,1.303025932191872,1.0002852042564498,1.3026544096095682,0.01184470321950587,0.00941734089626385,0.01063102205788486,15.90642179992814,777,595,783,605,133,93,-1741.6008920273582,0.9923371647509579,0.9834710743801653,0.8288288288288288,0.8436974789915966,9834,7651,9990,7775,1562,1117,-14300.323977094491,0.9843843843843844,0.9840514469453376,0.8411633109619687,0.8540060122859757,777,595,163,63,2138,7696,119,37,823,6828,105,19,0.22592592592592592,0.11935691318327975,0.21740898922106977,0.10756763821722651,0.9829885057471265,0.9774346793349169,48,58,0.008866090370792556,1.2577545349563624
15,1393.0,1492.5,199,77.3153273429683,78.56778868526125,61.40890554304016,62.54518108266269,1.2524613422929463,1.136275539622524,1.102251433405862,0.011894226416793717,0.009550841814484465,0.010722534115639091,16.022607602598562,771,629,776,640,141,77,-1305.3402255720853,0.9935567010309279,0.9828125,0.8171206225680934,0.8775834658187599,10605,8280,10766,8415,1703,1194,-15602.603344137542,0.9850455136540962,0.983957219251337,0.8394153701084395,0.8557971014492753,771,629,158,68,2295,8310,123,38,890,7390,115,20,0.22459595021363551,0.11942959001782531,0.2164073550212164,0.10748792270531402,0.9837119588512645,0.978021978021978,51,43,0.01074420103092788,1.2453589586998872
16,1492.5,1592.0,199,78.56778868526125,79.78159643506325,62.54518108266269,63.596634125499094,1.213807749802001,1.0514530428364068,1.154409850322583,0.011913279319639838,0.009614374655122156,0.010763826987380997,16.184962309564156,748,619,762,628,142,91,-2050.0665764162245,0.9816272965879265,0.9856687898089171,0.8101604278074866,0.8529886914378029,11353,8899,11528,9043,1845,1285,-17621.370073728845,0.9848195697432338,0.9840760809465885,0.8374878886637893,0.8556017530059558,748,619,171,68,2462,8891,133,42,957,7942,123,21,0.22510409437890355,0.11942939290058609,0.21685898000528495,0.10754017305315204,0.9832268370607029,0.9785276073619632,47,52,-0.004041493220990677,1.2391112003621492
17,1592.0,1691.5,199,79.78159643506325,81.05715205263849,63.596634125499094,64.65068033076206,1.275555617575236,1.0540462052629636,1.2101515201195665,0.011966595503660573,0.009671966098857485,0.010819280801259028,16.40647172187643,766,629,780,638,124,103,-1686.6940979444344,0.982051282051282,0.9858934169278997,0.8381201044386423,0.8362480127186009,12119,9528,12308,9681,1969,1388,-19288.043328658612,0.9846441338966526,0.9841958475364115,0.8375278488324119,0.8543240973971453,766,629,164,64,2620,9499,141,48,1020,8508,131,22,0.22432564185895354,0.1188926763764074,0.21618945457546002,0.1070528967254408,0.9820089955022488,0.9788867562380038,50,45,-0.0038421348766176644,1.2372453936820709
18,1691.5,1791.0,199,81.05715205263849,82.38437756698445,64.65068033076206,65.69535307205511,1.3272255143459688,1.0446727412930557,1.2704701308690989,0.012042837414175224,0.009717924845064485,0.010880381129619855,16.689024494929342,784,622,797,635,121,85,-821.0234890253869,0.9836888331242158,0.9795275590551181,0.8456632653061225,0.8633440514469454,12903,10150,13105,10316,2090,1473,-20112.43448659807,0.9845860358641739,0.9839084916634354,0.8380221653878943,0.8548768472906404,784,622,175,64,2792,10111,151,51,1081,9069,141,25,0.22457077451354446,0.11845676618844514,0.21638378671626754,0.10650246305418719,0.9820612029546254,0.9773960216998192,69,48,0.00416127406909772,1.2392396119724585
19,1791.0,1890.5,199,82.38437756698445,83.80463824952899,65.69535307205511,66.77034761819303,1.4202606825445372,1.0749945461379156,1.3211794307673874,0.012160265798112862,0.009775084868367314,0.010967675333240088,17.034290631335963,816,628,827,637,107,92,-429.35447667519117,0.9866989117291415,0.9858712715855573,0.8688725490196079,0.8535031847133758,13719,10778,13932,10953,2197,1565,-20452.803116459156,0.9847114556416882,0.9840226421984845,0.8398571324440557,0.8547968083132307,816,628,171,69,2958,10761,157,56,1148,9630,148,27,0.22358598908986507,0.11832374691865243,0.21561338289962825,0.10651326776767489,0.9814200398142005,0.9770212765957447,62,47,0.0008276401435841629,1.2440061607510047
20,1890.5,1990.0,199,83.80463824952899,85.21783653179733,66.77034761819303,67.87620471105451,1.4131982822683398,1.1058570928614841,1.2779212534700921,0.012262402398794324,0.00984203770678889,0.011052220052791606,17.34163182074282,837,634,852,644,139,88,-1323.3132662838018,0.9823943661971831,0.984472049689441,0.8339307048984468,0.861198738170347,14556,11412,14784,11597,2336,1653,-21686.677192177915,0.984577922077922,0.9840475985168579,0.8395163506457818,0.8551524710830705,837,634,180,60,3135,11421,169,59,1206,10206,156,29,0.22348484848484848,0.117444166594809,0.21537510305028854,0.1056782334384858,0.9815278647463995,0.9765182186234818,56,35,-0.002077683492257898,1.2459210952154656
