metric,rawlsian_maximin_social_raw,rawlsian_maximin_social_norm,fairness_lagrangian_social_raw,fairness_lagrangian_social_norm,social_welfare_social_raw,social_welfare_social_norm,rawlsian_maximin_eo_raw,rawlsian_maximin_eo_norm,fairness_lagrangian_eo_raw,fairness_lagrangian_eo_norm,social_welfare_eo_raw,social_welfare_eo_norm
Wealth Gap,3081.9399762824114,0.04,71.94402449542319,0.9766562538371674,1956.0158028238725,0.36532968913193575,207.92123601929197,0.9325355984803777,1086.8464805286944,0.6473498871189236,535.2062301332296,0.8263411246643351
Profit,1267201.5674589924,0.17024690731869022,1303792.6271377,0.17516286931383288,4720620.441520443,0.6342093092622795,6711204.456947625,0.9016417218215895,7443316.224751621,1.0,6756644.898195976,0.9077465868946663
Inequality Ratio,0.8986307598587966,0.69857506543264,0.05889401373884762,0.9802453632452658,0.8622949124878323,0.7107630862588619,0.2293363903955168,0.9230744043529677,2.9812754580128407,0.04,0.77587590977146,0.7397503448780216
Approval Rate Disparity,0.10862643422584028,0.47798427849365266,0.011860613429572342,0.9430025783220154,0.20809035006145782,0.04,0.054306720338490155,0.7390233601776772,0.009709048879624205,0.9533421474049291,0.042704992637260575,0.7947766793383355
