metric,rawlsian_maximin_raw,rawlsian_maximin_norm,fairness_lagrangian_raw,fairness_lagrangian_norm,social_welfare_raw,social_welfare_norm
Wealth Gap,3190.046191685876,0.04,745.0266847527676,0.7664526969250449,3169.8264012898157,0.04
Profit,1096246.5787546951,0.9692875500843953,373765.666827333,0.3304789401635104,1103480.8165957786,0.9756839729418121
Inequality Ratio,9.198232519377418,0.04,0.8103863069529068,0.9131261816427846,9.293898111114054,0.04
Approval Rate Disparity,0.002361681852560915,0.8256012169513447,0.013541848235844811,0.04,0.008756492106238967,0.35337540683251567
