metric,rawlsian_maximin_raw,rawlsian_maximin_norm,fairness_lagrangian_raw,fairness_lagrangian_norm,social_welfare_raw,social_welfare_norm
Wealth Gap,3177.260994408933,0.04,3154.796072517386,0.04,3115.8728221583974,0.04
Profit,1105073.0929381787,0.977091843821314,1130981.8006630186,1.0,1118119.1003785636,0.9886269608609843
Inequality Ratio,9.230656904207592,0.04,9.328314586342794,0.04,9.303852055557483,0.04
Approval Rate Disparity,0.004907161161108564,0.6376298806746722,0.010869144629810812,0.19736623535326914,0.008485303280927892,0.37340139003569817
