metric,rawlsian_maximin_social_raw,rawlsian_maximin_social_norm,fairness_lagrangian_social_raw,fairness_lagrangian_social_norm,social_welfare_social_raw,social_welfare_social_norm,rawlsian_maximin_eo_raw,rawlsian_maximin_eo_norm,fairness_lagrangian_eo_raw,fairness_lagrangian_eo_norm,social_welfare_eo_raw,social_welfare_eo_norm
Wealth Gap,3190.046191685876,0.04,745.0266847527676,0.7664526969250449,3169.8264012898157,0.04,3177.260994408933,0.04,3154.796072517386,0.04,3115.8728221583974,0.04
Profit,1096246.5787546951,0.9692875500843953,373765.666827333,0.3304789401635104,1103480.8165957786,0.9756839729418121,1105073.0929381787,0.977091843821314,1130981.8006630186,1.0,1118119.1003785636,0.9886269608609843
Inequality Ratio,9.198232519377418,0.04,0.8103863069529068,0.9131261816427846,9.293898111114054,0.04,9.230656904207592,0.04,9.328314586342794,0.04,9.303852055557483,0.04
Approval Rate Disparity,0.002361681852560915,0.8256012169513447,0.013541848235844811,0.04,0.008756492106238967,0.35337540683251567,0.004907161161108564,0.6376298806746722,0.010869144629810812,0.19736623535326914,0.008485303280927892,0.37340139003569817
