metric,rawlsian_maximin_raw,rawlsian_maximin_norm,fairness_lagrangian_raw,fairness_lagrangian_norm,social_welfare_raw,social_welfare_norm
Wealth Gap,207.92123601929197,0.9325355984803777,1086.8464805286944,0.6473498871189236,535.2062301332296,0.8263411246643351
Profit,6711204.456947625,0.9016417218215895,7443316.224751621,1.0,6756644.898195976,0.9077465868946663
Inequality Ratio,0.2293363903955168,0.9230744043529677,2.9812754580128407,0.04,0.77587590977146,0.7397503448780216
Approval Rate Disparity,0.054306720338490155,0.7390233601776772,0.009709048879624205,0.9533421474049291,0.042704992637260575,0.7947766793383355
