constraint,reward,label,apr_disp_mean,apr_disp_std,wealth_gap_mean,wealth_gap_std,rho_mean,rho_std,welfare_M,welfare_F,welfare_avg,n_seeds,n_episodes
both,social_welfare,Social Welfare,0.014836770989338055,0.36453935535996257,42.62626152171914,15.628795658880092,1.294378373993989,1.1356570374620927,1.3235443929743707,1.0225328385936996,1.1907629291548645,3,100
both,rawlsian_maximin,Rawlsian Maximin,0.0019410964329911184,0.4148261368237613,52.91090087422078,7.246203561425348,1.1856435280501996,0.8218845923344347,2.5793065194092493,2.175448571503561,2.398741646635637,3,100
both,fairness_lagrangian,Fairness Lagrangian,0.0017495836124595265,0.2510898035770267,27.64129956410298,14.567418975518667,1.3034395308759643,1.609947287427901,0.6493235763287308,0.4981616415242209,0.5825104062557654,3,100
both,utilitarian_profit,Utilitarian Profit,-0.002294141446438247,0.025239905604984167,61.0248125909146,1.6672283183541936,1.134410246516585,0.013471204258694257,4.093331084553649,3.608334019481024,3.873455355201307,3,100
